,省份,市级,新增确诊,现有确诊,累计确诊,累计死亡,累计治愈,无症状,死亡率,治愈率
0,香港,地区待确认,3,181,11730,209,11340,0,1.78,96.68
1,上海,境外输入,9,66,1596,0,1530,0,0.00,95.86
2,上海,静安,0,0,16,1,15,0,6.25,93.75
3,上海,黄浦,0,0,22,1,21,0,4.55,95.45
4,上海,地区待确认,0,0,0,0,0,0,0.00,0.00
5,上海,长宁,0,0,14,0,14,0,0.00,100.00
6,上海,浦东,0,0,69,0,69,0,0.00,100.00
7,上海,境外来沪,0,0,1,0,1,0,0.00,100.00
8,上海,外地来沪,0,0,113,1,112,0,0.88,99.12
9,上海,嘉定,0,0,9,2,7,0,22.22,77.78
10,上海,徐汇,0,0,18,1,17,0,5.56,94.44
11,上海,宝山,0,0,26,1,25,0,3.85,96.15
12,上海,青浦,0,0,6,0,6,0,0.00,100.00
13,上海,闵行,0,0,19,0,19,0,0.00,100.00
14,上海,松江,0,0,14,0,14,0,0.00,100.00
15,上海,普陀,0,0,11,0,11,0,0.00,100.00
16,上海,杨浦,0,0,9,0,9,0,0.00,100.00
17,上海,奉贤,0,0,9,0,9,0,0.00,100.00
18,上海,虹口,0,0,7,0,7,0,0.00,100.00
19,上海,金山,0,0,4,0,4,0,0.00,100.00
20,上海,崇明,0,0,4,0,4,0,0.00,100.00
21,云南,德宏州,0,46,98,0,52,0,0.00,53.06
22,云南,境外输入,0,10,71,0,61,0,0.00,85.92
23,云南,昭通市,0,0,25,0,25,0,0.00,100.00
24,云南,昆明,0,0,53,0,53,0,0.00,100.00
25,云南,保山市,0,0,9,0,9,0,0.00,100.00
26,云南,玉溪,0,0,14,1,13,0,7.14,92.86
27,云南,红河,0,0,9,0,9,0,0.00,100.00
28,云南,曲靖,0,0,13,0,13,0,0.00,100.00
29,云南,大理,0,0,13,0,13,0,0.00,100.00
30,云南,西双版纳州,0,0,15,1,14,0,6.67,93.33
31,云南,文山州,0,0,2,0,2,0,0.00,100.00
32,云南,普洱,0,0,4,0,4,0,0.00,100.00
33,云南,楚雄州,0,0,4,0,4,0,0.00,100.00
34,云南,丽江市,0,0,7,0,7,0,0.00,100.00
35,云南,临沧,0,0,1,0,1,0,0.00,100.00
36,台湾,地区待确认,7,41,1097,11,1045,0,1.00,95.26
37,广东,境外输入,0,40,932,0,892,0,0.00,95.71
38,广东,佛山,0,0,89,0,89,0,0.00,100.00
39,广东,汕尾,0,0,6,0,6,0,0.00,100.00
40,广东,广州,0,0,377,1,376,0,0.27,99.73
41,广东,汕头,0,0,25,0,25,0,0.00,100.00
42,广东,中山,0,0,67,0,67,0,0.00,100.00
43,广东,河源,0,0,5,0,5,0,0.00,100.00
44,广东,湛江,0,0,22,0,22,0,0.00,100.00
45,广东,珠海,0,0,98,1,97,0,1.02,98.98
46,广东,揭阳,0,0,10,0,10,0,0.00,100.00
47,广东,江门,0,0,23,0,23,0,0.00,100.00
48,广东,地区待确认,0,0,0,0,0,0,0.00,0.00
49,广东,深圳,0,0,423,3,420,0,0.71,99.29
50,广东,肇庆,0,0,19,1,18,0,5.26,94.74
51,广东,东莞,0,0,99,1,98,0,1.01,98.99
52,广东,阳江,0,0,14,0,14,0,0.00,100.00
53,广东,惠州,0,0,62,0,62,0,0.00,100.00
54,广东,茂名,0,0,14,0,14,0,0.00,100.00
55,广东,韶关,0,0,10,1,9,0,10.00,90.00
56,广东,清远,0,0,12,0,12,0,0.00,100.00
57,广东,潮州,0,0,5,0,5,0,0.00,100.00
58,广东,梅州,0,0,16,0,16,0,0.00,100.00
59,福建,境外输入,0,24,290,0,266,0,0.00,91.72
60,福建,漳州,0,0,20,0,20,0,0.00,100.00
61,福建,莆田,0,0,56,0,56,0,0.00,100.00
62,福建,地区待确认,0,0,0,0,0,0,0.00,0.00
63,福建,宁德,0,0,26,0,26,0,0.00,100.00
64,福建,龙岩,0,0,6,0,6,0,0.00,100.00
65,福建,南平,0,0,20,0,20,0,0.00,100.00
66,福建,三明,0,0,14,0,14,0,0.00,100.00
67,福建,泉州,0,0,47,0,47,0,0.00,100.00
68,福建,厦门,0,0,35,0,35,0,0.00,100.00
69,福建,福州,0,0,72,1,71,0,1.39,98.61
70,四川,境外输入,0,17,414,0,397,0,0.00,95.89
71,四川,阿坝,0,0,1,0,1,0,0.00,100.00
72,四川,雅安,0,0,8,0,8,0,0.00,100.00
73,四川,广元,0,0,6,0,6,0,0.00,100.00
74,四川,内江,0,0,22,0,22,0,0.00,100.00
75,四川,自贡,0,0,9,0,9,0,0.00,100.00
76,四川,遂宁,0,0,17,0,17,0,0.00,100.00
77,四川,泸州,0,0,24,0,24,0,0.00,100.00
78,四川,德阳,0,0,18,0,18,0,0.00,100.00
79,四川,凉山,0,0,13,0,13,0,0.00,100.00
