大洲名,国家名,现在确诊人数,确诊人数总数,确诊人数数量排名,累计确诊人数治愈人数,死亡人数,死亡人数数量排名,死亡比率,死亡比率排名,较昨日确诊人数,确诊新增,治愈新增,死亡新增
北美洲,美国,6078109,32173383,1,25521913,573361,1,1.78,84,1678,46730,44406,646
欧洲,法国,5130646,5534313,4,300064,103603,8,1.87,77,29970,30317,0,347
欧洲,英国,4257849,4409631,7,539,151243,5,3.42,26,2283,2685,0,402
欧洲,西班牙,3267903,3496134,9,150376,77855,10,2.22,58,7548,7665,0,117
亚洲,印度,2882204,17636307,2,14556209,197894,4,1.12,146,68546,323144,251827,2771
欧洲,荷兰,1438389,1467337,21,11886,17062,28,1.16,143,6187,6200,0,13
南美洲,巴西,1058775,14446541,3,12992442,395324,2,2.73,39,-40426,76085,113391,3120
欧洲,瑞典,934315,953254,28,4971,13968,33,1.46,115,14866,14911,0,45
欧洲,比利时,932784,976088,27,19239,24065,25,2.46,51,0,0,0,0
欧洲,塞尔维亚,687598,787995,32,91971,8426,45,1.06,151,1166,2861,1644,51
亚洲,土耳其,504262,4710582,6,4167263,39057,19,0.82,168,-2637,43301,45592,346
亚洲,伊朗,460471,2438193,14,1907190,70532,12,2.89,37,5511,20963,14990,462
欧洲,意大利,448149,3981512,8,3413451,119912,6,3.01,33,-4663,10398,14688,373
欧洲,乌克兰,398469,2038248,16,1596829,42950,18,2.10,66,0,0,0,0
欧洲,瑞士,326375,653957,36,317600,9982,42,1.52,107,2124,2135,0,11
欧洲,希腊,326071,337723,50,1473,10179,39,3.01,33,4422,4594,0,172
欧洲,德国,315383,3307769,10,2910042,82344,9,2.48,49,0,0,0,0
南美洲,阿根廷,279350,2905109,11,2563160,62599,14,2.15,62,3768,25495,21215,512
欧洲,俄罗斯,267767,4779425,5,4402678,108980,7,2.28,54,0,0,0,0
欧洲,匈牙利,263516,772707,33,482207,26984,22,3.49,22,1070,1253,0,183
北美洲,墨西哥,260632,2329534,15,1853789,215113,3,9.23,2,0,0,0,0
亚洲,哈萨克斯坦,238179,363871,47,121347,4345,61,1.19,140,2108,2296,0,188
欧洲,波兰,235101,2768034,13,2467036,65897,13,2.38,52,0,0,0,0
欧洲,斯洛文尼亚,231473,238023,66,2027,4523,59,1.90,75,995,995,0,0
欧洲,爱尔兰,217183,247489,64,25422,4884,56,1.97,70,410,420,0,10
北美洲,波多黎各,126938,129203,84,0,2265,80,1.75,87,743,744,0,1
北美洲,洪都拉斯,124313,207320,71,77814,5193,55,2.50,48,0,0,0,0
亚洲,伊拉克,117254,1037858,25,905301,15303,32,1.47,114,6490,6536,0,46
欧洲,斯洛伐克,113626,380498,45,255300,11572,36,3.04,32,447,488,0,41
南美洲,哥伦比亚,113015,2787303,12,2602489,71799,11,2.57,45,0,0,0,0
亚洲,印度尼西亚,100256,1651794,18,1506599,44939,17,2.72,40,0,0,0,0
亚洲,巴基斯坦,87794,804939,31,699816,17329,27,2.15,62,0,0,0,0
北美洲,加拿大,84332,1192427,22,1084029,24066,24,2.01,68,-1475,7003,8418,60
亚洲,孟加拉国,73504,751659,34,666927,11228,37,1.49,113,-2281,3031,5234,78
亚洲,菲律宾,71675,1013618,26,925027,16916,30,1.66,100,0,0,0,0
亚洲,黎巴嫩,61701,522763,39,453865,7197,48,1.37,120,-6965,1824,8734,55
亚洲,塞浦路斯,60602,62960,103,2057,301,128,0.47,190,611,611,0,0
欧洲,挪威,56421,111162,89,54004,737,108,0.66,177,-1,0,0,1
欧洲,捷克,56340,1622777,19,1537362,29075,20,1.79,82,2498,2571,0,73
非洲,埃塞俄比亚,54892,254044,61,195547,3605,65,1.41,116,-1221,924,2110,35
欧洲,芬兰,54253,86161,98,31000,908,101,1.05,152,0,0,0,0
亚洲,日本,52648,571040,38,508388,10004,41,1.75,87,0,0,0,0
欧洲,保加利亚,52509,401109,43,332418,16182,31,4.03,16,-1626,1850,3395,81
非洲,肯尼亚,47991,157492,80,106836,2665,73,1.69,94,489,511,0,22
非洲,突尼斯,45274,301627,55,246001,10352,38,3.43,24,1237,1285,0,48
非洲,埃及,42684,224517,68,168665,13168,34,5.86,6,177,1003,765,61
欧洲,罗马尼亚,42411,1049539,24,979445,27683,21,2.63,43,0,0,0,0
南美洲,巴拉圭,41720,269353,59,221631,6002,53,2.22,58,0,0,0,0
南美洲,智利,40289,1179772,23,1113463,26020,23,2.20,60,-2488,4158,6601,45
北美洲,多米尼加,39553,265481,60,222466,3462,66,1.30,130,-1178,618,1788,8
南美洲,玻利维亚,39244,298778,56,246673,12861,35,4.30,11,0,0,0,0
南美洲,厄瓜多尔,38342,375329,46,318598,18389,26,4.89,8,465,554,0,89
北美洲,哥斯达黎加,33812,236930,67,199982,3136,71,1.32,127,0,0,0,0
非洲,阿尔及利亚,33596,121112,85,84299,3217,67,2.65,41,110,120,0,10
欧洲,波黑,31219,196732,73,157095,8418,46,4.27,12,-755,761,1448,68
欧洲,奥地利,28622,606890,37,568213,10055,40,1.65,101,1380,1380,0,0
亚洲,阿塞拜疆,27904,315119,52,282786,4429,60,1.40,118,-1552,2113,3607,58
南美洲,乌拉圭,27282,190096,76,160362,2452,77,1.28,133,-116,2747,2802,61
亚洲,巴勒斯坦,26877,289120,57,259105,3138,70,1.08,148,0,0,0,0
亚洲,尼泊尔,26225,307925,53,278506,3194,69,1.03,154,3791,4364,555,18
亚洲,泰国,25973,59687,105,33551,163,140,0.27,196,0,0,0,0
亚洲,马来西亚,25414,398451,44,371575,1462,93,0.36,192,0,0,0,0
亚洲,约旦,24753,704540,35,671127,8660,44,1.22,136,0,0,0,0
北美洲,牙买加,24215,45145,110,20169,761,106,1.68,96,140,141,0,1
欧洲,葡萄牙,23816,834991,30,794205,16970,29,2.03,67,-846,353,1194,5
欧洲,阿尔巴尼亚,21190,130736,83,107163,2383,78,1.82,79,-572,130,698,4
非洲,留尼旺,20233,20381,129,0,148,143,0.72,173,1031,1038,0,7
非洲,南非,19977,1577200,20,1502986,54237,16,3.43,24,-277,880,1106,51
非洲,马约特,19727,19896,130,0,169,139,0.84,166,47,47,0,0
欧洲,立陶宛,19371,242926,65,219678,3877,64,1.59,104,45,45,0,0
南美洲,法属圭亚那,18728,18826,131,0,98,157,0.52,187,0,0,0,0
亚洲,阿曼,18503,190270,75,169784,1983,85,1.04,153,0,0,0,0
亚洲,卡塔尔,18446,203599,72,184712,441,122,0.21,199,-921,695,1612,4
亚洲,阿联酋,17424,514591,40,495589,1578,88,0.30,195,0,0,0,0
北美洲,危地马拉,16567,223025,69,199005,7453,47,3.34,28,-1064,1327,2348,43
欧洲,北马其顿,15470,151122,81,130910,4742,58,3.13,29,-579,450,1001,28
亚洲,科威特,15258,269681,58,252888,1535,91,0.56,185,61,1446,1377,8
南美洲,委内瑞拉,15191,192498,74,175242,2065,83,1.07,150,-207,1975,2145,37
非洲,斯威士兰,14836,18443,133,2936,671,111,3.63,19,1,1,0,0
