日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200120,1,1,0,0,0,1,0,0,0,0,0,0
20200121,9,8,0,0,0,9,0,0,0,0,0,0
20200122,16,7,0,0,0,16,0,0,0,0,0,0
20200123,20,4,0,0,0,20,0,0,0,0,0,0
20200124,33,13,0,0,0,32,1,1,0,0,0,0
20200125,40,7,1,1,1,38,1,0,0,0,0,0
20200126,53,13,1,0,1,51,1,0,0,0,0,0
20200127,66,13,3,2,3,62,1,0,0,0,0,0
20200128,80,14,4,1,4,75,1,0,0,0,0,0
20200129,101,21,5,1,5,95,1,0,0,0,0,0
20200130,128,27,5,0,5,122,1,0,0,0,0,0
20200131,153,25,9,4,9,143,1,0,0,0,0,0
20200201,177,24,10,1,10,166,1,0,0,0,0,0
20200202,193,16,10,0,10,182,1,0,0,0,0,0
20200203,208,15,10,0,10,197,1,0,0,0,0,0
20200204,233,25,12,2,12,220,1,0,0,0,0,0
20200205,254,21,15,3,15,238,1,0,0,0,0,0
20200206,269,15,25,10,25,243,1,0,0,0,0,0
20200207,281,12,30,5,30,250,1,0,0,0,0,0
20200208,292,11,41,11,41,250,1,0,0,0,0,0
20200209,295,3,44,3,44,250,1,0,0,0,0,0
20200210,302,7,48,4,48,253,1,0,0,0,0,0
20200211,306,4,53,5,53,252,1,0,0,0,0,0
20200212,313,7,57,4,57,255,1,0,0,0,0,0
20200213,318,5,62,5,62,255,1,0,0,0,0,0
20200214,326,8,90,28,90,235,1,0,0,0,0,0
20200215,328,2,124,34,124,203,1,0,0,0,0,0
20200216,331,3,140,16,140,190,1,0,0,0,0,0
20200217,333,2,161,21,161,171,1,0,0,0,0,0
20200218,333,0,177,16,177,155,1,0,0,0,0,0
20200219,333,0,186,9,186,145,2,1,0,0,0,0
20200220,334,1,199,13,199,133,2,0,0,0,0,0
20200221,334,0,211,12,211,120,3,1,0,0,0,0
20200222,335,1,227,16,227,105,3,0,0,0,0,0
20200223,335,0,249,22,249,83,3,0,0,0,0,0
20200224,335,0,261,12,261,71,3,0,0,0,0,0
20200225,336,1,268,7,268,65,3,0,0,0,0,0
20200226,337,1,272,4,272,62,3,0,0,0,0,0
20200227,337,0,276,4,276,58,3,0,0,0,0,0
20200228,337,0,279,3,279,55,3,0,0,0,0,0
20200229,337,0,287,8,287,47,3,0,0,0,0,0
20200301,337,0,290,3,290,44,3,0,0,0,0,0
20200302,338,1,292,2,292,43,3,0,0,0,0,0
20200303,338,0,294,2,294,41,3,0,0,0,0,0
20200304,338,0,298,4,298,37,3,0,0,0,0,0
20200305,339,1,303,5,303,33,3,0,0,0,0,0
20200306,342,3,306,3,306,33,3,0,0,0,0,0
20200307,342,0,313,7,313,26,3,0,0,0,0,0
20200308,342,0,314,1,314,25,3,0,0,0,0,0
20200309,342,0,315,1,315,24,3,0,0,0,0,0
20200310,344,2,319,4,319,22,3,0,0,0,0,0
20200311,344,0,320,1,320,21,3,0,0,0,0,0
20200312,346,2,321,1,321,22,3,0,0,0,0,0
