日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200124,5,5,0,0,0,5,0,0,0,0,0,0
20200125,11,6,0,0,0,11,0,0,0,0,0,0
20200126,19,8,0,0,0,19,0,0,0,0,0,0
20200127,26,7,0,0,0,26,0,0,0,0,0,0
20200128,51,25,0,0,0,51,0,0,0,0,0,0
20200129,70,19,0,0,0,70,0,0,0,0,0,0
20200130,76,6,0,0,0,76,0,0,0,0,0,0
20200131,91,15,1,1,1,90,0,0,0,0,0,0
20200201,99,8,2,1,2,97,0,0,0,0,0,0
20200202,109,10,3,1,3,106,0,0,0,0,0,0
20200203,117,8,5,2,5,112,0,0,0,0,0,0
20200204,122,5,5,0,5,117,0,0,0,0,0,0
20200205,128,6,5,0,5,123,0,0,0,0,0,0
20200206,135,7,7,2,7,128,0,0,0,0,0,0
20200207,138,3,12,5,12,126,0,0,0,0,0,0
20200208,140,2,17,5,17,123,0,0,0,0,0,0
20200209,141,1,18,1,18,123,0,0,0,0,0,0
20200210,149,8,19,1,19,130,0,0,0,0,0,0
20200211,154,5,20,1,20,134,0,0,0,0,0,0
20200212,155,1,23,3,23,132,0,0,0,0,0,0
20200213,162,7,27,4,27,135,0,0,0,0,0,0
20200214,168,6,35,8,35,133,0,0,0,0,0,0
20200215,169,1,42,7,42,127,0,0,0,0,0,0
20200216,171,2,42,0,42,129,0,0,0,0,0,0
20200217,172,1,47,5,47,125,0,0,0,0,0,0
20200218,173,1,57,10,57,116,0,0,0,0,0,0
20200219,172,-1,60,3,60,111,1,1,0,0,0,0
20200220,174,2,79,19,79,93,2,1,0,0,0,0
20200221,174,0,96,17,96,76,2,0,0,0,0,0
20200222,174,0,107,11,107,65,2,0,0,0,0,0
20200223,174,0,115,8,115,57,2,0,0,0,0,0
20200224,174,0,124,9,124,48,2,0,0,0,0,0
20200225,174,0,129,5,129,43,2,0,0,0,0,0
20200226,174,0,144,15,144,28,2,0,0,0,0,0
20200227,174,0,150,6,150,22,2,0,0,0,0,0
20200228,174,0,156,6,156,16,2,0,0,0,0,0
20200229,174,0,157,1,157,15,2,0,0,0,0,0
20200301,174,0,163,6,163,9,2,0,0,0,0,0
20200302,174,0,168,5,168,4,2,0,0,0,0,0
20200303,174,0,169,1,169,3,2,0,0,0,0,0
20200304,174,0,169,0,169,3,2,0,0,0,0,0
20200305,174,0,169,0,169,3,2,0,0,0,0,0
20200306,174,0,170,1,170,2,2,0,0,0,0,0
20200307,174,0,170,0,170,2,2,0,0,0,0,0
20200308,174,0,170,0,170,2,2,0,0,0,0,0
20200309,174,0,170,0,170,2,2,0,0,0,0,0
