日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,1,1,0,0,0,1,0,0,0,0,0,0
20200124,2,1,0,0,0,2,0,0,0,0,0,0
20200125,5,3,0,0,0,5,0,0,0,0,0,0
20200126,11,6,0,0,0,11,0,0,0,0,0,0
20200127,13,2,0,0,0,13,0,0,0,0,0,0
20200128,16,3,0,0,0,16,0,0,0,0,0,0
20200129,18,2,0,0,0,18,0,0,0,0,0,0
20200130,20,2,0,0,0,20,0,0,0,0,0,0
20200131,23,3,0,0,0,23,0,0,0,0,0,0
20200201,27,4,0,0,0,27,0,0,0,0,0,0
20200202,34,7,0,0,0,34,0,0,0,0,0,0
20200203,35,1,0,0,0,35,0,0,0,0,0,0
20200204,42,7,0,0,0,42,0,0,0,0,0,0
20200205,46,4,0,0,0,46,0,0,0,0,0,0
20200206,50,4,0,0,0,50,0,0,0,0,0,0
20200207,52,2,0,0,0,52,0,0,0,0,0,0
20200208,54,2,0,0,0,54,0,0,0,0,0,0
20200209,58,4,0,0,0,58,0,0,0,0,0,0
20200210,58,0,5,5,5,53,0,0,0,0,0,0
20200211,60,2,5,0,5,55,0,0,0,0,0,0
20200212,61,1,6,1,6,55,0,0,0,0,0,0
20200213,65,4,6,0,6,59,0,0,0,0,0,0
20200214,68,3,6,0,6,62,0,0,0,0,0,0
20200215,70,2,7,1,7,63,0,0,0,0,0,0
20200216,72,2,8,1,8,64,0,0,0,0,0,0
20200217,73,1,8,0,8,65,0,0,0,0,0,0
20200218,75,2,9,1,9,66,0,0,0,0,0,0
20200219,75,0,11,2,11,64,0,0,0,0,0,0
20200220,75,0,16,5,16,59,0,0,0,0,0,0
20200221,75,0,22,6,22,53,0,0,0,0,0,0
20200222,75,0,26,4,26,49,0,0,0,0,0,0
20200223,75,0,30,4,30,45,0,0,0,0,0,0
20200224,75,0,34,4,34,41,0,0,0,0,0,0
20200225,75,0,35,1,35,40,0,0,0,0,0,0
20200226,75,0,38,3,38,37,0,0,0,0,0,0
20200227,75,0,43,5,43,32,0,0,0,0,0,0
20200228,75,0,46,3,46,29,0,0,0,0,0,0
20200229,75,0,51,5,51,24,0,0,0,0,0,0
20200301,75,0,52,1,52,23,0,0,0,0,0,0
20200302,75,0,54,2,54,20,1,1,0,0,0,0
20200303,75,0,59,5,59,15,1,0,0,0,0,0
20200304,75,0,63,4,63,11,1,0,0,0,0,0
20200305,75,0,65,2,65,9,1,0,0,0,0,0
20200306,75,0,65,0,65,9,1,0,0,0,0,0
20200307,75,0,68,3,68,6,1,0,0,0,0,0
20200308,75,0,70,2,70,4,1,0,0,0,0,0
20200309,75,0,70,0,70,4,1,0,0,0,0,0
20200310,75,0,70,0,70,4,1,0,0,0,0,0
20200311,75,0,71,1,71,3,1,0,0,0,0,0
20200312,75,0,71,0,71,3,1,0,0,0,0,0
20200313,75,0,71,0,71,3,1,0,0,0,0,0
20200314,75,0,71,0,71,3,1,0,0,0,0,0
20200315,75,0,71,0,71,3,1,0,0,0,0,0
20200316,75,0,73,2,73,1,1,0,0,0,0,0
20200317,75,0,73,0,73,1,1,0,0,0,0,0
20200318,75,0,74,1,74,0,1,0,0,0,0,0
20200319,75,0,74,0,74,0,1,0,0,0,0,0
20200320,75,0,74,0,74,0,1,0,0,0,0,0
20200321,75,0,74,0,74,0,1,0,0,0,0,0
20200322,75,0,74,0,74,0,1,0,0,0,0,0
20200323,75,0,74,0,74,0,1,0,0,0,0,0
20200324,77,2,74,0,74,2,1,0,0,0,0,0
20200325,89,12,74,0,74,14,1,0,0,0,0,0
20200326,92,3,74,0,74,17,1,0,0,0,0,0
20200327,94,2,74,0,74,19,1,0,0,0,0,0
20200328,95,1,74,0,74,20,1,0,0,0,0,0
20200329,97,2,74,0,74,22,1,0,0,0,0,0
20200330,107,10,74,0,74,32,1,0,0,0,0,0
20200331,111,4,74,0,74,36,1,0,0,0,0,0
20200401,117,6,74,0,74,42,1,0,0,0,0,0
20200402,117,0,74,0,74,42,1,0,0,0,0,0
20200403,117,0,74,0,74,42,1,0,0,0,0,0
20200404,117,0,74,0,74,42,1,0,0,0,0,0
20200405,118,1,74,0,74,43,1,0,0,0,0,0
20200406,121,3,74,0,74,46,1,0,0,0,0,0
20200407,124,3,74,0,74,49,1,0,0,0,0,0
20200408,126,2,79,5,79,46,1,0,0,0,0,0
20200409,128,2,79,0,79,48,1,0,0,0,0,0
20200410,155,27,79,0,79,75,1,0,0,0,0,0
20200411,155,0,83,4,83,71,1,0,0,0,0,0
20200412,190,35,83,0,83,106,1,0,0,0,34,34
20200413,190,0,91,8,91,98,1,0,0,0,34,0
20200414,190,0,94,3,94,95,1,0,0,0,34,0
20200415,193,3,94,0,94,98,1,0,0,0,34,0
20200416,193,0,103,9,103,89,1,0,0,0,34,0
20200417,193,0,104,1,104,88,1,0,0,0,34,0
20200418,193,0,104,0,104,88,1,0,0,0,34,0
20200419,194,1,104,0,104,89,1,0,0,0,34,0
20200420,194,0,108,4,108,85,1,0,0,0,34,0
20200421,194,0,108,0,108,85,1,0,0,0,34,0
20200422,194,0,108,0,108,85,1,0,0,0,34,0
20200423,194,0,108,0,108,85,1,0,0,0,34,0
20200424,194,0,114,6,114,79,1,0,0,0,34,0
20200425,198,4,121,7,121,76,1,0,0,0,34,0
20200426,198,0,129,8,129,68,1,0,0,0,34,0
20200427,199,1,145,16,145,53,1,0,0,0,34,0
20200428,199,0,146,1,146,52,1,0,0,0,34,0
20200429,200,1,150,4,150,49,1,0,0,0,34,0
20200430,201,1,152,2,152,48,1,0,0,0,34,0
20200501,201,0,154,2,154,46,1,0,0,0,34,0
20200502,201,0,154,0,154,46,1,0,0,0,34,0
20200503,201,0,156,2,156,44,1,0,0,0,34,0
20200504,201,0,160,4,160,40,1,0,0,0,34,0
20200505,201,0,167,7,167,33,1,0,0,0,34,0
20200506,201,0,171,4,171,29,1,0,0,0,34,0
20200507,201,0,172,1,172,28,1,0,0,0,34,0
20200508,201,0,175,3,175,25,1,0,0,0,34,0
20200509,201,0,184,9,184,16,1,0,0,0,34,0
20200510,208,7,187,3,187,20,1,0,0,0,34,0
20200511,209,1,188,1,188,20,1,0,0,0,34,0
20200512,209,0,190,2,190,18,1,0,0,0,34,0
20200513,209,0,190,0,190,18,1,0,0,0,34,0
20200514,209,0,194,4,194,14,1,0,0,0,34,0
20200515,209,0,196,2,196,12,1,0,0,0,34,0
20200516,209,0,196,0,196,12,1,0,0,0,34,0
20200517,213,4,196,0,196,16,1,0,0,0,34,0
20200518,216,3,196,0,196,19,1,0,0,0,34,0
20200519,217,1,196,0,196,20,1,0,0,0,34,0
20200520,217,0,197,1,197,19,1,0,0,0,34,0
20200521,217,0,199,2,199,17,1,0,0,0,34,0
20200522,217,0,199,0,199,17,1,0,0,0,34,0
20200523,217,0,199,0,199,17,1,0,0,0,34,0
20200524,227,10,201,2,201,25,1,0,0,0,34,0
20200525,232,5,204,3,204,27,1,0,0,0,34,0
20200526,232,0,205,1,205,26,1,0,0,0,34,0
20200527,232,0,205,0,205,26,1,0,0,0,34,0
20200528,232,0,205,0,205,26,1,0,0,0,34,0
20200529,232,0,205,0,205,26,1,0,0,0,34,0
20200530,232,0,206,1,206,25,1,0,0,0,34,0
20200531,235,3,207,1,207,27,1,0,0,0,34,0
20200601,235,0,209,2,209,25,1,0,0,0,34,0
20200602,235,0,209,0,209,25,1,0,0,0,34,0
20200603,235,0,212,3,212,22,1,0,0,0,34,0
20200604,235,0,213,1,213,21,1,0,0,0,34,0
20200605,235,0,213,0,213,21,1,0,0,0,34,0
20200606,235,0,213,0,213,21,1,0,0,0,34,0
20200607,235,0,218,5,218,16,1,0,0,0,34,0
20200608,235,0,226,8,226,8,1,0,0,0,34,0
20200609,237,2,230,4,230,6,1,0,0,0,34,0
20200610,237,0,230,0,230,6,1,0,0,0,34,0
20200611,237,0,231,1,231,5,1,0,0,0,34,0
20200612,237,0,232,1,232,4,1,0,0,0,34,0
20200613,237,0,231,-1,231,5,1,0,0,0,34,0
20200614,237,0,231,0,231,5,1,0,0,0,34,0
20200615,238,1,234,3,234,3,1,0,0,0,34,0
20200616,238,0,234,0,234,3,1,0,0,0,34,0
20200617,238,0,234,0,234,3,1,0,0,0,34,0
20200618,238,0,234,0,234,3,1,0,0,0,34,0
20200619,238,0,234,0,234,3,1,0,0,0,34,0
20200620,238,0,235,1,235,2,1,0,0,0,34,0
20200621,238,0,235,0,235,2,1,0,0,0,34,0
20200622,238,0,236,1,236,1,1,0,0,0,34,0
20200623,238,0,236,0,236,1,1,0,0,0,34,0
20200624,238,0,236,0,236,1,1,0,0,0,34,0
20200625,238,0,236,0,236,1,1,0,0,0,34,0
20200626,238,0,236,0,236,1,1,0,0,0,34,0
20200627,238,0,236,0,236,1,1,0,0,0,34,0
20200628,238,0,237,1,237,0,1,0,0,0,34,0
20200629,238,0,237,0,237,0,1,0,0,0,34,0
20200630,238,0,237,0,237,0,1,0,0,0,34,0
20200701,238,0,237,0,237,0,1,0,0,0,34,0
20200702,238,0,237,0,237,0,1,0,0,0,34,0
20200703,238,0,237,0,237,0,1,0,0,0,34,0
20200704,238,0,237,0,237,0,1,0,0,0,34,0
20200705,239,1,237,0,237,1,1,0,0,0,34,0
20200706,240,1,237,0,237,2,1,0,0,0,34,0
20200707,244,4,237,0,237,6,1,0,0,0,34,0
20200708,244,0,237,0,237,6,1,0,0,0,34,0
20200709,245,1,237,0,237,7,1,0,0,0,34,0
20200710,245,0,237,0,237,7,1,0,0,0,34,0
20200711,245,0,237,0,237,7,1,0,0,0,34,0
20200712,249,4,237,0,237,11,1,0,0,0,34,0
20200713,249,0,237,0,237,11,1,0,0,0,34,0
20200714,249,0,237,0,237,11,1,0,0,0,34,0
20200715,249,0,237,0,237,11,1,0,0,0,34,0
20200716,249,0,237,0,237,11,1,0,0,0,34,0
20200717,249,0,237,0,237,11,1,0,0,0,34,0
20200718,249,0,237,0,237,11,1,0,0,0,34,0
20200719,250,1,237,0,237,12,1,0,0,0,34,0
20200720,250,0,237,0,237,12,1,0,0,0,34,0
20200722,250,0,241,4,241,8,1,0,0,0,34,0
20200724,251,1,241,0,241,9,1,0,0,0,34,0
20200725,256,5,244,3,244,11,1,0,0,0,34,0
20200726,258,2,244,0,244,13,1,0,0,0,34,0
20200727,258,0,244,0,244,13,1,0,0,0,34,0
20200728,258,0,244,0,244,13,1,0,0,0,34,0
20200729,258,0,244,0,244,13,1,0,0,0,34,0
20200730,258,0,244,0,244,13,1,0,0,0,34,0
20200731,258,0,244,0,244,13,1,0,0,0,34,0
20200801,258,0,244,0,244,13,1,0,0,0,34,0
20200802,258,0,244,0,244,13,1,0,0,0,34,0
20200803,258,0,244,0,244,13,1,0,0,0,34,0
20200804,258,0,247,3,247,10,1,0,0,0,34,0
20200806,258,0,247,0,247,10,1,0,0,0,34,0
20200807,258,0,247,0,247,10,1,0,0,0,34,0
20200808,258,0,247,0,247,10,1,0,0,0,34,0
20200809,258,0,253,6,253,4,1,0,0,0,34,0
20200810,258,0,253,0,253,4,1,0,0,0,34,0
20200812,259,1,254,1,254,4,1,0,0,0,34,0
20200813,259,0,255,1,255,3,1,0,0,0,34,0
20200814,260,1,256,1,256,3,1,0,0,0,34,0
20200815,260,0,256,0,256,3,1,0,0,0,34,0
20200816,260,0,256,0,256,3,1,0,0,0,34,0
20200817,260,0,256,0,256,3,1,0,0,0,34,0
20200818,260,0,256,0,256,3,1,0,0,0,34,0
20200820,260,0,256,0,256,3,1,0,0,0,34,0
20200821,260,0,257,1,257,2,1,0,0,0,34,0
20200822,260,0,257,0,257,2,1,0,0,0,34,0
20200823,260,0,257,0,257,2,1,0,0,0,34,0
20200824,260,0,257,0,257,2,1,0,0,0,34,0
20200825,260,0,257,0,257,2,1,0,0,0,34,0
20200826,260,0,257,0,257,2,1,0,0,0,34,0
20200827,260,0,257,0,257,2,1,0,0,0,34,0
20200828,260,0,257,0,257,2,1,0,0,0,34,0
20200829,260,0,257,0,257,2,1,0,0,0,34,0
20200830,260,0,257,0,257,2,1,0,0,0,34,0
20200831,261,1,257,0,257,3,1,0,0,0,34,0
20200901,261,0,258,1,258,2,1,0,0,0,34,0
20200902,261,0,259,1,259,1,1,0,0,0,34,0
20200903,261,0,259,0,259,1,1,0,0,0,34,0
20200904,261,0,259,0,259,1,1,0,0,0,34,0
20200905,261,0,259,0,259,1,1,0,0,0,34,0
20200906,261,0,259,0,259,1,1,0,0,0,34,0
20200907,261,0,259,0,259,1,1,0,0,0,34,0
20200909,261,0,259,0,259,1,1,0,0,0,34,0
20200910,261,0,259,0,259,1,1,0,0,0,34,0
20200911,261,0,259,0,259,1,1,0,0,0,34,0
20200913,261,0,259,0,259,1,1,0,0,0,34,0
20200914,261,0,259,0,259,1,1,0,0,0,34,0
20200915,261,0,259,0,259,1,1,0,0,0,34,0
20200919,261,0,259,0,259,1,1,0,0,0,34,0
20200920,263,2,259,0,259,3,1,0,0,0,34,0
20200921,263,0,259,0,259,3,1,0,0,0,34,0
20200922,263,0,259,0,259,3,1,0,0,0,34,0
20200923,263,0,259,0,259,3,1,0,0,0,34,0
20200924,263,0,259,0,259,3,1,0,0,0,34,0
20200925,263,0,259,0,259,3,1,0,0,0,34,0
20200926,263,0,259,0,259,3,1,0,0,0,34,0
20200927,266,3,259,0,259,6,1,0,0,0,34,0
20200928,266,0,259,0,259,6,1,0,0,0,34,0
20200929,266,0,259,0,259,6,1,0,0,0,34,0
20201001,266,0,260,1,260,5,1,0,0,0,34,0
20201002,266,0,260,0,260,5,1,0,0,0,34,0
20201003,266,0,261,1,261,4,1,0,0,0,34,0
20201004,268,2,261,0,261,6,1,0,0,0,34,0
20201005,268,0,261,0,261,6,1,0,0,0,34,0
20201006,268,0,261,0,261,6,1,0,0,0,34,0
20201007,268,0,261,0,261,6,1,0,0,0,34,0
20201008,268,0,261,0,261,6,1,0,0,0,34,0
20201009,268,0,261,0,261,6,1,0,0,0,34,0
20201010,268,0,261,0,261,6,1,0,0,0,34,0
20201011,269,1,262,1,262,6,1,0,0,0,34,0
20201012,270,1,262,0,262,7,1,0,0,0,34,0
20201013,270,0,263,1,263,6,1,0,0,0,34,0
20201014,270,0,263,0,263,6,1,0,0,0,34,0
20201015,275,5,263,0,263,11,1,0,0,0,34,0
20201016,275,0,263,0,263,11,1,0,0,0,34,0
20201017,275,0,265,2,265,9,1,0,0,0,34,0
20201018,275,0,265,0,265,9,1,0,0,0,34,0
20201019,275,0,266,1,266,8,1,0,0,0,34,0
20201020,275,0,266,0,266,8,1,0,0,0,34,0
20201021,275,0,266,0,266,8,1,0,0,0,34,0
20201022,275,0,266,0,266,8,1,0,0,0,34,0
20201023,275,0,266,0,266,8,1,0,0,0,34,0
20201024,275,0,267,1,267,7,1,0,0,0,34,0
20201025,277,2,267,0,267,9,1,0,0,0,34,0
20201026,278,1,268,1,268,9,1,0,0,0,34,0
20201027,279,1,268,0,268,10,1,0,0,0,34,0
20201028,287,8,268,0,268,18,1,0,0,0,34,0
20201030,288,1,268,0,268,19,1,0,0,0,34,0
20201031,291,3,270,2,270,20,1,0,0,0,34,0
20201101,291,0,270,0,270,20,1,0,0,0,34,0
20201102,295,4,270,0,270,24,1,0,0,0,34,0
20201103,297,2,270,0,270,26,1,0,0,0,34,0
20201104,298,1,270,0,270,27,1,0,0,0,34,0
20201105,300,2,270,0,270,29,1,0,0,0,34,0
20201106,303,3,270,0,270,32,1,0,0,0,34,0
20201108,305,2,272,2,272,32,1,0,0,0,34,0
20201109,305,0,273,1,273,31,1,0,0,0,34,0
20201110,305,0,273,0,273,31,1,0,0,0,34,0
20201111,306,1,274,1,274,31,1,0,0,0,34,0
20201112,307,1,281,7,281,25,1,0,0,0,34,0
20201114,307,0,282,1,282,24,1,0,0,0,34,0
20201115,307,0,282,0,282,24,1,0,0,0,34,0
20201117,307,0,287,5,287,19,1,0,0,0,34,0
20201118,308,1,287,0,287,20,1,0,0,0,34,0
20201119,308,0,288,1,288,19,1,0,0,0,34,0
20201120,308,0,290,2,290,17,1,0,0,0,34,0
20201121,310,2,290,0,290,19,1,0,0,0,34,0
20201122,310,0,291,1,291,18,1,0,0,0,34,0
20201123,311,1,291,0,291,19,1,0,0,0,34,0
20201124,311,0,291,0,291,19,1,0,0,0,34,0
20201125,320,9,296,5,296,23,1,0,0,0,34,0
20201126,320,0,296,0,296,23,1,0,0,0,34,0
20201127,320,0,301,5,301,18,1,0,0,0,34,0
20201128,320,0,302,1,302,17,1,0,0,0,34,0
20201129,323,3,304,2,304,18,1,0,0,0,34,0
20201130,327,4,305,1,305,21,1,0,0,0,34,0
20201201,329,2,305,0,305,23,1,0,0,0,34,0
20201202,330,1,306,1,306,23,1,0,0,0,34,0
20201203,331,1,306,0,306,24,1,0,0,0,34,0
20201204,333,2,306,0,306,26,1,0,0,0,34,0
20201206,336,3,308,2,308,27,1,0,0,0,34,0
20201207,336,0,308,0,308,27,1,0,0,0,34,0
20201208,336,0,308,0,308,27,1,0,0,0,34,0
20201209,337,1,309,1,309,27,1,0,0,0,34,0
20201210,337,0,311,2,311,25,1,0,0,0,34,0
20201211,337,0,313,2,313,23,1,0,0,0,34,0
20201212,337,0,313,0,313,23,1,0,0,0,34,0
20201213,338,1,313,0,313,24,1,0,0,0,34,0
20201214,342,4,314,1,314,27,1,0,0,0,34,0
20201215,342,0,315,1,315,26,1,0,0,0,34,0
20201216,342,0,322,7,322,19,1,0,0,0,34,0
20201217,342,0,322,0,322,19,1,0,0,0,34,0
20201218,342,0,324,2,324,17,1,0,0,0,34,0
20201219,344,2,326,2,326,17,1,0,0,0,34,0
20201220,350,6,329,3,329,20,1,0,0,0,34,0
20201221,352,2,331,2,331,20,1,0,0,0,34,0
20201222,352,0,331,0,331,20,1,0,0,0,34,0
20201223,352,0,335,4,335,16,1,0,0,0,34,0
20201224,352,0,335,0,335,16,1,0,0,0,34,0
20201225,352,0,336,1,336,15,1,0,0,0,34,0
20201226,352,0,336,0,336,15,1,0,0,0,34,0
20201227,358,6,336,0,336,21,1,0,0,0,34,0
20201228,359,1,339,3,339,19,1,0,0,0,34,0
20201229,361,2,339,0,339,21,1,0,0,0,34,0
20201230,364,3,340,1,340,23,1,0,0,0,34,0
20201231,364,0,340,0,340,23,1,0,0,0,34,0
20210101,364,0,340,0,340,23,1,0,0,0,34,0
20210102,365,1,341,1,341,23,1,0,0,0,34,0
20210103,366,1,345,4,345,20,1,0,0,0,34,0
20210104,366,0,345,0,345,20,1,0,0,0,34,0
20210105,366,0,345,0,345,20,1,0,0,0,34,0
20210106,366,0,346,1,346,19,1,0,0,0,34,0
20210107,366,0,346,0,346,19,1,0,0,0,34,0
20210108,366,0,348,2,348,17,1,0,0,0,34,0
20210109,366,0,349,1,349,16,1,0,0,0,34,0
20210110,366,0,349,0,349,16,1,0,0,0,34,0
20210111,366,0,350,1,350,15,1,0,0,0,34,0
20210112,366,0,350,0,350,15,1,0,0,0,34,0
20210113,366,0,350,0,350,15,1,0,0,0,34,0
20210114,366,0,350,0,350,15,1,0,0,0,34,0
20210115,366,0,350,0,350,15,1,0,0,0,34,0
20210116,366,0,350,0,350,15,1,0,0,0,34,0
20210117,366,0,350,0,350,15,1,0,0,0,34,0
