日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200120,5,5,0,0,0,5,0,0,0,0,0,0
20200121,10,5,0,0,0,10,0,0,0,0,0,0
20200122,14,4,0,0,0,14,0,0,0,0,0,0
20200123,26,12,0,0,0,26,0,0,0,0,0,0
20200124,36,10,0,0,0,36,0,0,0,0,0,0
20200125,51,15,2,2,2,49,0,0,0,0,0,0
20200126,68,17,2,0,2,66,0,0,0,0,0,0
20200127,80,12,2,0,2,77,1,1,0,0,0,0
20200128,102,22,4,2,4,97,1,0,0,0,0,0
20200129,114,12,4,0,4,109,1,0,0,0,0,0
20200130,132,18,5,1,5,126,1,0,0,0,0,0
20200131,156,24,5,0,5,150,1,0,0,0,0,0
20200201,183,27,9,4,9,173,1,0,0,0,0,0
20200202,212,29,12,3,12,199,1,0,0,0,0,0
20200203,228,16,23,11,23,204,1,0,0,0,0,0
20200204,253,25,24,1,24,228,1,0,0,0,0,0
20200205,274,21,31,7,31,242,1,0,0,0,0,0
20200206,297,23,33,2,33,263,1,0,0,0,0,0
20200207,315,18,34,1,34,279,2,1,0,0,0,0
20200208,326,11,37,3,37,287,2,0,0,0,0,0
20200209,337,11,44,7,44,291,2,0,0,0,0,0
20200210,342,5,48,4,48,291,3,1,0,0,0,0
20200211,352,10,56,8,56,293,3,0,0,0,0,0
20200212,366,14,68,12,68,295,3,0,0,0,0,0
20200213,372,6,79,11,79,290,3,0,0,0,0,0
20200214,375,3,97,18,97,274,4,1,0,0,0,0
20200215,380,5,105,8,105,271,4,0,0,0,0,0
20200216,381,1,114,9,114,263,4,0,0,0,0,0
20200217,387,6,122,8,122,261,4,0,0,0,0,0
20200218,393,6,145,23,145,244,4,0,0,0,0,0
20200219,395,2,153,8,153,238,4,0,0,0,0,0
20200220,396,1,169,16,169,223,4,0,0,0,0,0
20200221,399,3,178,9,178,217,4,0,0,0,0,0
20200222,399,0,189,11,189,206,4,0,0,0,0,0
20200223,399,0,198,9,198,197,4,0,0,0,0,0
20200224,400,1,215,17,215,181,4,0,0,0,0,0
20200225,400,0,235,20,235,161,4,0,0,0,0,0
20200226,410,10,248,13,248,157,5,1,0,0,0,0
20200227,410,0,257,9,257,146,7,2,0,0,0,0
20200228,410,0,257,0,257,146,7,0,0,0,0,0
