日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,1,1,0,0,0,1,0,0,0,0,0,0
20200123,1,0,0,0,0,1,0,0,0,0,0,0
20200124,3,2,0,0,0,3,0,0,0,0,0,0
20200125,3,0,0,0,0,3,0,0,0,0,0,0
20200126,4,1,0,0,0,4,0,0,0,0,0,0
20200127,5,1,0,0,0,5,0,0,0,0,0,0
20200128,8,3,0,0,0,8,0,0,0,0,0,0
20200129,8,0,0,0,0,8,0,0,0,0,0,0
20200130,9,1,0,0,0,9,0,0,0,0,0,0
20200131,10,1,0,0,0,10,0,0,0,0,0,0
20200201,10,0,0,0,0,10,0,0,0,0,0,0
20200202,10,0,0,0,0,10,0,0,0,0,0,0
20200203,10,0,0,0,0,10,0,0,0,0,0,0
20200204,11,1,0,0,0,11,0,0,0,0,0,0
20200205,11,0,0,0,0,11,0,0,0,0,0,0
20200206,16,5,1,1,1,15,0,0,0,0,0,0
20200207,16,0,1,0,1,15,0,0,0,0,0,0
20200208,17,1,1,0,1,16,0,0,0,0,0,0
20200209,18,1,1,0,1,17,0,0,0,0,0,0
20200210,18,0,1,0,1,17,0,0,0,0,0,0
20200211,18,0,1,0,1,17,0,0,0,0,0,0
20200212,18,0,1,0,1,17,0,0,0,0,0,0
20200213,18,0,1,0,1,17,0,0,0,0,0,0
20200214,18,0,1,0,1,17,0,0,0,0,0,0
20200215,18,0,2,1,2,16,0,0,0,0,0,0
20200216,20,2,2,0,2,17,1,1,0,0,0,0
20200217,22,2,2,0,2,19,1,0,0,0,0,0
20200218,22,0,2,0,2,19,1,0,0,0,0,0
20200219,24,2,2,0,2,21,1,0,0,0,0,0
20200220,24,0,2,0,2,21,1,0,0,0,0,0
20200221,26,2,2,0,2,23,1,0,0,0,0,0
20200222,26,0,2,0,2,23,1,0,0,0,0,0
20200223,28,2,5,3,5,22,1,0,0,0,0,0
20200224,30,2,5,0,5,24,1,0,0,0,0,0
20200225,31,1,5,0,5,25,1,0,0,0,0,0
20200226,32,1,5,0,5,26,1,0,0,0,0,0
20200227,32,0,6,1,6,25,1,0,0,0,0,0
20200228,34,2,9,3,9,24,1,0,0,0,0,0
20200229,39,5,9,0,9,29,1,0,0,0,0,0
20200301,40,1,12,3,12,27,1,0,0,0,0,0
20200302,41,1,12,0,12,28,1,0,0,0,0,0
20200303,42,1,12,0,12,29,1,0,0,0,0,0
20200304,42,0,12,0,12,29,1,0,0,0,0,0
20200305,44,2,12,0,12,31,1,0,0,0,0,0
20200306,45,1,12,0,12,32,1,0,0,0,0,0
20200307,45,0,13,1,13,31,1,0,0,0,0,0
20200308,45,0,15,2,15,29,1,0,0,0,0,0
20200309,45,0,15,0,15,29,1,0,0,0,0,0
20200310,47,2,17,2,17,29,1,0,0,0,0,0
20200311,48,1,17,0,17,30,1,0,0,0,0,0
20200312,49,1,20,3,20,28,1,0,0,0,0,0
20200313,50,1,20,0,20,29,1,0,0,0,0,0
20200314,53,3,20,0,20,32,1,0,0,0,0,0
20200315,59,6,20,0,20,38,1,0,0,0,0,0
20200316,67,8,22,2,22,44,1,0,0,0,0,0
20200317,77,10,22,0,22,54,1,0,0,0,0,0
20200318,100,23,22,0,22,77,1,0,0,0,0,0
20200319,108,8,26,4,26,81,1,0,0,0,0,0
20200320,135,27,28,2,28,105,2,1,0,0,0,0
20200321,153,18,28,0,28,123,2,0,0,0,0,0
20200322,169,16,28,0,28,139,2,0,0,0,0,0
20200323,195,26,29,1,29,164,2,0,0,0,0,0
20200324,216,21,29,0,29,185,2,0,0,0,0,0
20200325,235,19,29,0,29,204,2,0,0,0,19,19
20200326,252,17,29,0,29,221,2,0,0,0,34,15
20200327,267,15,30,1,30,235,2,0,0,0,34,0
20200328,283,16,30,0,30,251,2,0,0,0,241,207
20200329,298,15,39,9,39,256,3,1,0,0,0,-241
20200330,306,8,39,0,39,262,5,2,0,0,0,0
20200331,322,16,39,0,39,278,5,0,0,0,0,0
20200401,329,7,39,0,39,285,5,0,0,0,0,0
20200402,339,10,50,11,50,284,5,0,0,0,0,0
20200403,348,9,50,0,50,293,5,0,0,0,0,0
20200404,355,7,50,0,50,300,5,0,0,0,10,10
20200405,363,8,54,4,54,304,5,0,0,0,18,8
20200406,373,10,57,3,57,311,5,0,0,0,10,-8
20200407,376,3,61,4,61,310,5,0,0,0,0,-10
20200408,379,3,67,6,67,307,5,0,0,0,0,0
20200409,380,1,80,13,80,295,5,0,0,0,10,10
20200410,382,2,91,11,91,285,6,1,0,0,12,2
20200411,385,3,99,8,99,280,6,0,0,0,12,0
20200412,388,3,109,10,109,273,6,0,0,0,12,0
20200413,393,5,114,5,114,273,6,0,0,0,17,5
20200414,393,0,124,10,124,263,6,0,0,0,17,0
20200415,395,2,137,13,137,252,6,0,0,0,340,323
20200416,395,0,155,18,155,234,6,0,0,0,340,0
20200417,395,0,166,11,166,223,6,0,0,0,340,0
20200418,398,3,178,12,178,214,6,0,0,0,340,0
20200419,420,22,189,11,189,225,6,0,0,0,341,1
20200420,422,2,203,14,203,213,6,0,0,0,343,2
20200421,425,3,217,14,217,202,6,0,0,0,343,0
20200422,426,1,236,19,236,184,6,0,0,0,343,0
20200423,427,1,253,17,253,168,6,0,0,0,343,0
20200424,428,1,264,11,264,158,6,0,0,0,343,0
20200425,429,1,275,11,275,148,6,0,0,0,343,0
20200426,429,0,281,6,281,142,6,0,0,0,343,0
20200427,429,0,290,9,290,133,6,0,0,0,343,0
20200428,429,0,307,17,307,116,6,0,0,0,343,0
20200429,429,0,311,4,311,112,6,0,0,0,343,0
20200430,429,0,322,11,322,101,6,0,0,0,343,0
20200501,429,0,324,2,324,99,6,0,0,0,343,0
20200502,432,3,324,0,324,102,6,0,0,0,343,0
20200503,436,4,332,8,332,98,6,0,0,0,343,0
20200504,438,2,334,2,334,98,6,0,0,0,347,4
20200505,438,0,334,0,334,98,6,0,0,0,347,0
20200506,439,1,339,5,339,94,6,0,0,0,348,1
20200507,440,1,347,8,347,87,6,0,0,0,348,0
20200508,440,0,355,8,355,79,6,0,0,0,348,0
20200509,440,0,361,6,361,73,6,0,0,0,348,0
20200510,440,0,366,5,366,68,6,0,0,0,348,0
20200511,440,0,368,2,368,65,7,1,0,0,348,0
20200512,440,0,372,4,372,61,7,0,0,0,348,0
20200513,440,0,375,3,375,58,7,0,0,0,348,0
20200514,440,0,383,8,383,50,7,0,0,0,348,0
20200515,440,0,387,4,387,46,7,0,0,0,348,0
20200516,440,0,389,2,389,44,7,0,0,0,348,0
20200517,440,0,395,6,395,38,7,0,0,0,348,0
20200518,440,0,398,3,398,35,7,0,0,0,348,0
20200519,440,0,401,3,401,32,7,0,0,0,348,0
