日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,3,3,0,0,0,3,0,0,0,0,0,0
20200124,4,1,0,0,0,4,0,0,0,0,0,0
20200125,4,0,0,0,0,4,0,0,0,0,0,0
20200126,6,2,0,0,0,6,0,0,0,0,0,0
20200127,8,2,0,0,0,8,0,0,0,0,0,0
20200128,9,1,0,0,0,9,0,0,0,0,0,0
20200129,14,5,0,0,0,14,0,0,0,0,0,0
20200130,14,0,1,1,1,13,0,0,0,0,0,0
20200131,17,3,1,0,1,16,0,0,0,0,0,0
20200201,23,6,1,0,1,22,0,0,0,0,0,0
20200202,31,8,1,0,1,30,0,0,0,0,0,0
20200203,42,11,1,0,1,41,0,0,0,0,0,0
20200204,54,12,1,0,1,53,0,0,0,0,0,0
20200205,59,5,2,1,2,57,0,0,0,0,0,0
20200206,65,6,4,2,4,60,1,1,0,0,0,0
20200207,69,4,4,0,4,64,1,0,0,0,0,0
20200208,78,9,5,1,5,72,1,0,0,0,0,0
20200209,80,2,12,7,12,67,1,0,0,0,0,0
20200210,81,1,13,1,13,67,1,0,0,0,0,0
20200211,83,2,18,5,18,64,1,0,0,0,0,0
20200212,84,1,22,4,22,61,1,0,0,0,0,0
20200213,86,2,25,3,25,60,1,0,0,0,0,0
20200214,88,2,25,0,25,62,1,0,0,0,0,0
20200215,89,1,28,3,28,60,1,0,0,0,0,0
20200216,89,0,30,2,30,58,1,0,0,0,0,0
20200217,89,0,34,4,34,54,1,0,0,0,0,0
20200218,90,1,36,2,36,53,1,0,0,0,0,0
20200219,91,1,40,4,40,50,1,0,0,0,0,0
20200220,91,0,44,4,44,46,1,0,0,0,0,0
20200221,91,0,46,2,46,44,1,0,0,0,0,0
20200222,91,0,52,6,52,38,1,0,0,0,0,0
20200223,93,2,54,2,54,38,1,0,0,0,0,0
20200224,93,0,60,6,60,32,1,0,0,0,0,0
20200225,93,0,63,3,63,29,1,0,0,0,0,0
20200226,93,0,65,2,65,27,1,0,0,0,0,0
20200227,93,0,68,3,68,24,1,0,0,0,0,0
20200228,93,0,73,5,73,19,1,0,0,0,0,0
20200229,93,0,75,2,75,17,1,0,0,0,0,0
20200301,93,0,78,3,78,14,1,0,0,0,0,0
20200302,93,0,83,5,83,9,1,0,0,0,0,0
20200303,93,0,84,1,84,8,1,0,0,0,0,0
20200304,93,0,86,2,86,6,1,0,0,0,0,0
20200305,93,0,88,2,88,4,1,0,0,0,0,0
20200306,93,0,90,2,90,2,1,0,0,0,0,0
20200307,93,0,90,0,90,2,1,0,0,0,0,0
20200308,93,0,90,0,90,2,1,0,0,0,0,0
20200309,93,0,91,1,91,1,1,0,0,0,0,0
20200310,93,0,91,0,91,1,1,0,0,0,0,0
20200311,93,0,91,0,91,1,1,0,0,0,0,0
20200312,93,0,91,0,91,1,1,0,0,0,0,0
20200313,93,0,91,0,91,1,1,0,0,0,0,0
20200314,93,0,91,0,91,1,1,0,0,0,0,0
20200315,93,0,92,1,92,0,1,0,0,0,0,0
20200316,93,0,92,0,92,0,1,0,0,0,0,0
20200317,93,0,92,0,92,0,1,0,0,0,0,0
20200318,93,0,92,0,92,0,1,0,0,0,0,0
20200319,93,0,92,0,92,0,1,0,0,0,0,0
