日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,7,7,0,0,0,7,0,0,0,0,0,0
20200123,15,8,0,0,0,15,0,0,0,0,0,0
20200124,28,13,0,0,0,28,0,0,0,0,0,0
20200125,44,16,0,0,0,44,0,0,0,0,0,0
20200126,69,25,0,0,0,69,0,0,0,0,0,0
20200127,90,21,0,0,0,90,0,0,0,0,0,0
20200128,108,18,0,0,0,108,0,0,0,0,0,0
20200129,142,34,1,1,1,140,1,1,0,0,0,0
20200130,177,35,1,0,1,175,1,0,0,0,0,0
20200131,207,30,3,2,3,203,1,0,0,0,0,0
20200201,231,24,3,0,3,227,1,0,0,0,0,0
20200202,254,23,12,9,12,241,1,0,0,0,0,0
20200203,282,28,14,2,14,267,1,0,0,0,0,0
20200204,301,19,23,9,23,277,1,0,0,0,0,0
20200205,321,20,27,4,27,293,1,0,0,0,0,0
20200206,344,23,37,10,37,306,1,0,0,0,0,0
20200207,363,19,50,13,50,312,1,0,0,0,0,0
20200208,386,23,60,10,60,325,1,0,0,0,0,0
20200209,405,19,76,16,76,328,1,0,0,0,0,0
20200210,417,12,82,6,82,334,1,0,0,0,0,0
20200211,436,19,85,3,85,350,1,0,0,0,0,0
20200212,451,15,93,8,93,357,1,0,0,0,0,0
20200213,463,12,105,12,105,357,1,0,0,0,0,0
20200214,470,7,115,10,115,354,1,0,0,0,0,0
20200215,481,11,127,12,127,351,3,2,0,0,0,0
20200216,495,14,136,9,136,356,3,0,0,0,0,0
20200217,508,13,163,27,163,342,3,0,0,0,0,0
20200218,514,6,177,14,177,334,3,0,0,0,0,0
20200219,520,6,198,21,198,319,3,0,0,0,0,0
20200220,525,5,222,24,222,300,3,0,0,0,0,0
20200221,526,1,242,20,242,281,3,0,0,0,0,0
20200222,526,0,256,14,256,267,3,0,0,0,0,0
20200223,527,1,263,7,263,261,3,0,0,0,0,0
20200224,529,2,278,15,278,248,3,0,0,0,0,0
20200225,531,2,292,14,292,236,3,0,0,0,0,0
20200226,534,3,310,18,310,221,3,0,0,0,0,0
20200227,538,4,326,16,326,209,3,0,0,0,0,0
20200228,538,0,350,24,350,185,3,0,0,0,0,0
20200229,538,0,363,13,363,172,3,0,0,0,0,0
20200301,538,0,378,15,378,157,3,0,0,0,0,0
20200302,538,0,389,11,389,146,3,0,0,0,0,0
20200303,538,0,400,11,400,135,3,0,0,0,0,0
20200304,539,1,418,18,418,118,3,0,0,0,0,0
20200305,539,0,428,10,428,108,3,0,0,0,0,0
20200306,539,0,448,20,448,88,3,0,0,0,0,0
20200307,539,0,457,9,457,79,3,0,0,0,0,0
20200308,539,0,465,8,465,71,3,0,0,0,0,0
20200309,539,0,470,5,470,66,3,0,0,0,0,0
20200310,539,0,484,14,484,52,3,0,0,0,0,0
20200311,539,0,494,10,494,42,3,0,0,0,0,0
20200312,539,0,500,6,500,36,3,0,0,0,0,0
20200313,539,0,510,10,510,26,3,0,0,0,0,0
20200314,539,0,515,5,515,21,3,0,0,0,0,0
20200315,539,0,516,1,516,20,3,0,0,0,0,0
20200316,539,0,520,4,520,16,3,0,0,0,0,0
20200317,540,1,525,5,525,12,3,0,0,0,0,0
20200318,540,0,531,6,531,6,3,0,0,0,0,0
20200319,541,1,536,5,536,2,3,0,0,0,0,0
20200320,542,1,536,0,536,3,3,0,0,0,0,0
20200321,543,1,536,0,536,4,3,0,0,0,0,0
20200322,543,0,536,0,536,4,3,0,0,0,0,0
20200323,545,2,536,0,536,6,3,0,0,0,0,0
20200324,547,2,536,0,536,8,3,0,0,0,2,2
20200325,547,0,536,0,536,8,3,0,0,0,2,0
20200326,548,1,536,0,536,9,3,0,0,0,2,0
20200327,548,0,536,0,536,9,3,0,0,0,2,0
20200328,550,2,536,0,536,11,3,0,0,0,2,0
20200329,550,0,536,0,536,11,3,0,0,0,11,9
20200330,550,0,536,0,536,11,3,0,0,0,11,0
20200331,552,2,536,0,536,13,3,0,0,0,13,2
20200401,554,2,537,1,537,14,3,0,0,0,13,0
20200402,555,1,537,0,537,15,3,0,0,0,0,-13
20200403,557,2,538,1,538,16,3,0,0,0,0,0
20200404,558,1,539,1,539,16,3,0,0,0,13,13
20200405,559,1,540,1,540,16,3,0,0,0,13,0
20200406,560,1,541,1,541,16,3,0,0,0,13,0
20200407,560,0,541,0,541,16,3,0,0,0,0,-13
20200408,560,0,541,0,541,16,3,0,0,0,0,0
20200409,560,0,546,5,546,11,3,0,0,0,13,13
20200410,560,0,547,1,547,10,3,0,0,0,13,0
20200411,560,0,547,0,547,10,3,0,0,0,13,0
20200412,560,0,548,1,548,9,3,0,0,0,13,0
20200413,560,0,548,0,548,9,3,0,0,0,13,0
20200414,560,0,550,2,550,7,3,0,0,0,13,0
20200415,560,0,552,2,552,5,3,0,0,0,13,0
20200416,560,0,552,0,552,5,3,0,0,0,13,0
20200417,561,1,553,1,553,5,3,0,0,0,13,0
20200418,561,0,554,1,554,4,3,0,0,0,13,0
20200419,561,0,554,0,554,4,3,0,0,0,13,0
20200420,561,0,554,0,554,4,3,0,0,0,13,0
20200421,561,0,556,2,556,2,3,0,0,0,13,0
20200422,561,0,557,1,557,1,3,0,0,0,13,0
20200423,561,0,558,1,558,0,3,0,0,0,13,0
20200424,561,0,558,0,558,0,3,0,0,0,13,0
20200425,561,0,558,0,558,0,3,0,0,0,13,0
20200426,561,0,558,0,558,0,3,0,0,0,13,0
20200427,561,0,558,0,558,0,3,0,0,0,13,0
20200428,561,0,558,0,558,0,3,0,0,0,13,0
20200429,561,0,558,0,558,0,3,0,0,0,13,0
20200430,561,0,558,0,558,0,3,0,0,0,13,0
20200501,561,0,558,0,558,0,3,0,0,0,13,0
20200502,561,0,558,0,558,0,3,0,0,0,13,0
20200503,561,0,558,0,558,0,3,0,0,0,13,0
20200504,561,0,558,0,558,0,3,0,0,0,13,0
20200505,561,0,558,0,558,0,3,0,0,0,13,0
20200506,561,0,558,0,558,0,3,0,0,0,13,0
20200507,561,0,558,0,558,0,3,0,0,0,13,0
20200508,561,0,558,0,558,0,3,0,0,0,13,0
20200509,561,0,558,0,558,0,3,0,0,0,13,0
20200510,561,0,558,0,558,0,3,0,0,0,13,0
20200511,561,0,558,0,558,0,3,0,0,0,13,0
20200512,561,0,558,0,558,0,3,0,0,0,13,0
20200513,561,0,558,0,558,0,3,0,0,0,13,0
20200514,561,0,558,0,558,0,3,0,0,0,13,0
20200515,561,0,558,0,558,0,3,0,0,0,13,0
20200516,561,0,558,0,558,0,3,0,0,0,13,0
20200517,561,0,558,0,558,0,3,0,0,0,13,0
20200518,561,0,558,0,558,0,3,0,0,0,13,0
20200519,561,0,558,0,558,0,3,0,0,0,13,0
20200520,561,0,558,0,558,0,3,0,0,0,13,0
20200521,563,2,558,0,558,2,3,0,0,0,13,0
20200522,563,0,558,0,558,2,3,0,0,0,13,0
20200523,563,0,558,0,558,2,3,0,0,0,13,0
20200524,564,1,558,0,558,3,3,0,0,0,13,0
20200525,564,0,558,0,558,3,3,0,0,0,13,0
20200526,564,0,558,0,558,3,3,0,0,0,13,0
20200527,564,0,558,0,558,3,3,0,0,0,13,0
20200528,564,0,558,0,558,3,3,0,0,0,13,0
20200529,564,0,558,0,558,3,3,0,0,0,13,0
20200530,564,0,558,0,558,3,3,0,0,0,13,0
20200531,575,11,558,0,558,14,3,0,0,0,13,0
20200601,577,2,558,0,558,16,3,0,0,0,13,0
20200602,577,0,558,0,558,16,3,0,0,0,13,0
20200603,577,0,558,0,558,16,3,0,0,0,13,0
20200604,578,1,558,0,558,17,3,0,0,0,13,0
20200605,578,0,558,0,558,17,3,0,0,0,13,0
20200606,578,0,558,0,558,17,3,0,0,0,13,0
20200607,581,3,558,0,558,20,3,0,0,0,13,0
20200608,582,1,558,0,558,21,3,0,0,0,13,0
20200609,582,0,558,0,558,21,3,0,0,0,13,0
20200610,582,0,560,2,560,19,3,0,0,0,13,0
20200611,582,0,561,1,561,18,3,0,0,0,13,0
20200612,583,1,562,1,562,18,3,0,0,0,13,0
20200613,583,0,563,1,563,17,3,0,0,0,13,0
20200614,587,4,563,0,563,21,3,0,0,0,13,0
20200615,588,1,564,1,564,21,3,0,0,0,13,0
20200616,589,1,565,1,565,21,3,0,0,0,13,0
20200617,589,0,567,2,567,19,3,0,0,0,13,0
20200618,589,0,569,2,569,17,3,0,0,0,13,0
20200619,589,0,570,1,570,16,3,0,0,0,13,0
20200620,589,0,570,0,570,16,3,0,0,0,13,0
20200621,589,0,570,0,570,16,3,0,0,0,13,0
20200622,589,0,572,2,572,14,3,0,0,0,13,0
20200623,589,0,573,1,573,13,3,0,0,0,13,0
20200624,589,0,575,2,575,11,3,0,0,0,13,0
20200625,589,0,575,0,575,11,3,0,0,0,13,0
20200626,589,0,575,0,575,11,3,0,0,0,13,0
20200627,589,0,575,0,575,11,3,0,0,0,13,0
20200628,592,3,577,2,577,12,3,0,0,0,13,0
20200629,595,3,578,1,578,14,3,0,0,0,13,0
20200630,595,0,580,2,580,12,3,0,0,0,13,0
20200701,595,0,580,0,580,12,3,0,0,0,13,0
20200702,595,0,581,1,581,11,3,0,0,0,13,0
20200703,595,0,581,0,581,11,3,0,0,0,13,0
20200704,596,1,581,0,581,12,3,0,0,0,13,0
20200705,596,0,581,0,581,12,3,0,0,0,13,0
20200706,598,2,581,0,581,14,3,0,0,0,13,0
20200707,598,0,581,0,581,14,3,0,0,0,13,0
20200708,599,1,582,1,582,14,3,0,0,0,13,0
20200709,599,0,585,3,585,11,3,0,0,0,13,0
20200710,599,0,587,2,587,9,3,0,0,0,13,0
20200711,599,0,587,0,587,9,3,0,0,0,13,0
20200712,599,0,587,0,587,9,3,0,0,0,13,0
20200713,599,0,589,2,589,7,3,0,0,0,13,0
20200714,599,0,589,0,589,7,3,0,0,0,13,0
20200715,599,0,590,1,590,6,3,0,0,0,13,0
20200716,599,0,591,1,591,5,3,0,0,0,13,0
20200717,599,0,592,1,592,4,3,0,0,0,13,0
20200718,599,0,592,0,592,4,3,0,0,0,13,0
20200719,602,3,592,0,592,7,3,0,0,0,13,0
20200720,603,1,593,1,593,7,3,0,0,0,13,0
20200722,603,0,594,1,594,6,3,0,0,0,13,0
20200724,603,0,594,0,594,6,3,0,0,0,13,0
20200725,603,0,594,0,594,6,3,0,0,0,13,0
20200726,604,1,594,0,594,7,3,0,0,0,13,0
20200727,604,0,595,1,595,6,3,0,0,0,13,0
20200728,604,0,596,1,596,5,3,0,0,0,13,0
20200729,604,0,596,0,596,5,3,0,0,0,13,0
20200730,604,0,597,1,597,4,3,0,0,0,13,0
20200731,604,0,597,0,597,4,3,0,0,0,13,0
20200801,608,4,597,0,597,8,3,0,0,0,13,0
20200802,608,0,597,0,597,8,3,0,0,0,13,0
20200803,609,1,597,0,597,9,3,0,0,0,13,0
20200804,610,1,598,1,598,9,3,0,0,0,13,0
20200806,611,1,599,1,599,9,3,0,0,0,13,0
20200807,611,0,599,0,599,9,3,0,0,0,13,0
20200808,611,0,599,0,599,9,3,0,0,0,13,0
20200809,615,4,599,0,599,13,3,0,0,0,13,0
20200810,615,0,599,0,599,13,3,0,0,0,13,0
20200812,618,3,602,3,602,13,3,0,0,0,13,0
20200813,619,1,605,3,605,11,3,0,0,0,13,0
20200814,623,4,606,1,606,14,3,0,0,0,13,0
20200815,624,1,606,0,606,15,3,0,0,0,13,0
20200816,626,2,606,0,606,17,3,0,0,0,13,0
20200817,626,0,608,2,608,15,3,0,0,0,13,0
20200818,626,0,609,1,609,14,3,0,0,0,13,0
20200820,628,2,610,1,610,15,3,0,0,0,14,1
20200821,628,0,611,1,611,14,3,0,0,0,14,0
20200822,628,0,611,0,611,14,3,0,0,0,14,0
20200823,631,3,611,0,611,17,3,0,0,0,14,0
20200824,635,4,615,4,615,17,3,0,0,0,14,0
20200825,640,5,617,2,617,20,3,0,0,0,14,0
20200826,644,4,619,2,619,22,3,0,0,0,14,0
20200827,648,4,620,1,620,25,3,0,0,0,14,0
