日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200121,2,2,0,0,0,2,0,0,0,0,0,0
20200122,4,2,0,0,0,4,0,0,0,0,0,0
20200123,5,1,0,0,0,5,0,0,0,0,0,0
20200124,8,3,0,0,0,8,0,0,0,0,0,0
20200125,10,2,0,0,0,10,0,0,0,0,0,0
20200126,14,4,0,0,0,14,0,0,0,0,0,0
20200127,23,9,0,0,0,23,0,0,0,0,0,0
20200128,24,1,0,0,0,24,0,0,0,0,0,0
20200129,27,3,0,0,0,27,0,0,0,0,0,0
20200130,31,4,0,0,0,31,0,0,0,0,0,0
20200131,32,1,0,0,0,32,0,0,0,0,0,0
20200201,41,9,0,0,0,41,0,0,0,0,0,0
20200202,48,7,1,1,1,47,0,0,0,0,0,0
20200203,60,12,1,0,1,59,0,0,0,0,0,0
20200204,67,7,2,1,2,65,0,0,0,0,0,0
20200205,78,11,2,0,2,75,1,1,0,0,0,0
20200206,79,1,2,0,2,76,1,0,0,0,0,0
20200207,81,2,2,0,2,78,1,0,0,0,0,0
20200208,88,7,4,2,4,83,1,0,0,0,0,0
20200209,91,3,4,0,4,86,1,0,0,0,0,0
20200210,95,4,4,0,4,89,2,1,0,0,0,0
20200211,106,11,10,6,10,94,2,0,0,0,0,0
20200212,112,6,11,1,11,99,2,0,0,0,0,0
20200213,119,7,21,10,21,95,3,1,0,0,0,0
20200214,120,1,32,11,32,85,3,0,0,0,0,0
20200215,122,2,37,5,37,82,3,0,0,0,0,0
20200216,124,2,45,8,45,76,3,0,0,0,0,0
20200217,125,1,46,1,46,76,3,0,0,0,0,0
20200218,128,3,48,2,48,77,3,0,0,0,0,0
20200219,130,2,54,6,54,73,3,0,0,0,0,0
20200220,131,1,59,5,59,69,3,0,0,0,0,0
20200221,133,2,62,3,62,68,3,0,0,0,0,0
20200222,135,2,65,3,65,67,3,0,0,0,0,0
20200223,135,0,81,16,81,51,3,0,0,0,0,0
20200224,135,0,87,6,87,45,3,0,0,0,0,0
20200225,135,0,91,4,91,41,3,0,0,0,0,0
20200226,135,0,96,5,96,36,3,0,0,0,0,0
20200227,136,1,102,6,102,31,3,0,0,0,0,0
20200228,136,0,105,3,105,28,3,0,0,0,0,0
20200229,136,0,109,4,109,24,3,0,0,0,0,0
20200301,136,0,111,2,111,22,3,0,0,0,0,0
20200302,136,0,118,7,118,15,3,0,0,0,0,0
20200303,136,0,124,6,124,9,3,0,0,0,0,0
20200304,136,0,128,4,128,5,3,0,0,0,0,0
20200305,136,0,128,0,128,5,3,0,0,0,0,0
20200306,136,0,128,0,128,5,3,0,0,0,0,0
20200307,136,0,128,0,128,5,3,0,0,0,0,0
20200308,136,0,129,1,129,4,3,0,0,0,0,0
20200309,136,0,130,1,130,3,3,0,0,0,0,0
20200310,136,0,131,1,131,2,3,0,0,0,0,0
20200311,136,0,132,1,132,1,3,0,0,0,0,0
20200312,136,0,132,0,132,1,3,0,0,0,0,0
20200313,136,0,132,0,132,1,3,0,0,0,0,0
20200314,136,0,132,0,132,1,3,0,0,0,0,0
20200315,136,0,133,1,133,0,3,0,0,0,0,0
20200316,136,0,133,0,133,0,3,0,0,0,0,0
20200317,136,0,133,0,133,0,3,0,0,0,0,0
20200318,136,0,133,0,133,0,3,0,0,0,0,0
20200319,137,1,133,0,133,1,3,0,0,0,0,0
20200320,137,0,133,0,133,1,3,0,0,0,0,0
20200321,137,0,133,0,133,1,3,0,0,0,0,0
20200322,137,0,133,0,133,1,3,0,0,0,0,0
20200323,141,4,133,0,133,5,3,0,0,0,0,0
20200324,145,4,133,0,133,9,3,0,0,0,0,0
20200325,147,2,133,0,133,11,3,0,0,0,0,0
20200326,152,5,133,0,133,16,3,0,0,0,15,15
20200327,156,4,133,0,133,20,3,0,0,0,15,0
20200328,163,7,133,0,133,27,3,0,0,0,25,10
20200329,166,3,133,0,133,30,3,0,0,0,25,0
20200330,174,8,133,0,133,38,3,0,0,0,25,0
20200331,174,0,135,2,135,36,3,0,0,0,0,-25
20200401,176,2,135,0,135,38,3,0,0,0,0,0
20200402,177,1,140,5,140,34,3,0,0,0,0,0
20200403,180,3,140,0,140,37,3,0,0,0,0,0
20200404,180,0,144,4,144,33,3,0,0,0,0,0
20200405,180,0,144,0,144,33,3,0,0,0,0,0
20200406,180,0,151,7,151,26,3,0,0,0,0,0
20200407,180,0,152,1,152,25,3,0,0,0,0,0
20200408,181,1,152,0,152,26,3,0,0,0,0,0
20200409,182,1,154,2,154,25,3,0,0,0,0,0
20200410,183,1,158,4,158,22,3,0,0,0,0,0
20200411,183,0,161,3,161,19,3,0,0,0,0,0
20200412,184,1,161,0,161,20,3,0,0,0,48,48
20200413,184,0,164,3,164,17,3,0,0,0,48,0
20200414,185,1,168,4,168,14,3,0,0,0,48,0
20200415,185,0,171,3,171,11,3,0,0,0,48,0
20200416,186,1,172,1,172,11,3,0,0,0,48,0
20200417,189,3,173,1,173,13,3,0,0,0,48,0
20200418,189,0,173,0,173,13,3,0,0,0,48,0
20200419,189,0,174,1,174,12,3,0,0,0,48,0
20200420,189,0,174,0,174,12,3,0,0,0,48,0
20200421,189,0,176,2,176,10,3,0,0,0,48,0
20200422,189,0,178,2,178,8,3,0,0,0,48,0
