日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,2,2,0,0,0,2,0,0,0,0,0,0
20200124,3,1,0,0,0,3,0,0,0,0,0,0
20200125,4,1,0,0,0,4,0,0,0,0,0,0
20200126,7,3,0,0,0,7,0,0,0,0,0,0
20200127,11,4,0,0,0,11,0,0,0,0,0,0
20200128,12,1,0,0,0,12,0,0,0,0,0,0
20200129,17,5,0,0,0,17,0,0,0,0,0,0
20200130,21,4,0,0,0,21,0,0,0,0,0,0
20200131,26,5,0,0,0,26,0,0,0,0,0,0
20200201,28,2,0,0,0,28,0,0,0,0,0,0
20200202,31,3,0,0,0,31,0,0,0,0,0,0
20200203,34,3,1,1,1,33,0,0,0,0,0,0
20200204,34,0,1,0,1,33,0,0,0,0,0,0
20200205,40,6,1,0,1,39,0,0,0,0,0,0
20200206,43,3,1,0,1,42,0,0,0,0,0,0
20200207,45,2,3,2,3,42,0,0,0,0,0,0
20200208,45,0,13,10,13,32,0,0,0,0,0,0
20200209,49,4,13,0,13,36,0,0,0,0,0,0
20200210,53,4,14,1,14,39,0,0,0,0,0,0
20200211,58,5,22,8,22,36,0,0,0,0,0,0
20200212,64,6,24,2,24,40,0,0,0,0,0,0
20200213,67,3,24,0,24,43,0,0,0,0,0,0
20200214,70,3,27,3,27,43,0,0,0,0,0,0
20200215,70,0,33,6,33,37,0,0,0,0,0,0
20200216,70,0,33,0,33,37,0,0,0,0,0,0
20200217,70,0,35,2,35,35,0,0,0,0,0,0
20200218,71,1,42,7,42,29,0,0,0,0,0,0
20200219,71,0,42,0,42,29,0,0,0,0,0,0
20200220,71,0,44,2,44,27,0,0,0,0,0,0
20200221,71,0,48,4,48,23,0,0,0,0,0,0
20200222,71,0,48,0,48,23,0,0,0,0,0,0
20200223,71,0,57,9,57,14,0,0,0,0,0,0
20200224,71,0,58,1,58,13,0,0,0,0,0,0
20200225,71,0,61,3,61,10,0,0,0,0,0,0
20200226,72,1,65,4,65,7,0,0,0,0,0,0
20200227,72,0,68,3,68,4,0,0,0,0,0,0
20200228,73,1,68,0,68,5,0,0,0,0,0,0
20200229,73,0,69,1,69,4,0,0,0,0,0,0
20200301,74,1,69,0,69,5,0,0,0,0,0,0
20200302,74,0,69,0,69,5,0,0,0,0,0,0
20200303,75,1,69,0,69,6,0,0,0,0,0,0
20200304,75,0,69,0,69,6,0,0,0,0,0,0
20200305,75,0,69,0,69,6,0,0,0,0,0,0
20200306,75,0,71,2,71,4,0,0,0,0,0,0
20200307,75,0,71,0,71,4,0,0,0,0,0,0
20200308,75,0,71,0,71,4,0,0,0,0,0,0
20200309,75,0,71,0,71,4,0,0,0,0,0,0
20200310,75,0,71,0,71,4,0,0,0,0,0,0
20200311,75,0,72,1,72,3,0,0,0,0,0,0
20200312,75,0,72,0,72,3,0,0,0,0,0,0
20200313,75,0,72,0,72,3,0,0,0,0,0,0
20200314,75,0,73,1,73,2,0,0,0,0,0,0
20200315,75,0,73,0,73,2,0,0,0,0,0,0
20200316,75,0,75,2,75,0,0,0,0,0,0,0
20200317,75,0,75,0,75,0,0,0,0,0,0,0
20200318,75,0,75,0,75,0,0,0,0,0,0,0
20200319,75,0,75,0,75,0,0,0,0,0,0,0
20200320,75,0,75,0,75,0,0,0,0,0,0,0
20200321,75,0,75,0,75,0,0,0,0,0,0,0
20200322,75,0,75,0,75,0,0,0,0,0,0,0
20200323,75,0,75,0,75,0,0,0,0,0,0,0
20200324,75,0,75,0,75,0,0,0,0,0,0,0
20200325,75,0,75,0,75,0,0,0,0,0,0,0
20200326,75,0,75,0,75,0,0,0,0,0,0,0
20200327,75,0,75,0,75,0,0,0,0,0,0,0
20200328,75,0,75,0,75,0,0,0,0,0,0,0
20200329,75,0,75,0,75,0,0,0,0,0,0,0
20200330,75,0,75,0,75,0,0,0,0,0,0,0
20200331,75,0,75,0,75,0,0,0,0,0,0,0
20200401,75,0,75,0,75,0,0,0,0,0,0,0
20200402,75,0,75,0,75,0,0,0,0,0,0,0
20200403,75,0,75,0,75,0,0,0,0,0,0,0
20200404,75,0,75,0,75,0,0,0,0,0,0,0
20200405,75,0,75,0,75,0,0,0,0,0,0,0
20200406,75,0,75,0,75,0,0,0,0,0,0,0
20200407,75,0,75,0,75,0,0,0,0,0,0,0
20200408,75,0,75,0,75,0,0,0,0,0,0,0
20200409,75,0,75,0,75,0,0,0,0,0,0,0
20200410,75,0,75,0,75,0,0,0,0,0,0,0
20200411,75,0,75,0,75,0,0,0,0,0,0,0
20200412,75,0,75,0,75,0,0,0,0,0,0,0
20200413,75,0,75,0,75,0,0,0,0,0,0,0
20200414,75,0,75,0,75,0,0,0,0,0,0,0
20200415,75,0,75,0,75,0,0,0,0,0,0,0
20200416,75,0,75,0,75,0,0,0,0,0,0,0
20200417,75,0,75,0,75,0,0,0,0,0,0,0
20200418,75,0,75,0,75,0,0,0,0,0,0,0
20200419,75,0,75,0,75,0,0,0,0,0,0,0
20200420,75,0,75,0,75,0,0,0,0,0,0,0
20200421,75,0,75,0,75,0,0,0,0,0,0,0
20200422,75,0,75,0,75,0,0,0,0,0,0,0
20200423,75,0,75,0,75,0,0,0,0,0,0,0
