日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,9,9,0,0,0,9,0,0,0,0,0,0
20200123,15,6,0,0,0,15,0,0,0,0,0,0
20200124,39,24,0,0,0,39,0,0,0,0,0,0
20200125,60,21,0,0,0,60,0,0,0,0,0,0
20200126,70,10,0,0,0,70,0,0,0,0,0,0
20200127,106,36,0,0,0,106,0,0,0,0,0,0
20200128,152,46,0,0,0,152,0,0,0,0,0,0
20200129,200,48,2,2,2,198,0,0,0,0,0,0
20200130,237,37,3,1,3,234,0,0,0,0,0,0
20200131,297,60,3,0,3,294,0,0,0,0,0,0
20200201,340,43,7,4,7,333,0,0,0,0,0,0
20200202,408,68,7,0,7,401,0,0,0,0,0,0
20200203,480,72,14,7,14,466,0,0,0,0,0,0
20200204,530,50,20,6,20,510,0,0,0,0,0,0
20200205,591,61,23,3,23,568,0,0,0,0,0,0
20200206,665,74,34,11,34,631,0,0,0,0,0,0
20200207,733,68,47,13,47,686,0,0,0,0,0,0
20200208,779,46,59,12,59,719,1,1,0,0,0,0
20200209,830,51,73,14,73,754,3,2,0,0,0,0
20200210,860,30,88,15,88,768,4,1,0,0,0,0
20200211,889,29,108,20,108,777,4,0,0,0,0,0
20200212,910,21,128,20,128,777,5,1,0,0,0,0
20200213,934,24,166,38,166,762,6,1,0,0,0,0
20200214,950,16,198,32,198,746,6,0,0,0,0,0
20200215,962,12,232,34,232,724,6,0,0,0,0,0
20200216,973,11,266,34,266,701,6,0,0,0,0,0
20200217,982,9,293,27,293,683,6,0,0,0,0,0
20200218,986,4,361,68,361,619,6,0,0,0,0,0
20200219,987,1,424,63,424,557,6,0,0,0,0,0
20200220,988,1,500,76,500,482,6,0,0,0,0,0
20200221,989,1,567,67,567,416,6,0,0,0,0,0
20200222,989,0,620,53,620,363,6,0,0,0,0,0
20200223,989,0,648,28,648,335,6,0,0,0,0,0
20200224,989,0,692,44,692,291,6,0,0,0,0,0
20200225,989,0,727,35,727,256,6,0,0,0,0,0
20200226,989,0,764,37,764,219,6,0,0,0,0,0
20200227,990,1,814,50,814,170,6,0,0,0,0,0
20200228,990,0,842,28,842,142,6,0,0,0,0,0
20200229,990,0,868,26,868,116,6,0,0,0,0,0
20200301,990,0,888,20,888,96,6,0,0,0,0,0
20200302,990,0,917,29,917,67,6,0,0,0,0,0
20200303,990,0,941,24,941,43,6,0,0,0,0,0
20200304,990,0,956,15,956,28,6,0,0,0,0,0
20200305,990,0,970,14,970,14,6,0,0,0,0,0
