日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,9,9,0,0,0,9,0,0,0,0,0,0
20200124,21,12,0,0,0,21,0,0,0,0,0,0
20200125,39,18,0,0,0,39,0,0,0,0,0,0
20200126,63,24,0,0,0,63,0,0,0,0,0,0
20200127,87,24,0,0,0,87,0,0,0,0,0,0
20200128,121,34,0,0,0,121,0,0,0,0,0,0
20200129,145,24,1,1,1,144,0,0,0,0,0,0
20200130,178,33,2,1,2,176,0,0,0,0,0,0
20200131,202,24,2,0,2,200,0,0,0,0,0,0
20200201,225,23,5,3,5,220,0,0,0,0,0,0
20200202,246,21,6,1,6,240,0,0,0,0,0,0
20200203,270,24,7,1,7,263,0,0,0,0,0,0
20200204,298,28,13,6,13,285,0,0,0,0,0,0
20200205,343,45,18,5,18,325,0,0,0,0,0,0
20200206,379,36,31,13,31,348,0,0,0,0,0,0
20200207,407,28,38,7,38,369,0,0,0,0,0,0
20200208,435,28,50,12,50,384,1,1,0,0,0,0
20200209,459,24,63,13,63,395,1,0,0,0,0,0
20200210,486,27,71,8,71,414,1,0,0,0,0,0
20200211,497,11,80,9,80,416,1,0,0,0,0,0
20200212,506,9,98,18,98,406,2,1,0,0,0,0
20200213,519,13,111,13,111,406,2,0,0,0,0,0
20200214,530,11,139,28,139,389,2,0,0,0,0,0
20200215,537,7,164,25,164,371,2,0,0,0,0,0
20200216,541,4,175,11,175,364,2,0,0,0,0,0
20200217,543,2,193,18,193,348,2,0,0,0,0,0
20200218,544,1,215,22,215,326,3,1,0,0,0,0
20200219,546,2,238,23,238,304,4,1,0,0,0,0
20200220,748,202,270,32,270,474,4,0,0,0,0,0
20200221,750,2,293,23,293,453,4,0,0,0,0,0
20200222,754,4,311,18,311,439,4,0,0,0,0,0
20200223,755,1,325,14,325,426,4,0,0,0,0,0
20200224,755,0,343,18,343,406,6,2,0,0,0,0
20200225,756,1,357,14,357,393,6,0,0,0,0,0
20200226,756,0,381,24,381,369,6,0,0,0,0,0
20200227,756,0,390,9,390,360,6,0,0,0,0,0
20200228,756,0,411,21,411,339,6,0,0,0,0,0
20200229,756,0,431,20,431,319,6,0,0,0,0,0
20200301,758,2,455,24,455,297,6,0,0,0,0,0
20200302,758,0,497,42,497,255,6,0,0,0,0,0
20200303,758,0,511,14,511,241,6,0,0,0,0,0
20200304,758,0,576,65,576,176,6,0,0,0,0,0
20200305,758,0,602,26,602,150,6,0,0,0,0,0
20200306,758,0,625,23,625,127,6,0,0,0,0,0
20200307,758,0,637,12,637,115,6,0,0,0,0,0
20200308,758,0,647,10,647,105,6,0,0,0,0,0
20200309,758,0,703,56,703,49,6,0,0,0,0,0
20200310,759,1,721,18,721,32,6,0,0,0,0,0
20200311,760,1,733,12,733,21,6,0,0,0,0,0
20200312,760,0,739,6,739,14,7,1,0,0,0,0
20200313,760,0,740,1,740,13,7,0,0,0,0,0
20200314,760,0,741,1,741,12,7,0,0,0,0,0
20200315,760,0,743,2,743,10,7,0,0,0,0,0
20200316,761,1,746,3,746,8,7,0,0,0,0,0
20200317,761,0,746,0,746,8,7,0,0,0,0,0
20200318,761,0,747,1,747,7,7,0,0,0,0,0
20200319,762,1,748,1,748,7,7,0,0,0,0,0
20200320,764,2,749,1,749,8,7,0,0,0,0,0
20200321,765,1,750,1,750,8,7,0,0,0,0,0
20200322,767,2,751,1,751,9,7,0,0,0,0,0
20200323,768,1,752,1,752,9,7,0,0,0,0,0
20200324,769,1,752,0,752,10,7,0,0,0,0,0
20200325,769,0,752,0,752,10,7,0,0,0,0,0
20200326,771,2,752,0,752,12,7,0,0,0,12,12
20200327,772,1,752,0,752,13,7,0,0,0,12,0
20200328,772,0,752,0,752,13,7,0,0,0,12,0
20200329,773,1,753,1,753,13,7,0,0,0,14,2
20200330,774,1,753,0,753,14,7,0,0,0,14,0
20200331,774,0,753,0,753,14,7,0,0,0,14,0
20200401,775,1,753,0,753,15,7,0,0,0,14,0
20200402,778,3,754,1,754,17,7,0,0,0,0,-14
20200403,778,0,755,1,755,16,7,0,0,0,0,0
20200404,779,1,755,0,755,17,7,0,0,0,14,14
20200405,780,1,755,0,755,18,7,0,0,0,14,0
20200406,781,1,755,0,755,19,7,0,0,0,14,0
20200407,783,2,755,0,755,21,7,0,0,0,0,-14
20200408,783,0,756,1,756,20,7,0,0,0,0,0
20200409,783,0,756,0,756,20,7,0,0,0,14,14
20200410,784,1,757,1,757,20,7,0,0,0,14,0
20200411,784,0,757,0,757,20,7,0,0,0,14,0
20200412,784,0,758,1,758,19,7,0,0,0,14,0
20200413,784,0,759,1,759,18,7,0,0,0,14,0
20200414,784,0,761,2,761,16,7,0,0,0,14,0
20200415,784,0,761,0,761,16,7,0,0,0,14,0
20200416,787,3,761,0,761,19,7,0,0,0,14,0
20200417,787,0,765,4,765,15,7,0,0,0,14,0
20200418,787,0,765,0,765,15,7,0,0,0,14,0
20200419,787,0,765,0,765,15,7,0,0,0,14,0
20200420,787,0,765,0,765,15,7,0,0,0,14,0
20200421,787,0,766,1,766,14,7,0,0,0,14,0
20200422,787,0,766,0,766,14,7,0,0,0,14,0
20200423,787,0,766,0,766,14,7,0,0,0,14,0
20200424,787,0,767,1,767,13,7,0,0,0,14,0
20200425,787,0,767,0,767,13,7,0,0,0,14,0
20200426,787,0,768,1,768,12,7,0,0,0,14,0
20200427,787,0,768,0,768,12,7,0,0,0,14,0
20200428,787,0,771,3,771,9,7,0,0,0,14,0
20200429,787,0,772,1,772,8,7,0,0,0,14,0
20200430,787,0,772,0,772,8,7,0,0,0,14,0
20200501,787,0,772,0,772,8,7,0,0,0,14,0
20200502,787,0,772,0,772,8,7,0,0,0,14,0
20200503,788,1,773,1,773,8,7,0,0,0,14,0
20200504,788,0,773,0,773,8,7,0,0,0,14,0
20200505,788,0,775,2,775,6,7,0,0,0,14,0
20200506,788,0,775,0,775,6,7,0,0,0,14,0
20200507,788,0,776,1,776,5,7,0,0,0,14,0
20200508,788,0,776,0,776,5,7,0,0,0,14,0
20200509,788,0,776,0,776,5,7,0,0,0,14,0
20200510,788,0,777,1,777,4,7,0,0,0,14,0
20200511,788,0,777,0,777,4,7,0,0,0,14,0
20200512,788,0,777,0,777,4,7,0,0,0,14,0
20200513,788,0,777,0,777,4,7,0,0,0,14,0
20200514,788,0,778,1,778,3,7,0,0,0,14,0
20200515,788,0,780,2,780,1,7,0,0,0,14,0
20200516,788,0,780,0,780,1,7,0,0,0,14,0
20200517,788,0,780,0,780,1,7,0,0,0,14,0
20200518,788,0,780,0,780,1,7,0,0,0,14,0
20200519,788,0,780,0,780,1,7,0,0,0,14,0
20200520,788,0,780,0,780,1,7,0,0,0,14,0
20200521,788,0,780,0,780,1,7,0,0,0,14,0
20200522,788,0,780,0,780,1,7,0,0,0,14,0
20200523,788,0,780,0,780,1,7,0,0,0,14,0
20200524,788,0,780,0,780,1,7,0,0,0,14,0
20200525,788,0,780,0,780,1,7,0,0,0,14,0
20200526,788,0,780,0,780,1,7,0,0,0,14,0
20200527,788,0,780,0,780,1,7,0,0,0,14,0
20200528,788,0,780,0,780,1,7,0,0,0,14,0
20200529,790,2,780,0,780,3,7,0,0,0,14,0
20200530,792,2,780,0,780,5,7,0,0,0,14,0
20200531,792,0,780,0,780,5,7,0,0,0,14,0
20200601,792,0,780,0,780,5,7,0,0,0,14,0
20200602,792,0,780,0,780,5,7,0,0,0,14,0
20200603,792,0,780,0,780,5,7,0,0,0,14,0
20200604,792,0,780,0,780,5,7,0,0,0,14,0
20200605,792,0,780,0,780,5,7,0,0,0,14,0
20200606,792,0,780,0,780,5,7,0,0,0,14,0
20200607,792,0,781,1,781,4,7,0,0,0,14,0
20200608,792,0,781,0,781,4,7,0,0,0,14,0
20200609,792,0,781,0,781,4,7,0,0,0,14,0
20200610,792,0,781,0,781,4,7,0,0,0,14,0
20200611,792,0,781,0,781,4,7,0,0,0,14,0
20200612,792,0,781,0,781,4,7,0,0,0,14,0
20200613,792,0,782,1,782,3,7,0,0,0,14,0
20200614,792,0,782,0,782,3,7,0,0,0,14,0
20200615,792,0,783,1,783,2,7,0,0,0,14,0
20200616,792,0,783,0,783,2,7,0,0,0,14,0
20200617,792,0,783,0,783,2,7,0,0,0,14,0
20200618,792,0,783,0,783,2,7,0,0,0,14,0
20200619,792,0,785,2,785,0,7,0,0,0,14,0
20200620,792,0,785,0,785,0,7,0,0,0,14,0
