日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200119,1,1,0,0,0,1,0,0,0,0,0,0
20200120,17,16,0,0,0,17,0,0,0,0,0,0
20200121,26,9,0,0,0,26,0,0,0,0,0,0
20200122,32,6,0,0,0,32,0,0,0,0,0,0
20200123,53,21,0,0,0,53,0,0,0,0,0,0
20200124,78,25,2,2,2,76,0,0,0,0,0,0
20200125,111,33,2,0,2,109,0,0,0,0,0,0
20200126,146,35,2,0,2,144,0,0,0,0,0,0
20200127,188,42,4,2,4,184,0,0,0,0,0,0
20200128,241,53,5,1,5,236,0,0,0,0,0,0
20200129,311,70,6,1,6,305,0,0,0,0,0,0
20200130,393,82,7,1,7,386,0,0,0,0,0,0
20200131,520,127,8,1,8,512,0,0,0,0,0,0
20200201,604,84,12,4,12,592,0,0,0,0,0,0
20200202,683,79,14,2,14,669,0,0,0,0,0,0
20200203,797,114,20,6,20,777,0,0,0,0,0,0
20200204,870,73,32,12,32,838,0,0,0,0,0,0
20200205,944,74,49,17,49,895,0,0,0,0,0,0
20200206,1018,74,68,19,68,949,1,1,0,0,0,0
20200207,1075,57,97,29,97,977,1,0,0,0,0,0
20200208,1120,45,125,28,125,994,1,0,0,0,0,0
20200209,1151,31,143,18,143,1007,1,0,0,0,0,0
20200210,1177,26,181,38,181,995,1,0,0,0,0,0
20200211,1219,42,241,60,241,977,1,0,0,0,0,0
20200212,1241,22,284,43,284,955,2,1,0,0,0,0
20200213,1261,20,332,48,332,927,2,0,0,0,0,0
20200214,1294,33,386,54,386,906,2,0,0,0,0,0
20200215,1316,22,436,50,436,878,2,0,0,0,0,0
20200216,1322,6,473,37,473,845,4,2,0,0,0,0
20200217,1328,6,530,57,530,794,4,0,0,0,0,0
20200218,1331,3,571,41,571,755,5,1,0,0,0,0
20200219,1332,1,619,48,619,708,5,0,0,0,0,0
20200220,1333,1,664,45,664,664,5,0,0,0,0,0
20200221,1339,6,720,56,720,614,5,0,0,0,0,0
20200222,1342,3,740,20,740,596,6,1,0,0,0,0
20200223,1345,3,772,32,772,567,6,0,0,0,0,0
20200224,1347,2,805,33,805,535,7,1,0,0,0,0
20200225,1347,0,841,36,841,499,7,0,0,0,0,0
20200226,1347,0,873,32,873,467,7,0,0,0,0,0
20200227,1348,1,919,46,919,422,7,0,0,0,0,0
20200228,1349,1,972,53,972,370,7,0,0,0,0,0
