日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,2,2,0,0,0,2,0,0,0,0,0,0
20200124,3,1,0,0,0,3,0,0,0,0,0,0
20200125,4,1,0,0,0,4,0,0,0,0,0,0
20200126,5,1,0,0,0,5,0,0,0,0,0,0
20200127,10,5,0,0,0,10,0,0,0,0,0,0
20200128,13,3,0,0,0,13,0,0,0,0,0,0
20200129,14,1,0,0,0,14,0,0,0,0,0,0
20200130,17,3,0,0,0,17,0,0,0,0,0,0
20200131,18,1,0,0,0,18,0,0,0,0,0,0
20200201,21,3,0,0,0,21,0,0,0,0,0,0
20200202,24,3,0,0,0,24,0,0,0,0,0,0
20200203,29,5,0,0,0,29,0,0,0,0,0,0
20200204,32,3,0,0,0,32,0,0,0,0,0,0
20200205,36,4,0,0,0,36,0,0,0,0,0,0
20200206,39,3,0,0,0,39,0,0,0,0,0,0
20200207,42,3,0,0,0,42,0,0,0,0,0,0
20200208,45,3,0,0,0,45,0,0,0,0,0,0
20200209,49,4,0,0,0,49,0,0,0,0,0,0
20200210,55,6,0,0,0,55,0,0,0,0,0,0
20200211,59,4,3,3,3,56,0,0,0,0,0,0
20200212,63,4,3,0,3,59,1,1,0,0,0,0
20200213,65,2,6,3,6,58,1,0,0,0,0,0
20200214,70,5,6,0,6,63,1,0,0,0,0,0
20200215,71,1,11,5,11,59,1,0,0,0,0,0
20200216,75,4,12,1,12,62,1,0,0,0,0,0
20200217,76,1,12,0,12,63,1,0,0,0,0,0
20200218,76,0,14,2,14,61,1,0,0,0,0,0
20200219,76,0,20,6,20,55,1,0,0,0,0,0
20200220,76,0,22,2,22,53,1,0,0,0,0,0
20200221,76,0,24,2,24,50,2,1,0,0,0,0
20200222,76,0,25,1,25,49,2,0,0,0,0,0
20200223,76,0,28,3,28,46,2,0,0,0,0,0
20200224,76,0,30,2,30,44,2,0,0,0,0,0
20200225,76,0,30,0,30,44,2,0,0,0,0,0
20200226,76,0,34,4,34,40,2,0,0,0,0,0
20200227,76,0,43,9,43,30,3,1,0,0,0,0
20200228,76,0,52,9,52,21,3,0,0,0,0,0
20200229,76,0,62,10,62,11,3,0,0,0,0,0
20200301,76,0,64,2,64,9,3,0,0,0,0,0
20200302,76,0,67,3,67,6,3,0,0,0,0,0
20200303,76,0,68,1,68,5,3,0,0,0,0,0
20200304,76,0,69,1,69,4,3,0,0,0,0,0
20200305,76,0,70,1,70,3,3,0,0,0,0,0
20200306,76,0,71,1,71,2,3,0,0,0,0,0
20200307,76,0,72,1,72,1,3,0,0,0,0,0
20200308,76,0,73,1,73,0,3,0,0,0,0,0
20200309,76,0,73,0,73,0,3,0,0,0,0,0
20200310,76,0,73,0,73,0,3,0,0,0,0,0
20200311,76,0,73,0,73,0,3,0,0,0,0,0
20200312,76,0,73,0,73,0,3,0,0,0,0,0
20200313,76,0,73,0,73,0,3,0,0,0,0,0
20200314,76,0,73,0,73,0,3,0,0,0,0,0
20200315,76,0,73,0,73,0,3,0,0,0,0,0
20200316,76,0,73,0,73,0,3,0,0,0,0,0
20200317,76,0,73,0,73,0,3,0,0,0,0,0
20200318,76,0,73,0,73,0,3,0,0,0,0,0
20200319,76,0,73,0,73,0,3,0,0,0,0,0
20200320,76,0,73,0,73,0,3,0,0,0,0,0
20200321,76,0,73,0,73,0,3,0,0,0,0,0
20200322,76,0,73,0,73,0,3,0,0,0,0,0
20200323,76,0,73,0,73,0,3,0,0,0,0,0
20200324,76,0,73,0,73,0,3,0,0,0,0,0
20200325,76,0,73,0,73,0,3,0,0,0,0,0
20200326,76,0,73,0,73,0,3,0,0,0,0,0
20200327,76,0,73,0,73,0,3,0,0,0,0,0
20200328,76,0,73,0,73,0,3,0,0,0,0,0
20200329,76,0,73,0,73,0,3,0,0,0,0,0
20200330,76,0,73,0,73,0,3,0,0,0,0,0
20200331,76,0,73,0,73,0,3,0,0,0,0,0
20200401,76,0,73,0,73,0,3,0,0,0,0,0
20200402,76,0,73,0,73,0,3,0,0,0,0,0
20200403,76,0,73,0,73,0,3,0,0,0,0,0
20200404,76,0,73,0,73,0,3,0,0,0,0,0
20200405,76,0,73,0,73,0,3,0,0,0,0,0
20200406,76,0,73,0,73,0,3,0,0,0,0,0
20200407,76,0,73,0,73,0,3,0,0,0,0,0
20200408,76,0,73,0,73,0,3,0,0,0,0,0
20200409,76,0,73,0,73,0,3,0,0,0,0,0
20200410,76,0,73,0,73,0,3,0,0,0,0,0
20200411,76,0,73,0,73,0,3,0,0,0,0,0
20200412,76,0,73,0,73,0,3,0,0,0,0,0
20200413,76,0,73,0,73,0,3,0,0,0,0,0
20200414,76,0,73,0,73,0,3,0,0,0,0,0
20200415,76,0,73,0,73,0,3,0,0,0,0,0
20200416,76,0,73,0,73,0,3,0,0,0,0,0
20200417,76,0,73,0,73,0,3,0,0,0,0,0
20200418,76,0,73,0,73,0,3,0,0,0,0,0
20200419,76,0,73,0,73,0,3,0,0,0,0,0
20200420,76,0,73,0,73,0,3,0,0,0,0,0
20200421,76,0,73,0,73,0,3,0,0,0,0,0
20200422,76,0,73,0,73,0,3,0,0,0,0,0
20200423,76,0,73,0,73,0,3,0,0,0,0,0
