日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,1,1,0,0,0,1,0,0,0,0,0,0
20200123,9,8,0,0,0,9,0,0,0,0,0,0
20200124,18,9,1,1,1,17,0,0,0,0,0,0
20200125,31,13,1,0,1,30,0,0,0,0,0,0
20200126,47,16,1,0,1,46,0,0,0,0,0,0
20200127,70,23,1,0,1,69,0,0,0,0,0,0
20200128,99,29,1,0,1,98,0,0,0,0,0,0
20200129,129,30,1,0,1,128,0,0,0,0,0,0
20200130,168,39,2,1,2,166,0,0,0,0,0,0
20200131,202,34,5,3,5,197,0,0,0,0,0,0
20200201,236,34,6,1,6,230,0,0,0,0,0,0
20200202,271,35,7,1,7,264,0,0,0,0,0,0
20200203,308,37,8,1,8,300,0,0,0,0,0,0
20200204,341,33,13,5,13,328,0,0,0,0,0,0
20200205,373,32,26,13,26,347,0,0,0,0,0,0
20200206,408,35,38,12,38,370,0,0,0,0,0,0
20200207,439,31,43,5,43,396,0,0,0,0,0,0
20200208,468,29,51,8,51,417,0,0,0,0,0,0
20200209,492,24,72,21,72,420,0,0,0,0,0,0
20200210,515,23,84,12,84,431,0,0,0,0,0,0
20200211,543,28,94,10,94,449,0,0,0,0,0,0
20200212,570,27,131,37,131,439,0,0,0,0,0,0
20200213,593,23,137,6,137,456,0,0,0,0,0,0
20200214,604,11,160,23,160,444,0,0,0,0,0,0
20200215,617,13,190,30,190,427,0,0,0,0,0,0
20200216,626,9,226,36,226,400,0,0,0,0,0,0
20200217,629,3,263,37,263,366,0,0,0,0,0,0
20200218,631,2,296,33,296,335,0,0,0,0,0,0
20200219,631,0,325,29,325,306,0,0,0,0,0,0
20200220,631,0,352,27,352,279,0,0,0,0,0,0
20200221,631,0,387,35,387,244,0,0,0,0,0,0
20200222,631,0,411,24,411,220,0,0,0,0,0,0
20200223,631,0,427,16,427,204,0,0,0,0,0,0
20200224,631,0,458,31,458,173,0,0,0,0,0,0
20200225,631,0,463,5,463,168,0,0,0,0,0,0
20200226,631,0,494,31,494,137,0,0,0,0,0,0
20200227,631,0,506,12,506,125,0,0,0,0,0,0
20200228,631,0,519,13,519,112,0,0,0,0,0,0
20200229,631,0,529,10,529,102,0,0,0,0,0,0
20200301,631,0,536,7,536,95,0,0,0,0,0,0
20200302,631,0,555,19,555,76,0,0,0,0,0,0
20200303,631,0,565,10,565,66,0,0,0,0,0,0
20200304,631,0,580,15,580,51,0,0,0,0,0,0
20200305,631,0,588,8,588,43,0,0,0,0,0,0
20200306,631,0,601,13,601,30,0,0,0,0,0,0
20200307,631,0,610,9,610,21,0,0,0,0,0,0
20200308,631,0,618,8,618,13,0,0,0,0,0,0
20200309,631,0,622,4,622,9,0,0,0,0,0,0
20200310,631,0,627,5,627,4,0,0,0,0,0,0
20200311,631,0,628,1,628,3,0,0,0,0,0,0
20200312,631,0,630,2,630,1,0,0,0,0,0,0
20200313,631,0,630,0,630,1,0,0,0,0,0,0
20200314,631,0,631,1,631,0,0,0,0,0,0,0
20200315,631,0,631,0,631,0,0,0,0,0,0,0
20200316,631,0,631,0,631,0,0,0,0,0,0,0
20200317,631,0,631,0,631,0,0,0,0,0,0,0
20200318,631,0,631,0,631,0,0,0,0,0,0,0
20200319,631,0,631,0,631,0,0,0,0,0,0,0
20200320,631,0,631,0,631,0,0,0,0,0,0,0
20200321,633,2,631,0,631,2,0,0,0,0,0,0
20200322,633,0,631,0,631,2,0,0,0,0,0,0
20200323,636,3,631,0,631,5,0,0,0,0,0,0
