日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200121,2,2,0,0,0,2,0,0,0,0,0,0
20200122,3,1,0,0,0,3,0,0,0,0,0,0
20200123,7,4,0,0,0,7,0,0,0,0,0,0
20200124,18,11,0,0,0,18,0,0,0,0,0,0
20200125,36,18,0,0,0,36,0,0,0,0,0,0
20200126,48,12,0,0,0,48,0,0,0,0,0,0
20200127,72,24,2,2,2,70,0,0,0,0,0,0
20200128,109,37,3,1,3,106,0,0,0,0,0,0
20200129,162,53,3,0,3,159,0,0,0,0,0,0
20200130,240,78,7,4,7,233,0,0,0,0,0,0
20200131,286,46,9,2,9,277,0,0,0,0,0,0
20200201,333,47,10,1,10,323,0,0,0,0,0,0
20200202,391,58,18,8,18,373,0,0,0,0,0,0
20200203,476,85,19,1,19,457,0,0,0,0,0,0
20200204,548,72,27,8,27,521,0,0,0,0,0,0
20200205,600,52,37,10,37,563,0,0,0,0,0,0
20200206,661,61,45,8,45,616,0,0,0,0,0,0
20200207,698,37,55,10,55,643,0,0,0,0,0,0
20200208,740,42,72,17,72,668,0,0,0,0,0,0
20200209,771,31,102,30,102,668,1,1,0,0,0,0
20200210,804,33,127,25,127,676,1,0,0,0,0,0
20200211,844,40,152,25,152,691,1,0,0,0,0,0
20200212,872,28,170,18,170,701,1,0,0,0,0,0
20200213,900,28,187,17,187,712,1,0,0,0,0,0
20200214,913,13,210,23,210,702,1,0,0,0,0,0
20200215,925,12,239,29,239,685,1,0,0,0,0,0
20200216,930,5,275,36,275,654,1,0,0,0,0,0
20200217,933,3,310,35,310,622,1,0,0,0,0,0
20200218,934,1,362,52,362,571,1,0,0,0,0,0
20200219,934,0,432,70,432,501,1,0,0,0,0,0
20200220,934,0,489,57,489,444,1,0,0,0,0,0
20200221,934,0,544,55,544,389,1,0,0,0,0,0
20200222,934,0,611,67,611,322,1,0,0,0,0,0
20200223,934,0,645,34,645,288,1,0,0,0,0,0
20200224,934,0,682,37,682,251,1,0,0,0,0,0
20200225,934,0,719,37,719,214,1,0,0,0,0,0
20200226,934,0,754,35,754,179,1,0,0,0,0,0
20200227,935,1,790,36,790,144,1,0,0,0,0,0
20200228,935,0,811,21,811,123,1,0,0,0,0,0
20200229,935,0,831,20,831,103,1,0,0,0,0,0
20200301,935,0,850,19,850,84,1,0,0,0,0,0
20200302,935,0,870,20,870,64,1,0,0,0,0,0
20200303,935,0,884,14,884,50,1,0,0,0,0,0
20200304,935,0,901,17,901,33,1,0,0,0,0,0
20200305,935,0,908,7,908,26,1,0,0,0,0,0
20200306,935,0,916,8,916,18,1,0,0,0,0,0
20200307,935,0,918,2,918,16,1,0,0,0,0,0
20200308,935,0,923,5,923,11,1,0,0,0,0,0
20200309,935,0,927,4,927,7,1,0,0,0,0,0
20200310,935,0,932,5,932,2,1,0,0,0,0,0
20200311,935,0,934,2,934,0,1,0,0,0,0,0
20200312,935,0,934,0,934,0,1,0,0,0,0,0
20200313,935,0,934,0,934,0,1,0,0,0,0,0
20200314,935,0,934,0,934,0,1,0,0,0,0,0
20200315,935,0,934,0,934,0,1,0,0,0,0,0
20200316,935,0,934,0,934,0,1,0,0,0,0,0
20200317,935,0,934,0,934,0,1,0,0,0,0,0
20200318,935,0,934,0,934,0,1,0,0,0,0,0
20200319,935,0,934,0,934,0,1,0,0,0,0,0
20200320,935,0,934,0,934,0,1,0,0,0,0,0
20200321,936,1,934,0,934,1,1,0,0,0,0,0
20200322,936,0,934,0,934,1,1,0,0,0,0,0
20200323,936,0,934,0,934,1,1,0,0,0,0,0
20200324,936,0,934,0,934,1,1,0,0,0,0,0
20200325,936,0,934,0,934,1,1,0,0,0,0,0
20200326,936,0,934,0,934,1,1,0,0,0,0,0
20200327,936,0,934,0,934,1,1,0,0,0,0,0
20200328,937,1,934,0,934,2,1,0,0,0,0,0
20200329,937,0,935,1,935,1,1,0,0,0,0,0
20200330,937,0,935,0,935,1,1,0,0,0,0,0
20200331,937,0,935,0,935,1,1,0,0,0,0,0
20200401,937,0,935,0,935,1,1,0,0,0,0,0
20200402,937,0,935,0,935,1,1,0,0,0,0,0
20200403,937,0,935,0,935,1,1,0,0,0,0,0
20200404,937,0,935,0,935,1,1,0,0,0,0,0
20200405,937,0,935,0,935,1,1,0,0,0,0,0
20200406,937,0,935,0,935,1,1,0,0,0,0,0
20200407,937,0,935,0,935,1,1,0,0,0,0,0
20200408,937,0,935,0,935,1,1,0,0,0,0,0
20200409,937,0,936,1,936,0,1,0,0,0,0,0
20200410,937,0,936,0,936,0,1,0,0,0,0,0
