日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,1,1,0,0,0,1,0,0,0,0,0,0
20200123,2,1,0,0,0,2,0,0,0,0,0,0
20200124,8,6,0,0,0,7,1,1,0,0,0,0
20200125,13,5,0,0,0,12,1,0,0,0,0,0
20200126,18,5,0,0,0,17,1,0,0,0,0,0
20200127,33,15,0,0,0,32,1,0,0,0,0,0
20200128,48,15,0,0,0,47,1,0,0,0,0,0
20200129,65,17,0,0,0,64,1,0,0,0,0,0
20200130,82,17,0,0,0,81,1,0,0,0,0,0
20200131,96,14,0,0,0,95,1,0,0,0,0,0
20200201,104,8,3,3,3,100,1,0,0,0,0,0
20200202,113,9,3,0,3,109,1,0,0,0,0,0
20200203,126,13,3,0,3,122,1,0,0,0,0,0
20200204,135,9,4,1,4,130,1,0,0,0,0,0
20200205,157,22,7,3,7,149,1,0,0,0,0,0
20200206,171,14,16,9,16,154,1,0,0,0,0,0
20200207,195,24,25,9,25,169,1,0,0,0,0,0
20200208,206,11,30,5,30,174,2,1,0,0,0,0
20200209,218,12,35,5,35,181,2,0,0,0,0,0
20200210,239,21,41,6,41,196,2,0,0,0,0,0
20200211,251,12,48,7,48,201,2,0,0,0,0,0
20200212,265,14,54,6,54,208,3,1,0,0,0,0
20200213,283,18,69,15,69,211,3,0,0,0,0,0
20200214,291,8,86,17,86,202,3,0,0,0,0,0
20200215,300,9,100,14,100,197,3,0,0,0,0,0
20200216,301,1,109,9,109,189,3,0,0,0,0,0
20200217,302,1,123,14,123,175,4,1,0,0,0,0
20200218,306,4,136,13,136,166,4,0,0,0,0,0
20200219,307,1,152,16,152,150,5,1,0,0,0,0
20200220,308,1,170,18,170,133,5,0,0,0,0,0
20200221,309,1,184,14,184,119,6,1,0,0,0,0
20200222,311,2,204,20,204,101,6,0,0,0,0,0
20200223,311,0,221,17,221,84,6,0,0,0,0,0
20200224,311,0,241,20,241,64,6,0,0,0,0,0
20200225,312,1,248,7,248,58,6,0,0,0,0,0
20200226,317,5,261,13,261,50,6,0,0,0,0,0
20200227,318,1,274,13,274,38,6,0,0,0,0,0
20200228,318,0,277,3,277,35,6,0,0,0,0,0
20200229,318,0,283,6,283,29,6,0,0,0,0,0
20200301,318,0,294,11,294,18,6,0,0,0,0,0
20200302,318,0,297,3,297,15,6,0,0,0,0,0
20200303,318,0,300,3,300,12,6,0,0,0,0,0
20200304,318,0,301,1,301,11,6,0,0,0,0,0
20200305,318,0,304,3,304,8,6,0,0,0,0,0
20200306,318,0,305,1,305,7,6,0,0,0,0,0
20200307,318,0,307,2,307,5,6,0,0,0,0,0
20200308,318,0,307,0,307,5,6,0,0,0,0,0
20200309,318,0,307,0,307,5,6,0,0,0,0,0
20200310,318,0,307,0,307,5,6,0,0,0,0,0
20200311,318,0,307,0,307,5,6,0,0,0,0,0
20200312,318,0,310,3,310,2,6,0,0,0,0,0
20200313,318,0,310,0,310,2,6,0,0,0,0,0
20200314,318,0,310,0,310,2,6,0,0,0,0,0
20200315,318,0,310,0,310,2,6,0,0,0,0,0
20200316,318,0,310,0,310,2,6,0,0,0,0,0
20200317,318,0,310,0,310,2,6,0,0,0,0,0
20200318,318,0,310,0,310,2,6,0,0,0,0,0
20200319,318,0,310,0,310,2,6,0,0,0,0,0
20200320,318,0,310,0,310,2,6,0,0,0,0,0
20200321,319,1,310,0,310,3,6,0,0,0,0,0
20200322,319,0,310,0,310,3,6,0,0,0,0,0
20200323,319,0,310,0,310,3,6,0,0,0,0,0
20200324,319,0,310,0,310,3,6,0,0,0,0,0
20200325,319,0,310,0,310,3,6,0,0,0,0,0
20200326,319,0,310,0,310,3,6,0,0,0,0,0
20200327,319,0,310,0,310,3,6,0,0,0,0,0
20200328,319,0,310,0,310,3,6,0,0,0,0,0
20200329,321,2,310,0,310,5,6,0,0,0,0,0
20200330,321,0,310,0,310,5,6,0,0,0,0,0
20200331,323,2,310,0,310,7,6,0,0,0,0,0
20200401,325,2,310,0,310,9,6,0,0,0,0,0
20200402,326,1,310,0,310,10,6,0,0,0,0,0
20200403,326,0,310,0,310,10,6,0,0,0,0,0
20200404,327,1,310,0,310,11,6,0,0,0,0,0
20200405,327,0,310,0,310,11,6,0,0,0,0,0
20200406,327,0,312,2,312,9,6,0,0,0,0,0
20200407,327,0,312,0,312,9,6,0,0,0,0,0
20200408,327,0,313,1,313,8,6,0,0,0,0,0
20200409,327,0,313,0,313,8,6,0,0,0,0,0
20200410,327,0,313,0,313,8,6,0,0,0,0,0
20200411,327,0,313,0,313,8,6,0,0,0,0,0
20200412,327,0,313,0,313,8,6,0,0,0,0,0
20200413,327,0,314,1,314,7,6,0,0,0,0,0
20200414,327,0,314,0,314,7,6,0,0,0,0,0
20200415,328,1,315,1,315,7,6,0,0,0,0,0
20200416,328,0,316,1,316,6,6,0,0,0,0,0
20200417,328,0,316,0,316,6,6,0,0,0,0,0
20200418,328,0,316,0,316,6,6,0,0,0,0,0
20200419,328,0,317,1,317,5,6,0,0,0,0,0
20200420,328,0,317,0,317,5,6,0,0,0,0,0
20200421,328,0,317,0,317,5,6,0,0,0,0,0
20200422,328,0,317,0,317,5,6,0,0,0,0,0
20200423,328,0,317,0,317,5,6,0,0,0,0,0
20200424,328,0,318,1,318,4,6,0,0,0,0,0
20200425,328,0,318,0,318,4,6,0,0,0,0,0
20200426,328,0,318,0,318,4,6,0,0,0,0,0
20200427,328,0,318,0,318,4,6,0,0,0,0,0
20200428,328,0,318,0,318,4,6,0,0,0,0,0
20200429,328,0,318,0,318,4,6,0,0,0,0,0
20200430,328,0,318,0,318,4,6,0,0,0,0,0
20200501,328,0,318,0,318,4,6,0,0,0,0,0
20200502,328,0,318,0,318,4,6,0,0,0,0,0
20200503,328,0,318,0,318,4,6,0,0,0,0,0
20200504,328,0,320,2,320,2,6,0,0,0,0,0
20200505,328,0,320,0,320,2,6,0,0,0,0,0
20200506,328,0,320,0,320,2,6,0,0,0,0,0
20200507,328,0,320,0,320,2,6,0,0,0,0,0
20200508,328,0,320,0,320,2,6,0,0,0,0,0
20200509,328,0,321,1,321,1,6,0,0,0,0,0
20200510,328,0,321,0,321,1,6,0,0,0,0,0
20200511,328,0,321,0,321,1,6,0,0,0,0,0
20200512,328,0,321,0,321,1,6,0,0,0,0,0
20200513,328,0,321,0,321,1,6,0,0,0,0,0
20200514,328,0,321,0,321,1,6,0,0,0,0,0
20200515,328,0,321,0,321,1,6,0,0,0,0,0
20200516,328,0,321,0,321,1,6,0,0,0,0,0
20200517,328,0,322,1,322,0,6,0,0,0,0,0
20200518,328,0,322,0,322,0,6,0,0,0,0,0
20200519,328,0,322,0,322,0,6,0,0,0,0,0
20200520,328,0,322,0,322,0,6,0,0,0,0,0
20200521,328,0,322,0,322,0,6,0,0,0,0,0
20200522,328,0,322,0,322,0,6,0,0,0,0,0
20200523,328,0,322,0,322,0,6,0,0,0,0,0
20200524,328,0,322,0,322,0,6,0,0,0,0,0
20200525,328,0,322,0,322,0,6,0,0,0,0,0
20200526,328,0,322,0,322,0,6,0,0,0,0,0
20200527,328,0,322,0,322,0,6,0,0,0,0,0
20200528,328,0,322,0,322,0,6,0,0,0,0,0
20200529,328,0,322,0,322,0,6,0,0,0,0,0
20200530,328,0,322,0,322,0,6,0,0,0,0,0
20200531,328,0,322,0,322,0,6,0,0,0,0,0
20200601,328,0,322,0,322,0,6,0,0,0,0,0
20200602,328,0,322,0,322,0,6,0,0,0,0,0
20200603,328,0,322,0,322,0,6,0,0,0,0,0
20200604,328,0,322,0,322,0,6,0,0,0,0,0
20200605,328,0,322,0,322,0,6,0,0,0,0,0
20200606,328,0,322,0,322,0,6,0,0,0,0,0
20200607,328,0,322,0,322,0,6,0,0,0,0,0
20200608,328,0,322,0,322,0,6,0,0,0,0,0
20200609,328,0,322,0,322,0,6,0,0,0,0,0
20200610,328,0,322,0,322,0,6,0,0,0,0,0
20200611,328,0,322,0,322,0,6,0,0,0,0,0
20200612,328,0,322,0,322,0,6,0,0,0,0,0
20200613,328,0,322,0,322,0,6,0,0,0,0,0
20200614,331,3,322,0,322,3,6,0,0,0,0,0
20200615,335,4,322,0,322,7,6,0,0,0,0,0
20200616,336,1,322,0,322,8,6,0,0,0,0,0
20200617,338,2,322,0,322,10,6,0,0,0,0,0
20200618,340,2,322,0,322,12,6,0,0,0,0,0
20200619,341,1,322,0,322,13,6,0,0,0,0,0
20200620,344,3,322,0,322,16,6,0,0,0,0,0
20200621,346,2,322,0,322,18,6,0,0,0,0,0
20200622,346,0,323,1,323,17,6,0,0,0,0,0
20200623,348,2,323,0,323,19,6,0,0,0,0,0
20200624,349,1,323,0,323,20,6,0,0,0,0,0
20200625,349,0,324,1,324,19,6,0,0,0,0,0
20200626,349,0,326,2,326,17,6,0,0,0,0,0
20200627,349,0,331,5,331,12,6,0,0,0,0,0
20200628,349,0,333,2,333,10,6,0,0,0,0,0
20200629,349,0,334,1,334,9,6,0,0,0,0,0
20200630,349,0,334,0,334,9,6,0,0,0,0,0
20200701,349,0,334,0,334,9,6,0,0,0,0,0
20200702,349,0,334,0,334,9,6,0,0,0,0,0
20200703,349,0,336,2,336,7,6,0,0,0,0,0
20200704,349,0,337,1,337,6,6,0,0,0,0,0
20200705,349,0,337,0,337,6,6,0,0,0,0,0
20200706,349,0,337,0,337,6,6,0,0,0,0,0
20200707,349,0,337,0,337,6,6,0,0,0,0,0
20200708,349,0,339,2,339,4,6,0,0,0,0,0
20200709,349,0,339,0,339,4,6,0,0,0,0,0
20200710,349,0,339,0,339,4,6,0,0,0,0,0
20200711,349,0,339,0,339,4,6,0,0,0,0,0
20200712,349,0,339,0,339,4,6,0,0,0,0,0
20200713,349,0,340,1,340,3,6,0,0,0,0,0
20200714,349,0,340,0,340,3,6,0,0,0,0,0
20200715,349,0,340,0,340,3,6,0,0,0,0,0
20200716,349,0,340,0,340,3,6,0,0,0,0,0
20200717,349,0,340,0,340,3,6,0,0,0,0,0
20200718,349,0,341,1,341,2,6,0,0,0,0,0
20200719,349,0,341,0,341,2,6,0,0,0,0,0
20200720,349,0,341,0,341,2,6,0,0,0,0,0
20200722,349,0,342,1,342,1,6,0,0,0,0,0
20200724,349,0,342,0,342,1,6,0,0,0,0,0
20200725,349,0,342,0,342,1,6,0,0,0,0,0
20200726,349,0,343,1,343,0,6,0,0,0,0,0
20200727,349,0,343,0,343,0,6,0,0,0,0,0
20200728,349,0,343,0,343,0,6,0,0,0,0,0
20200729,349,0,343,0,343,0,6,0,0,0,0,0
20200730,349,0,343,0,343,0,6,0,0,0,0,0
20200731,349,0,343,0,343,0,6,0,0,0,0,0
20200801,349,0,343,0,343,0,6,0,0,0,0,0
20200802,349,0,343,0,343,0,6,0,0,0,0,0
20200803,349,0,343,0,343,0,6,0,0,0,0,0
20200804,349,0,343,0,343,0,6,0,0,0,0,0
20200806,349,0,343,0,343,0,6,0,0,0,0,0
20200807,349,0,343,0,343,0,6,0,0,0,0,0
20200808,349,0,343,0,343,0,6,0,0,0,0,0
20200809,349,0,343,0,343,0,6,0,0,0,0,0
20200810,350,1,343,0,343,1,6,0,0,0,0,0
20200812,351,1,343,0,343,2,6,0,0,0,0,0
20200813,351,0,343,0,343,2,6,0,0,0,0,0
20200814,351,0,343,0,343,2,6,0,0,0,0,0
20200815,351,0,343,0,343,2,6,0,0,0,0,0
20200816,351,0,343,0,343,2,6,0,0,0,0,0
20200817,351,0,343,0,343,2,6,0,0,0,0,0
20200818,351,0,343,0,343,2,6,0,0,0,0,0
20200820,351,0,343,0,343,2,6,0,0,0,0,0
20200821,354,3,343,0,343,5,6,0,0,0,0,0
20200822,359,5,343,0,343,10,6,0,0,0,0,0
20200823,359,0,343,0,343,10,6,0,0,0,0,0
20200824,360,1,343,0,343,11,6,0,0,0,0,0
20200825,360,0,343,0,343,11,6,0,0,0,0,0
20200826,362,2,343,0,343,13,6,0,0,0,0,0
20200827,362,0,343,0,343,13,6,0,0,0,0,0
20200828,362,0,343,0,343,13,6,0,0,0,0,0
20200829,362,0,343,0,343,13,6,0,0,0,0,0
20200830,362,0,343,0,343,13,6,0,0,0,0,0
20200831,365,3,346,3,346,13,6,0,0,0,0,0
20200901,365,0,346,0,346,13,6,0,0,0,0,0
20200902,365,0,347,1,347,12,6,0,0,0,0,0
20200903,365,0,347,0,347,12,6,0,0,0,0,0
20200904,365,0,354,7,354,5,6,0,0,0,0,0
20200905,365,0,354,0,354,5,6,0,0,0,0,0
20200906,365,0,354,0,354,5,6,0,0,0,0,0
20200907,365,0,355,1,355,4,6,0,0,0,0,0
20200909,365,0,355,0,355,4,6,0,0,0,0,0
20200910,365,0,355,0,355,4,6,0,0,0,0,0
20200911,365,0,355,0,355,4,6,0,0,0,0,0
20200913,365,0,356,1,356,3,6,0,0,0,0,0
20200914,365,0,356,0,356,3,6,0,0,0,0,0
20200915,365,0,356,0,356,3,6,0,0,0,0,0
20200919,365,0,356,0,356,3,6,0,0,0,0,0
20200920,365,0,356,0,356,3,6,0,0,0,0,0
20200921,365,0,357,1,357,2,6,0,0,0,0,0
20200922,365,0,357,0,357,2,6,0,0,0,0,0
20200923,365,0,357,0,357,2,6,0,0,0,0,0
20200924,365,0,357,0,357,2,6,0,0,0,0,0
20200925,365,0,357,0,357,2,6,0,0,0,0,0
20200926,365,0,357,0,357,2,6,0,0,0,0,0
20200927,365,0,358,1,358,1,6,0,0,0,0,0
20200928,365,0,358,0,358,1,6,0,0,0,0,0
20200929,365,0,358,0,358,1,6,0,0,0,0,0
20201001,365,0,358,0,358,1,6,0,0,0,0,0
20201002,365,0,358,0,358,1,6,0,0,0,0,0
20201003,365,0,358,0,358,1,6,0,0,0,0,0
20201004,365,0,358,0,358,1,6,0,0,0,0,0
20201005,365,0,358,0,358,1,6,0,0,0,0,0
20201006,365,0,358,0,358,1,6,0,0,0,0,0
20201007,365,0,358,0,358,1,6,0,0,0,0,0
20201008,365,0,358,0,358,1,6,0,0,0,0,0
20201009,365,0,358,0,358,1,6,0,0,0,0,0
20201010,365,0,358,0,358,1,6,0,0,0,0,0
20201011,367,2,358,0,358,3,6,0,0,0,0,0
20201012,367,0,358,0,358,3,6,0,0,0,0,0
20201013,367,0,358,0,358,3,6,0,0,0,0,0
20201014,368,1,358,0,358,4,6,0,0,0,0,0
20201015,368,0,358,0,358,4,6,0,0,0,0,0
20201016,368,0,358,0,358,4,6,0,0,0,0,0
20201017,368,0,358,0,358,4,6,0,0,0,0,0
20201018,368,0,358,0,358,4,6,0,0,0,0,0
20201019,368,0,358,0,358,4,6,0,0,0,0,0
20201020,368,0,358,0,358,4,6,0,0,0,0,0
20201021,368,0,358,0,358,4,6,0,0,0,0,0
20201022,368,0,359,1,359,3,6,0,0,0,0,0
20201023,368,0,359,0,359,3,6,0,0,0,0,0
20201024,368,0,359,0,359,3,6,0,0,0,0,0
20201025,369,1,359,0,359,4,6,0,0,0,0,0
20201026,371,2,359,0,359,6,6,0,0,0,0,0
20201027,372,1,359,0,359,7,6,0,0,0,0,0
20201028,372,0,359,0,359,7,6,0,0,0,0,0
20201030,373,1,359,0,359,8,6,0,0,0,0,0
20201031,373,0,359,0,359,8,6,0,0,0,0,0
20201101,373,0,359,0,359,8,6,0,0,0,0,0
20201102,373,0,360,1,360,7,6,0,0,0,0,0
20201103,373,0,360,0,360,7,6,0,0,0,0,0
20201104,373,0,360,0,360,7,6,0,0,0,0,0
20201105,373,0,360,0,360,7,6,0,0,0,0,0
20201106,373,0,360,0,360,7,6,0,0,0,0,0
20201108,373,0,361,1,361,6,6,0,0,0,0,0
20201109,373,0,361,0,361,6,6,0,0,0,0,0
20201110,373,0,361,0,361,6,6,0,0,0,0,0
20201111,373,0,361,0,361,6,6,0,0,0,0,0
20201112,373,0,361,0,361,6,6,0,0,0,0,0
20201114,373,0,362,1,362,5,6,0,0,0,0,0
20201115,373,0,362,0,362,5,6,0,0,0,0,0
20201117,373,0,363,1,363,4,6,0,0,0,0,0
20201118,373,0,363,0,363,4,6,0,0,0,0,0
20201119,373,0,363,0,363,4,6,0,0,0,0,0
20201120,373,0,363,0,363,4,6,0,0,0,0,0
20201121,373,0,363,0,363,4,6,0,0,0,0,0
20201122,373,0,365,2,365,2,6,0,0,0,0,0
20201123,373,0,366,1,366,1,6,0,0,0,0,0
20201124,373,0,366,0,366,1,6,0,0,0,0,0
20201125,373,0,366,0,366,1,6,0,0,0,0,0
20201126,373,0,366,0,366,1,6,0,0,0,0,0
20201127,373,0,366,0,366,1,6,0,0,0,0,0
20201128,373,0,366,0,366,1,6,0,0,0,0,0
20201129,373,0,366,0,366,1,6,0,0,0,0,0
20201130,373,0,366,0,366,1,6,0,0,0,0,0
20201201,373,0,366,0,366,1,6,0,0,0,0,0
20201202,373,0,366,0,366,1,6,0,0,0,0,0
20201203,373,0,366,0,366,1,6,0,0,0,0,0
20201204,373,0,366,0,366,1,6,0,0,0,0,0
20201206,373,0,367,1,367,0,6,0,0,0,0,0
20201207,373,0,367,0,367,0,6,0,0,0,0,0
20201208,373,0,367,0,367,0,6,0,0,0,0,0
20201209,373,0,367,0,367,0,6,0,0,0,0,0
20201210,373,0,367,0,367,0,6,0,0,0,0,0
20201211,373,0,367,0,367,0,6,0,0,0,0,0
20201212,373,0,367,0,367,0,6,0,0,0,0,0
20201213,373,0,367,0,367,0,6,0,0,0,0,0
20201214,373,0,367,0,367,0,6,0,0,0,0,0
20201215,373,0,367,0,367,0,6,0,0,0,0,0
20201216,373,0,367,0,367,0,6,0,0,0,0,0
20201217,373,0,367,0,367,0,6,0,0,0,0,0
20201218,373,0,367,0,367,0,6,0,0,0,0,0
20201219,373,0,367,0,367,0,6,0,0,0,0,0
20201220,373,0,367,0,367,0,6,0,0,0,0,0
20201221,373,0,367,0,367,0,6,0,0,0,0,0
20201222,373,0,367,0,367,0,6,0,0,0,0,0
20201223,373,0,367,0,367,0,6,0,0,0,0,0
20201224,373,0,367,0,367,0,6,0,0,0,0,0
20201225,373,0,367,0,367,0,6,0,0,0,0,0
20201226,373,0,367,0,367,0,6,0,0,0,0,0
20201227,373,0,367,0,367,0,6,0,0,0,0,0
20201228,373,0,367,0,367,0,6,0,0,0,0,0
20201229,373,0,367,0,367,0,6,0,0,0,0,0
20201230,373,0,367,0,367,0,6,0,0,0,0,0
20201231,373,0,367,0,367,0,6,0,0,0,0,0
20210101,373,0,367,0,367,0,6,0,0,0,0,0
20210102,374,1,367,0,367,1,6,0,0,0,0,0
20210103,378,4,367,0,367,5,6,0,0,0,0,0
20210104,392,14,367,0,367,19,6,0,0,0,0,0
20210105,412,20,367,0,367,39,6,0,0,0,0,0
20210106,465,53,367,0,367,92,6,0,0,0,0,0
20210107,498,33,367,0,367,125,6,0,0,0,0,0
20210108,512,14,367,0,367,139,6,0,0,0,0,0
20210109,558,46,367,0,367,185,6,0,0,0,0,0
20210110,640,82,367,0,367,267,6,0,0,0,0,0
20210111,680,40,367,0,367,307,6,0,0,0,0,0
20210112,770,90,367,0,367,397,6,0,0,0,0,0
20210113,851,81,379,12,379,465,7,1,0,0,0,0
20210114,941,90,379,0,379,555,7,0,0,0,0,0
20210115,1031,90,379,0,379,645,7,0,1,38,0,0
20210116,1103,72,379,0,379,717,7,0,1,38,0,0
20210117,1157,54,379,0,379,771,7,0,2,47,0,0
20210118,1192,35,383,4,383,802,7,0,3,36,0,0
20210119,1211,19,384,1,384,820,7,0,3,41,0,0
20210120,1231,20,392,8,392,832,7,0,3,41,0,0
20210121,1249,18,405,13,405,837,7,0,3,43,0,0
20210122,1264,15,422,17,422,835,7,0,3,40,0,0
20210123,1283,19,439,17,439,837,7,0,3,40,0,0
20210124,1294,11,481,42,481,806,7,0,3,37,0,0
20210125,1299,5,514,33,514,778,7,0,3,33,0,0
20210126,1306,7,584,70,584,715,7,0,3,33,0,0
20210127,1309,3,641,57,641,661,7,0,3,24,0,0
20210128,1310,1,676,35,676,627,7,0,3,13,0,0
