日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200121,1,1,0,0,0,1,0,0,0,0,0,0
20200122,4,3,0,0,0,4,0,0,0,0,0,0
20200123,9,5,0,0,0,9,0,0,0,0,0,0
20200124,32,23,0,0,0,32,0,0,0,0,0,0
20200125,83,51,0,0,0,82,1,1,0,0,0,0
20200126,128,45,0,0,0,127,1,0,0,0,0,0
20200127,168,40,0,0,0,167,1,0,0,0,0,0
20200128,206,38,1,1,1,203,2,1,0,0,0,0
20200129,278,72,2,1,2,274,2,0,0,0,0,0
20200130,352,74,3,1,3,347,2,0,0,0,0,0
20200131,422,70,3,0,3,417,2,0,0,0,0,0
20200201,493,71,4,1,4,487,2,0,0,0,0,0
20200202,566,73,14,10,14,550,2,0,0,0,0,0
20200203,675,109,20,6,20,653,2,0,0,0,0,0
20200204,764,89,41,21,41,721,2,0,0,0,0,0
20200205,851,87,54,13,54,795,2,0,0,0,0,0
20200206,914,63,68,14,68,843,3,1,0,0,0,0
20200207,981,67,97,29,97,880,4,1,0,0,0,0
20200208,1033,52,131,34,131,896,6,2,0,0,0,0
20200209,1073,40,169,38,169,898,6,0,0,0,0,0
20200210,1105,32,198,29,198,900,7,1,0,0,0,0
20200211,1135,30,231,33,231,896,8,1,0,0,0,0
20200212,1169,34,258,27,258,901,10,2,0,0,0,0
20200213,1184,15,313,55,313,860,11,1,0,0,0,0
20200214,1212,28,356,43,356,843,13,2,0,0,0,0
20200215,1231,19,397,41,397,821,13,0,0,0,0,0
20200216,1246,15,438,41,438,792,16,3,0,0,0,0
20200217,1257,11,505,67,505,733,19,3,0,0,0,0
20200218,1262,5,552,47,552,691,19,0,0,0,0,0
20200219,1265,3,614,62,614,632,19,0,0,0,0,0
20200220,1267,2,717,103,717,531,19,0,0,0,0,0
20200221,1270,3,802,85,802,449,19,0,0,0,0,0
20200222,1271,1,861,59,861,391,19,0,0,0,0,0
20200223,1271,0,930,69,930,322,19,0,0,0,0,0
20200224,1271,0,989,59,989,263,19,0,0,0,0,0
20200225,1271,0,1023,34,1023,229,19,0,0,0,0,0
20200226,1272,1,1062,39,1062,190,20,1,0,0,0,0
20200227,1272,0,1103,41,1103,149,20,0,0,0,0,0
20200228,1272,0,1161,58,1161,90,21,1,0,0,0,0
20200229,1272,0,1185,24,1185,65,22,1,0,0,0,0
20200301,1272,0,1205,20,1205,45,22,0,0,0,0,0
20200302,1272,0,1223,18,1223,27,22,0,0,0,0,0
20200303,1272,0,1234,11,1234,16,22,0,0,0,0,0
20200304,1272,0,1239,5,1239,11,22,0,0,0,0,0
20200305,1272,0,1241,2,1241,9,22,0,0,0,0,0
20200306,1272,0,1243,2,1243,7,22,0,0,0,0,0
20200307,1272,0,1246,3,1246,4,22,0,0,0,0,0
20200308,1272,0,1247,1,1247,3,22,0,0,0,0,0
20200309,1272,0,1247,0,1247,3,22,0,0,0,0,0
20200310,1272,0,1249,2,1249,1,22,0,0,0,0,0
20200311,1273,1,1249,0,1249,2,22,0,0,0,0,0
20200312,1273,0,1249,0,1249,2,22,0,0,0,0,0
20200313,1273,0,1249,0,1249,2,22,0,0,0,0,0
20200314,1273,0,1250,1,1250,1,22,0,0,0,0,0
20200315,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200316,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200317,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200318,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200319,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200320,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200321,1273,0,1250,0,1250,1,22,0,0,0,0,0
20200322,1274,1,1250,0,1250,2,22,0,0,0,0,0
20200323,1274,0,1250,0,1250,2,22,0,0,0,0,0
20200324,1274,0,1250,0,1250,2,22,0,0,0,0,0
20200325,1275,1,1250,0,1250,3,22,0,0,0,0,0
20200326,1275,0,1250,0,1250,3,22,0,0,0,0,0
20200327,1275,0,1251,1,1251,2,22,0,0,0,0,0
20200328,1276,1,1251,0,1251,3,22,0,0,0,0,0
20200329,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200330,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200331,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200401,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200402,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200403,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200404,1276,0,1251,0,1251,3,22,0,0,0,0,0
20200405,1276,0,1252,1,1252,2,22,0,0,0,0,0
20200406,1276,0,1252,0,1252,2,22,0,0,0,0,0
20200407,1276,0,1252,0,1252,2,22,0,0,0,0,0
20200408,1276,0,1252,0,1252,2,22,0,0,0,0,0
20200409,1276,0,1252,0,1252,2,22,0,0,0,0,0
20200410,1276,0,1252,0,1252,2,22,0,0,0,0,0
20200411,1276,0,1253,1,1253,1,22,0,0,0,0,0
20200412,1276,0,1253,0,1253,1,22,0,0,0,0,0
20200413,1276,0,1254,1,1254,0,22,0,0,0,0,0
20200414,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200415,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200416,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200417,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200418,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200419,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200420,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200421,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200422,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200423,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200424,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200425,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200426,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200427,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200428,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200429,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200430,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200501,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200502,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200503,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200504,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200505,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200506,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200507,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200508,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200509,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200510,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200511,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200512,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200513,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200514,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200515,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200516,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200517,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200518,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200519,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200520,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200521,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200522,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200523,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200524,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200525,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200526,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200527,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200528,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200529,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200530,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200531,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200601,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200602,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200603,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200604,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200605,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200606,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200607,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200608,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200609,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200610,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200611,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200612,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200613,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200614,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200615,1276,0,1254,0,1254,0,22,0,0,0,0,0
20200616,1276,0,1254,0,1254,0,22,0,0,0,0,0
