日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,4,4,0,0,0,4,0,0,0,0,0,0
20200123,8,4,0,0,0,8,0,0,0,0,0,0
20200124,17,9,0,0,0,17,0,0,0,0,0,0
20200125,19,2,0,0,0,19,0,0,0,0,0,0
20200126,22,3,0,0,0,22,0,0,0,0,0,0
20200127,33,11,0,0,0,32,1,1,0,0,0,0
20200128,43,10,0,0,0,42,1,0,0,0,0,0
20200129,46,3,1,1,1,44,1,0,0,0,0,0
20200130,49,3,1,0,1,47,1,0,0,0,0,0
20200131,57,8,1,0,1,55,1,0,0,0,0,0
20200201,63,6,1,0,1,61,1,0,0,0,0,0
20200202,70,7,4,3,4,65,1,0,0,0,0,0
20200203,79,9,4,0,4,74,1,0,0,0,0,0
20200204,89,10,4,0,4,84,1,0,0,0,0,0
20200205,100,11,5,1,5,94,1,0,0,0,0,0
20200206,111,11,8,3,8,101,2,1,0,0,0,0
20200207,122,11,11,3,11,109,2,0,0,0,0,0
20200208,128,6,15,4,15,111,2,0,0,0,0,0
20200209,136,8,19,4,19,114,3,1,0,0,0,0
20200210,142,6,19,0,19,120,3,0,0,0,0,0
20200211,145,3,20,1,20,122,3,0,0,0,0,0
20200212,157,12,27,7,27,126,4,1,0,0,0,0
20200213,157,0,30,3,30,123,4,0,0,0,0,0
20200214,162,5,38,8,38,120,4,0,0,0,0,0
20200215,162,0,39,1,39,119,4,0,0,0,0,0
20200216,162,0,52,13,52,106,4,0,0,0,0,0
20200217,163,1,59,7,59,100,4,0,0,0,0,0
20200218,163,0,79,20,79,80,4,0,0,0,0,0
20200219,168,5,84,5,84,80,4,0,0,0,0,0
20200220,168,0,89,5,89,75,4,0,0,0,0,0
20200221,168,0,96,7,96,68,4,0,0,0,0,0
20200222,168,0,104,8,104,60,4,0,0,0,0,0
20200223,168,0,106,2,106,57,5,1,0,0,0,0
20200224,168,0,116,10,116,47,5,0,0,0,0,0
20200225,168,0,124,8,124,39,5,0,0,0,0,0
20200226,168,0,129,5,129,34,5,0,0,0,0,0
20200227,168,0,132,3,132,31,5,0,0,0,0,0
20200228,168,0,136,4,136,27,5,0,0,0,0,0
20200229,168,0,148,12,148,15,5,0,0,0,0,0
20200301,168,0,151,3,151,12,5,0,0,0,0,0
20200302,168,0,151,0,151,12,5,0,0,0,0,0
20200303,168,0,155,4,155,8,5,0,0,0,0,0
20200304,168,0,158,3,158,5,5,0,0,0,0,0
20200305,168,0,158,0,158,4,6,1,0,0,0,0
20200306,168,0,158,0,158,4,6,0,0,0,0,0
20200307,168,0,158,0,158,4,6,0,0,0,0,0
20200308,168,0,159,1,159,3,6,0,0,0,0,0
20200309,168,0,159,0,159,3,6,0,0,0,0,0
20200310,168,0,159,0,159,3,6,0,0,0,0,0
20200311,168,0,159,0,159,3,6,0,0,0,0,0
20200312,168,0,160,1,160,2,6,0,0,0,0,0
20200313,168,0,160,0,160,2,6,0,0,0,0,0
20200314,168,0,160,0,160,2,6,0,0,0,0,0
20200315,168,0,160,0,160,2,6,0,0,0,0,0
20200316,168,0,161,1,161,1,6,0,0,0,0,0
20200317,168,0,161,0,161,1,6,0,0,0,0,0
20200318,168,0,161,0,161,1,6,0,0,0,0,0
20200319,168,0,161,0,161,1,6,0,0,0,0,0
20200320,168,0,161,0,161,1,6,0,0,0,0,0
20200321,168,0,161,0,161,1,6,0,0,0,0,0
20200322,168,0,161,0,161,1,6,0,0,0,0,0
20200323,168,0,161,0,161,1,6,0,0,0,0,0
20200324,168,0,162,1,162,0,6,0,0,0,0,0
20200325,168,0,162,0,162,0,6,0,0,0,0,0
20200326,168,0,162,0,162,0,6,0,0,0,0,0
20200327,168,0,162,0,162,0,6,0,0,0,0,0
20200328,168,0,162,0,162,0,6,0,0,0,0,0
20200329,168,0,162,0,162,0,6,0,0,0,0,0
20200330,168,0,162,0,162,0,6,0,0,0,0,0
20200331,168,0,162,0,162,0,6,0,0,0,0,0
20200401,168,0,162,0,162,0,6,0,0,0,0,0
20200402,168,0,162,0,162,0,6,0,0,0,0,0
20200403,168,0,162,0,162,0,6,0,0,0,0,0
20200404,168,0,162,0,162,0,6,0,0,0,0,0
20200405,168,0,162,0,162,0,6,0,0,0,0,0
20200406,168,0,162,0,162,0,6,0,0,0,0,0
20200407,168,0,162,0,162,0,6,0,0,0,0,0
20200408,168,0,162,0,162,0,6,0,0,0,0,0
20200409,168,0,162,0,162,0,6,0,0,0,0,0
20200410,168,0,162,0,162,0,6,0,0,0,0,0
20200411,168,0,162,0,162,0,6,0,0,0,0,0
20200412,168,0,162,0,162,0,6,0,0,0,0,0
20200413,168,0,162,0,162,0,6,0,0,0,0,0
20200414,168,0,162,0,162,0,6,0,0,0,0,0
20200415,168,0,162,0,162,0,6,0,0,0,0,0
20200416,168,0,162,0,162,0,6,0,0,0,0,0
20200417,168,0,162,0,162,0,6,0,0,0,0,0
20200418,168,0,162,0,162,0,6,0,0,0,0,0
20200419,168,0,162,0,162,0,6,0,0,0,0,0
20200420,168,0,162,0,162,0,6,0,0,0,0,0
20200421,168,0,162,0,162,0,6,0,0,0,0,0
20200422,168,0,162,0,162,0,6,0,0,0,0,0
20200423,168,0,162,0,162,0,6,0,0,0,0,0
20200424,168,0,162,0,162,0,6,0,0,0,0,0
20200425,168,0,162,0,162,0,6,0,0,0,0,0
20200426,168,0,162,0,162,0,6,0,0,0,0,0
20200427,168,0,162,0,162,0,6,0,0,0,0,0
20200428,168,0,162,0,162,0,6,0,0,0,0,0
20200429,168,0,162,0,162,0,6,0,0,0,0,0
20200430,168,0,162,0,162,0,6,0,0,0,0,0
20200501,168,0,162,0,162,0,6,0,0,0,0,0
20200502,168,0,162,0,162,0,6,0,0,0,0,0
20200503,168,0,162,0,162,0,6,0,0,0,0,0
20200504,168,0,162,0,162,0,6,0,0,0,0,0
20200505,168,0,162,0,162,0,6,0,0,0,0,0
20200506,168,0,162,0,162,0,6,0,0,0,0,0
20200507,168,0,162,0,162,0,6,0,0,0,0,0
20200508,168,0,162,0,162,0,6,0,0,0,0,0
20200509,168,0,162,0,162,0,6,0,0,0,0,0
20200510,168,0,162,0,162,0,6,0,0,0,0,0
20200511,168,0,162,0,162,0,6,0,0,0,0,0
20200512,168,0,162,0,162,0,6,0,0,0,0,0
20200513,168,0,162,0,162,0,6,0,0,0,0,0
20200514,168,0,162,0,162,0,6,0,0,0,0,0
20200515,169,1,162,0,162,1,6,0,0,0,0,0
20200516,169,0,162,0,162,1,6,0,0,0,0,0
20200517,169,0,162,0,162,1,6,0,0,0,0,0
20200518,169,0,162,0,162,1,6,0,0,0,0,0
20200519,169,0,162,0,162,1,6,0,0,0,0,0
20200520,169,0,162,0,162,1,6,0,0,0,0,0
20200521,169,0,162,0,162,1,6,0,0,0,0,0
20200522,169,0,162,0,162,1,6,0,0,0,0,0
20200523,169,0,162,0,162,1,6,0,0,0,0,0
20200524,169,0,162,0,162,1,6,0,0,0,0,0
20200525,169,0,162,0,162,1,6,0,0,0,0,0
20200526,169,0,162,0,162,1,6,0,0,0,0,0
20200527,169,0,162,0,162,1,6,0,0,0,0,0
20200528,169,0,162,0,162,1,6,0,0,0,0,0
20200529,169,0,163,1,163,0,6,0,0,0,0,0
20200530,169,0,163,0,163,0,6,0,0,0,0,0
20200531,169,0,163,0,163,0,6,0,0,0,0,0
20200601,169,0,162,-1,162,1,6,0,0,0,0,0
20200602,169,0,162,0,162,1,6,0,0,0,0,0
20200603,169,0,162,0,162,1,6,0,0,0,0,0
20200604,169,0,162,0,162,1,6,0,0,0,0,0
20200605,169,0,162,0,162,1,6,0,0,0,0,0
20200606,170,1,162,0,162,2,6,0,0,0,0,0
20200607,170,0,162,0,162,2,6,0,0,0,0,0
20200608,170,0,162,0,162,2,6,0,0,0,0,0
20200609,169,-1,162,0,162,1,6,0,0,0,0,0
20200610,169,0,162,0,162,1,6,0,0,0,0,0
20200611,169,0,162,0,162,1,6,0,0,0,0,0
20200612,171,2,162,0,162,3,6,0,0,0,0,0
20200613,171,0,162,0,162,3,6,0,0,0,0,0
20200614,171,0,163,1,163,2,6,0,0,0,0,0
20200615,171,0,163,0,163,2,6,0,0,0,0,0
20200616,171,0,163,0,163,2,6,0,0,0,0,0
20200617,171,0,163,0,163,2,6,0,0,0,0,0
20200618,171,0,163,0,163,2,6,0,0,0,0,0
20200619,171,0,163,0,163,2,6,0,0,0,0,0
20200620,171,0,163,0,163,2,6,0,0,0,0,0
20200621,171,0,163,0,163,2,6,0,0,0,0,0
20200622,171,0,163,0,163,2,6,0,0,0,0,0
20200623,171,0,163,0,163,2,6,0,0,0,0,0
20200624,171,0,163,0,163,2,6,0,0,0,0,0
20200625,171,0,165,2,165,0,6,0,0,0,0,0
20200626,171,0,165,0,165,0,6,0,0,0,0,0
20200627,171,0,165,0,165,0,6,0,0,0,0,0
20200628,171,0,165,0,165,0,6,0,0,0,0,0
20200629,171,0,165,0,165,0,6,0,0,0,0,0
20200630,171,0,165,0,165,0,6,0,0,0,0,0
20200701,171,0,165,0,165,0,6,0,0,0,0,0
20200702,171,0,165,0,165,0,6,0,0,0,0,0
20200703,171,0,165,0,165,0,6,0,0,0,0,0
20200704,171,0,165,0,165,0,6,0,0,0,0,0
20200705,171,0,165,0,165,0,6,0,0,0,0,0
20200706,171,0,165,0,165,0,6,0,0,0,0,0
20200707,171,0,165,0,165,0,6,0,0,0,0,0
20200708,171,0,165,0,165,0,6,0,0,0,0,0
20200709,171,0,165,0,165,0,6,0,0,0,0,0
20200710,171,0,165,0,165,0,6,0,0,0,0,0
20200711,171,0,165,0,165,0,6,0,0,0,0,0
20200712,171,0,165,0,165,0,6,0,0,0,0,0
