日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200120,270,270,25,25,25,239,6,6,0,0,0,0
20200121,375,105,28,3,28,338,9,3,0,0,0,0
20200122,444,69,28,0,28,399,17,8,0,0,0,0
20200123,549,105,31,3,31,494,24,7,0,0,0,0
20200124,729,180,32,1,32,658,39,15,0,0,0,0
20200125,1052,323,42,10,42,958,52,13,0,0,0,0
20200126,1423,371,44,2,44,1303,76,24,0,0,0,0
20200127,2714,1291,47,3,47,2567,100,24,0,0,0,0
20200128,3554,840,80,33,80,3349,125,25,0,0,0,0
20200129,4586,1032,90,10,90,4334,162,37,0,0,0,0
20200130,5806,1220,116,26,116,5486,204,42,0,0,0,0
20200131,7153,1347,166,50,166,6738,249,45,0,0,0,0
20200201,9074,1921,215,49,215,8565,294,45,0,0,0,0
20200202,11177,2103,295,80,295,10532,350,56,0,0,0,0
20200203,13522,2345,396,101,396,12712,414,64,0,0,0,0
20200204,16678,3156,520,124,520,15679,479,65,0,0,0,0
20200205,19665,2987,633,113,633,18483,549,70,0,0,0,0
20200206,22112,2447,817,184,817,20677,618,69,0,0,0,0
20200207,24953,2841,1115,298,1115,23139,699,81,0,0,0,0
20200208,27100,2147,1439,324,1439,24881,780,81,0,0,0,0
20200209,29631,2531,1795,356,1795,26965,871,91,0,0,0,0
20200210,31728,2097,2222,427,2222,28532,974,103,0,0,0,0
20200211,33366,1638,2639,417,2639,29659,1068,94,0,0,0,0
20200212,48206,14840,3441,802,3441,43455,1310,242,0,0,0,0
20200213,51986,3780,4131,690,4131,46429,1426,116,0,0,0,0
20200214,54406,2420,4774,643,4774,48175,1457,31,0,0,0,0
20200215,56249,1843,5623,849,5623,49030,1596,139,0,0,0,0
20200216,58182,1933,6639,1016,6639,49847,1696,100,0,0,0,0
20200217,59989,1807,7862,1223,7862,50338,1789,93,0,0,0,0
20200218,61682,1693,9128,1266,9128,50633,1921,132,0,0,0,0
20200219,62031,349,10337,1209,10337,49665,2029,108,0,0,0,0
20200220,62662,631,11788,1451,11788,48730,2144,115,0,0,0,0
20200221,63454,792,13557,1769,13557,47647,2250,106,0,0,0,0
20200222,64084,630,15299,1742,15299,46439,2346,96,0,0,0,0
20200223,64287,203,16738,1439,16738,45054,2495,149,0,0,0,0
20200224,64786,499,18854,2116,18854,43369,2563,68,0,0,0,0
20200225,65187,401,20912,2058,20912,41660,2615,52,0,0,0,0
20200226,65596,409,23200,2288,23200,39755,2641,26,0,0,0,0
20200227,65914,318,26403,3203,26403,36829,2682,41,0,0,0,0
20200228,66337,423,28895,2492,28895,34715,2727,45,0,0,0,0
20200229,66907,570,31187,2292,31187,32959,2761,34,0,0,0,0
20200301,67103,196,33757,2570,33757,30543,2803,42,0,0,0,0
20200302,67217,114,36167,2410,36167,28216,2834,31,0,0,0,0
20200303,67332,115,38556,2389,38556,25905,2871,37,0,0,0,0
20200304,67466,134,40479,1923,40479,24085,2902,31,0,0,0,0
20200305,67592,126,41966,1487,41966,22695,2931,29,0,0,0,0
20200306,67666,74,43468,1502,43468,21239,2959,28,0,0,0,0
20200307,67707,41,45011,1543,45011,19710,2986,27,0,0,0,0
20200308,67743,36,46433,1422,46433,18303,3007,21,0,0,0,0
20200309,67760,17,47585,1152,47585,17151,3024,17,0,0,0,0
20200310,67773,13,49056,1471,49056,15671,3046,22,0,0,0,0
20200311,67781,8,50298,1242,50298,14427,3056,10,0,0,0,0
20200312,67786,5,51553,1255,51553,13171,3062,6,0,0,0,0
20200313,67790,4,52943,1390,52943,11772,3075,13,0,0,0,0
20200314,67794,4,54278,1335,54278,10431,3085,10,0,0,0,0
20200315,67798,4,55094,816,55094,9605,3099,14,0,0,0,0
20200316,67799,1,55987,893,55987,8701,3111,12,0,0,0,0
20200317,67800,1,56883,896,56883,7795,3122,11,0,0,0,0
20200318,67800,0,57678,795,57678,6992,3130,8,0,0,0,0
20200319,67800,0,58381,703,58381,6287,3132,2,0,0,0,0
20200320,67800,0,58942,561,58942,5719,3139,7,0,0,0,0
20200321,67800,0,59432,490,59432,5224,3144,5,0,0,0,0
20200322,67800,0,59879,447,59879,4768,3153,9,0,0,0,0
20200323,67801,1,60323,444,60323,4318,3160,7,0,0,0,0
20200324,67801,0,60810,487,60810,3828,3163,3,0,0,0,0
20200325,67801,0,61201,391,61201,3431,3169,6,0,0,0,0
20200326,67801,0,61731,530,61731,2896,3174,5,0,0,0,0
20200327,67801,0,62098,367,62098,2526,3177,3,0,0,0,0
20200328,67801,0,62565,467,62565,2054,3182,5,0,0,0,0
20200329,67801,0,62882,317,62882,1733,3186,4,0,0,0,0
20200330,67801,0,63153,271,63153,1461,3187,1,0,0,0,0
