日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,24,24,0,0,0,24,0,0,0,0,0,0
20200124,43,19,0,0,0,43,0,0,0,0,0,0
20200125,69,26,0,0,0,69,0,0,0,0,0,0
20200126,100,31,0,0,0,100,0,0,0,0,0,0
20200127,143,43,0,0,0,143,0,0,0,0,0,0
20200128,221,78,0,0,0,221,0,0,0,0,0,0
20200129,277,56,0,0,0,277,0,0,0,0,0,0
20200130,332,55,2,2,2,330,0,0,0,0,0,0
20200131,389,57,3,1,3,386,0,0,0,0,0,0
20200201,463,74,8,5,8,455,0,0,0,0,0,0
20200202,521,58,16,8,16,505,0,0,0,0,0,0
20200203,593,72,22,6,22,571,0,0,0,0,0,0
20200204,661,68,35,13,35,626,0,0,0,0,0,0
20200205,711,50,56,21,56,655,0,0,0,0,0,0
20200206,772,61,91,35,91,681,0,0,0,0,0,0
20200207,803,31,119,28,119,684,0,0,0,0,0,0
20200208,838,35,159,40,159,678,1,1,0,0,0,0
20200209,879,41,186,27,186,692,1,0,0,0,0,0
20200210,912,33,213,27,213,698,1,0,0,0,0,0
20200211,946,34,263,50,263,681,2,1,0,0,0,0
20200212,968,22,312,49,312,654,2,0,0,0,0,0
20200213,988,20,352,40,352,634,2,0,0,0,0,0
20200214,1001,13,389,37,389,610,2,0,0,0,0,0
20200215,1004,3,430,41,430,571,3,1,0,0,0,0
20200216,1006,2,467,37,467,536,3,0,0,0,0,0
20200217,1007,1,501,34,501,502,4,1,0,0,0,0
20200218,1008,1,542,41,542,462,4,0,0,0,0,0
20200219,1010,2,578,36,578,428,4,0,0,0,0,0
20200220,1011,1,638,60,638,369,4,0,0,0,0,0
20200221,1013,2,670,32,670,339,4,0,0,0,0,0
20200222,1016,3,704,34,704,308,4,0,0,0,0,0
20200223,1016,0,721,17,721,291,4,0,0,0,0,0
20200224,1016,0,751,30,751,261,4,0,0,0,0,0
20200225,1016,0,779,28,779,233,4,0,0,0,0,0
20200226,1017,1,793,14,793,220,4,0,0,0,0,0
20200227,1017,0,820,27,820,193,4,0,0,0,0,0
20200228,1018,1,841,21,841,173,4,0,0,0,0,0
20200229,1018,0,853,12,853,161,4,0,0,0,0,0
20200301,1018,0,876,23,876,138,4,0,0,0,0,0
20200302,1018,0,892,16,892,122,4,0,0,0,0,0
20200303,1018,0,913,21,913,101,4,0,0,0,0,0
20200304,1018,0,933,20,933,81,4,0,0,0,0,0
20200305,1018,0,946,13,946,68,4,0,0,0,0,0
20200306,1018,0,959,13,959,55,4,0,0,0,0,0
20200307,1018,0,965,6,965,49,4,0,0,0,0,0
20200308,1018,0,979,14,979,35,4,0,0,0,0,0
20200309,1018,0,988,9,988,26,4,0,0,0,0,0
20200310,1018,0,995,7,995,19,4,0,0,0,0,0
20200311,1018,0,998,3,998,16,4,0,0,0,0,0
20200312,1018,0,1004,6,1004,10,4,0,0,0,0,0
20200313,1018,0,1009,5,1009,5,4,0,0,0,0,0
20200314,1018,0,1014,5,1014,0,4,0,0,0,0,0
20200315,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200316,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200317,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200318,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200319,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200320,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200321,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200322,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200323,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200324,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200325,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200326,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200327,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200328,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200329,1018,0,1014,0,1014,0,4,0,0,0,0,0
20200330,1018,0,1014,0,1014,0,4,0,0,0,0,0
