日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,1,1,0,0,0,1,0,0,0,0,0,0
20200123,3,2,0,0,0,3,0,0,0,0,0,0
20200124,18,15,0,0,0,18,0,0,0,0,0,0
20200125,29,11,0,0,0,29,0,0,0,0,0,0
20200126,56,27,0,0,0,56,0,0,0,0,0,0
20200127,59,3,0,0,0,59,0,0,0,0,0,0
20200128,82,23,0,0,0,82,0,0,0,0,0,0
20200129,101,19,0,0,0,101,0,0,0,0,0,0
20200130,120,19,0,0,0,120,0,0,0,0,0,0
20200131,144,24,0,0,0,144,0,0,0,0,0,0
20200201,159,15,0,0,0,159,0,0,0,0,0,0
20200202,179,20,0,0,0,179,0,0,0,0,0,0
20200203,194,15,1,1,1,193,0,0,0,0,0,0
20200204,205,11,7,6,7,198,0,0,0,0,0,0
20200205,215,10,11,4,11,204,0,0,0,0,0,0
20200206,224,9,15,4,15,209,0,0,0,0,0,0
20200207,239,15,20,5,20,219,0,0,0,0,0,0
20200208,250,11,24,4,24,226,0,0,0,0,0,0
20200209,261,11,35,11,35,226,0,0,0,0,0,0
20200210,267,6,39,4,39,228,0,0,0,0,0,0
20200211,272,5,46,7,46,226,0,0,0,0,0,0
20200212,279,7,54,8,54,225,0,0,0,0,0,0
20200213,281,2,59,5,59,222,0,0,0,0,0,0
20200214,285,4,66,7,66,219,0,0,0,0,0,0
20200215,287,2,77,11,77,210,0,0,0,0,0,0
20200216,290,3,84,7,84,206,0,0,0,0,0,0
20200217,292,2,91,7,91,201,0,0,0,0,0,0
20200218,293,1,96,5,96,197,0,0,0,0,0,0
20200219,293,0,112,16,112,180,1,1,0,0,0,0
20200220,293,0,134,22,134,158,1,0,0,0,0,0
20200221,293,0,150,16,150,142,1,0,0,0,0,0
20200222,293,0,165,15,165,127,1,0,0,0,0,0
20200223,293,0,174,9,174,118,1,0,0,0,0,0
20200224,294,1,188,14,188,105,1,0,0,0,0,0
20200225,294,0,205,17,205,88,1,0,0,0,0,0
20200226,296,2,225,20,225,70,1,0,0,0,0,0
20200227,296,0,232,7,232,63,1,0,0,0,0,0
20200228,296,0,241,9,241,54,1,0,0,0,0,0
20200229,296,0,243,2,243,52,1,0,0,0,0,0
20200301,296,0,247,4,247,48,1,0,0,0,0,0
20200302,296,0,255,8,255,40,1,0,0,0,0,0
20200303,296,0,261,6,261,34,1,0,0,0,0,0
20200304,296,0,270,9,270,25,1,0,0,0,0,0
20200305,296,0,278,8,278,17,1,0,0,0,0,0
20200306,296,0,284,6,284,11,1,0,0,0,0,0
20200307,296,0,295,11,295,0,1,0,0,0,0,0
20200308,296,0,295,0,295,0,1,0,0,0,0,0
20200309,296,0,295,0,295,0,1,0,0,0,0,0
20200310,296,0,295,0,295,0,1,0,0,0,0,0
20200311,296,0,295,0,295,0,1,0,0,0,0,0
20200312,296,0,295,0,295,0,1,0,0,0,0,0
20200313,296,0,295,0,295,0,1,0,0,0,0,0
20200314,296,0,295,0,295,0,1,0,0,0,0,0
20200315,296,0,295,0,295,0,1,0,0,0,0,0
20200316,296,0,295,0,295,0,1,0,0,0,0,0
20200317,296,0,295,0,295,0,1,0,0,0,0,0
20200318,296,0,295,0,295,0,1,0,0,0,0,0
20200319,299,3,295,0,295,3,1,0,0,0,0,0
20200320,303,4,295,0,295,7,1,0,0,0,0,0
20200321,307,4,295,0,295,11,1,0,0,0,0,0
20200322,313,6,295,0,295,17,1,0,0,0,0,0
20200323,318,5,295,0,295,22,1,0,0,0,0,0
20200324,322,4,295,0,295,26,1,0,0,0,0,0
20200325,328,6,295,0,295,32,1,0,0,0,0,0
20200326,331,3,295,0,295,35,1,0,0,0,0,0
20200327,337,6,295,0,295,41,1,0,0,0,0,0
20200328,338,1,295,0,295,42,1,0,0,0,0,0
