日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,3,3,0,0,0,3,0,0,0,0,0,0
20200124,4,1,0,0,0,4,0,0,0,0,0,0
20200125,5,1,0,0,0,5,0,0,0,0,0,0
20200126,7,2,0,0,0,7,0,0,0,0,0,0
20200127,9,2,0,0,0,9,0,0,0,0,0,0
20200128,9,0,0,0,0,9,0,0,0,0,0,0
20200129,12,3,0,0,0,12,0,0,0,0,0,0
20200130,15,3,1,1,1,14,0,0,0,0,0,0
20200131,29,14,2,1,2,27,0,0,0,0,0,0
20200201,38,9,2,0,2,36,0,0,0,0,0,0
20200202,46,8,2,0,2,44,0,0,0,0,0,0
20200203,56,10,2,0,2,54,0,0,0,0,0,0
20200204,64,8,5,3,5,59,0,0,0,0,0,0
20200205,69,5,6,1,6,62,1,1,0,0,0,0
20200206,77,8,6,0,6,70,1,0,0,0,0,0
20200207,89,12,6,0,6,82,1,0,0,0,0,0
20200208,96,7,7,1,7,88,1,0,0,0,0,0
20200209,109,13,7,0,7,101,1,0,0,0,0,0
20200210,118,9,10,3,10,107,1,0,0,0,0,0
20200211,131,13,17,7,17,113,1,0,0,0,0,0
20200212,135,4,20,3,20,114,1,0,0,0,0,0
20200213,140,5,28,8,28,111,1,0,0,0,0,0
20200214,143,3,33,5,33,109,1,0,0,0,0,0
20200215,144,1,37,4,37,106,1,0,0,0,0,0
20200216,146,2,47,10,47,98,1,0,0,0,0,0
20200217,146,0,66,19,66,79,1,0,0,0,0,0
20200218,146,0,69,3,69,75,2,1,0,0,0,0
20200219,146,0,71,2,71,73,2,0,0,0,0,0
20200220,146,0,76,5,76,68,2,0,0,0,0,0
20200221,146,0,90,14,90,54,2,0,0,0,0,0
20200222,146,0,91,1,91,53,2,0,0,0,0,0
20200223,146,0,102,11,102,42,2,0,0,0,0,0
20200224,146,0,103,1,103,41,2,0,0,0,0,0
20200225,146,0,104,1,104,40,2,0,0,0,0,0
20200226,146,0,112,8,112,32,2,0,0,0,0,0
20200227,146,0,112,0,112,32,2,0,0,0,0,0
20200228,146,0,112,0,112,32,2,0,0,0,0,0
20200229,146,0,112,0,112,32,2,0,0,0,0,0
20200301,146,0,114,2,114,30,2,0,0,0,0,0
20200302,146,0,114,0,114,30,2,0,0,0,0,0
20200303,146,0,114,0,114,30,2,0,0,0,0,0
20200304,146,0,114,0,114,30,2,0,0,0,0,0
20200305,146,0,114,0,114,30,2,0,0,0,0,0
20200306,146,0,115,1,115,29,2,0,0,0,0,0
20200307,146,0,117,2,117,27,2,0,0,0,0,0
20200308,146,0,123,6,123,21,2,0,0,0,0,0
20200309,146,0,129,6,129,15,2,0,0,0,0,0
20200310,146,0,133,4,133,11,2,0,0,0,0,0
20200311,146,0,137,4,137,7,2,0,0,0,0,0
20200312,146,0,140,3,140,4,2,0,0,0,0,0
20200313,146,0,143,3,143,1,2,0,0,0,0,0
20200314,146,0,143,0,143,1,2,0,0,0,0,0
20200315,146,0,143,0,143,1,2,0,0,0,0,0
20200316,146,0,144,1,144,0,2,0,0,0,0,0
20200317,146,0,144,0,144,0,2,0,0,0,0,0
20200318,146,0,144,0,144,0,2,0,0,0,0,0
20200319,146,0,144,0,144,0,2,0,0,0,0,0
