日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200122,2,2,0,0,0,2,0,0,0,0,0,0
20200123,3,1,0,0,0,3,0,0,0,0,0,0
20200124,12,9,0,0,0,12,0,0,0,0,0,0
20200125,19,7,0,0,0,19,0,0,0,0,0,0
20200126,22,3,0,0,0,22,0,0,0,0,0,0
20200127,27,5,0,0,0,27,0,0,0,0,0,0
20200128,36,9,0,0,0,36,0,0,0,0,0,0
20200129,39,3,1,1,1,38,0,0,0,0,0,0
20200130,45,6,1,0,1,44,0,0,0,0,0,0
20200131,60,15,1,0,1,59,0,0,0,0,0,0
20200201,64,4,1,0,1,63,0,0,0,0,0,0
20200202,70,6,1,0,1,69,0,0,0,0,0,0
20200203,77,7,1,0,1,76,0,0,0,0,0,0
20200204,81,4,2,1,2,79,0,0,0,0,0,0
20200205,89,8,4,2,4,85,0,0,0,0,0,0
20200206,94,5,5,1,5,89,0,0,0,0,0,0
20200207,99,5,7,2,7,92,0,0,0,0,0,0
20200208,106,7,12,5,12,94,0,0,0,0,0,0
20200209,108,2,12,0,12,96,0,0,0,0,0,0
20200210,108,0,17,5,17,91,0,0,0,0,0,0
20200211,111,3,18,1,18,93,0,0,0,0,0,0
20200212,116,5,20,2,20,95,1,1,0,0,0,0
20200213,117,1,22,2,22,94,1,0,0,0,0,0
20200214,119,2,29,7,29,89,1,0,0,0,0,0
20200215,120,1,32,3,32,87,1,0,0,0,0,0
20200216,121,1,41,9,41,79,1,0,0,0,0,0
20200217,121,0,43,2,43,77,1,0,0,0,0,0
20200218,121,0,55,12,55,65,1,0,0,0,0,0
20200219,121,0,58,3,58,62,1,0,0,0,0,0
20200220,121,0,61,3,61,59,1,0,0,0,0,0
20200221,121,0,66,5,66,54,1,0,0,0,0,0
20200222,121,0,68,2,68,52,1,0,0,0,0,0
20200223,121,0,73,5,73,47,1,0,0,0,0,0
20200224,121,0,83,10,83,37,1,0,0,0,0,0
20200225,121,0,88,5,88,32,1,0,0,0,0,0
20200226,121,0,92,4,92,28,1,0,0,0,0,0
20200227,121,0,93,1,93,27,1,0,0,0,0,0
