日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200121,5,5,0,0,0,5,0,0,0,0,0,0
20200122,9,4,0,0,0,9,0,0,0,0,0,0
20200123,27,18,0,0,0,27,0,0,0,0,0,0
20200124,57,30,0,0,0,57,0,0,0,0,0,0
20200125,75,18,0,0,0,75,0,0,0,0,0,0
20200126,110,35,0,0,0,110,0,0,0,0,0,0
20200127,132,22,0,0,0,132,0,0,0,0,0,0
20200128,147,15,0,0,0,147,0,0,0,0,0,0
20200129,165,18,1,1,1,164,0,0,0,0,0,0
20200130,206,41,1,0,1,205,0,0,0,0,0,0
20200131,238,32,1,0,1,236,1,1,0,0,0,0
20200201,262,24,3,2,3,258,1,0,0,0,0,0
20200202,300,38,7,4,7,291,2,1,0,0,0,0
20200203,337,37,9,2,9,326,2,0,0,0,0,0
20200204,366,29,14,5,14,350,2,0,0,0,0,0
20200205,389,23,15,1,15,372,2,0,0,0,0,0
20200206,411,22,24,9,24,385,2,0,0,0,0,0
20200207,426,15,31,7,31,393,2,0,0,0,0,0
20200208,446,20,39,8,39,405,2,0,0,0,0,0
20200209,468,22,51,12,51,415,2,0,0,0,0,0
20200210,486,18,66,15,66,418,2,0,0,0,0,0
20200211,505,19,79,13,79,423,3,1,0,0,0,0
20200212,518,13,102,23,102,413,3,0,0,0,0,0
20200213,529,11,128,26,128,397,4,1,0,0,0,0
20200214,537,8,152,24,152,380,5,1,0,0,0,0
20200215,544,7,184,32,184,355,5,0,0,0,0,0
20200216,551,7,207,23,207,339,5,0,0,0,0,0
20200217,553,2,225,18,225,323,5,0,0,0,0,0
20200218,555,2,254,29,254,296,5,0,0,0,0,0
20200219,560,5,274,20,274,281,5,0,0,0,0,0
20200220,567,7,299,25,299,262,6,1,0,0,0,0
20200221,572,5,316,17,316,250,6,0,0,0,0,0
20200222,573,1,328,12,328,239,6,0,0,0,0,0
20200223,575,2,335,7,335,234,6,0,0,0,0,0
20200224,576,1,349,14,349,221,6,0,0,0,0,0
20200225,576,0,372,23,372,198,6,0,0,0,0,0
20200226,576,0,384,12,384,186,6,0,0,0,0,0
20200227,576,0,401,17,401,169,6,0,0,0,0,0
20200228,576,0,422,21,422,148,6,0,0,0,0,0
20200229,576,0,438,16,438,132,6,0,0,0,0,0
20200301,576,0,450,12,450,120,6,0,0,0,0,0
20200302,576,0,469,19,469,101,6,0,0,0,0,0
20200303,576,0,490,21,490,80,6,0,0,0,0,0
20200304,576,0,502,12,502,68,6,0,0,0,0,0
20200305,576,0,512,10,512,58,6,0,0,0,0,0
20200306,576,0,520,8,520,50,6,0,0,0,0,0
20200307,576,0,526,6,526,44,6,0,0,0,0,0
20200308,576,0,527,1,527,43,6,0,0,0,0,0
20200309,576,0,542,15,542,28,6,0,0,0,0,0
20200310,576,0,547,5,547,23,6,0,0,0,0,0
20200311,576,0,554,7,554,16,6,0,0,0,0,0
20200312,576,0,564,10,564,6,6,0,0,0,0,0
20200313,576,0,566,2,566,4,6,0,0,0,0,0
20200314,576,0,569,3,569,1,6,0,0,0,0,0
20200315,576,0,570,1,570,0,6,0,0,0,0,0
20200316,576,0,570,0,570,0,6,0,0,0,0,0
20200317,576,0,570,0,570,0,6,0,0,0,0,0
20200318,576,0,570,0,570,0,6,0,0,0,0,0
20200319,576,0,570,0,570,0,6,0,0,0,0,0
20200320,576,0,570,0,570,0,6,0,0,0,0,0
20200321,576,0,570,0,570,0,6,0,0,0,0,0
20200322,577,1,570,0,570,1,6,0,0,0,1,1
20200323,578,1,570,0,570,2,6,0,0,0,1,0
20200324,578,0,570,0,570,2,6,0,0,0,1,0
20200325,578,0,570,0,570,2,6,0,0,0,1,0
20200326,578,0,570,0,570,2,6,0,0,0,1,0
20200327,578,0,570,0,570,2,6,0,0,0,1,0
20200328,579,1,570,0,570,3,6,0,0,0,1,0
20200329,579,0,570,0,570,3,6,0,0,0,1,0
20200330,579,0,570,0,570,3,6,0,0,0,1,0
20200331,579,0,570,0,570,3,6,0,0,0,1,0
20200401,579,0,570,0,570,3,6,0,0,0,1,0
20200402,579,0,570,0,570,3,6,0,0,0,0,-1
20200403,579,0,570,0,570,3,6,0,0,0,0,0
20200404,579,0,570,0,570,3,6,0,0,0,1,1
20200405,579,0,570,0,570,3,6,0,0,0,1,0
20200406,579,0,570,0,570,3,6,0,0,0,1,0
20200407,579,0,570,0,570,3,6,0,0,0,0,-1
20200408,579,0,570,0,570,3,6,0,0,0,0,0
20200409,579,0,570,0,570,3,6,0,0,0,1,1
20200410,579,0,570,0,570,3,6,0,0,0,1,0
20200411,579,0,570,0,570,3,6,0,0,0,1,0
20200412,579,0,570,0,570,3,6,0,0,0,1,0
20200413,579,0,570,0,570,3,6,0,0,0,1,0
20200414,579,0,570,0,570,3,6,0,0,0,1,0
20200415,579,0,570,0,570,3,6,0,0,0,1,0
20200416,579,0,570,0,570,3,6,0,0,0,1,0
20200417,579,0,570,0,570,3,6,0,0,0,1,0
20200418,579,0,570,0,570,3,6,0,0,0,1,0
20200419,579,0,570,0,570,3,6,0,0,0,1,0
20200420,579,0,570,0,570,3,6,0,0,0,1,0
20200421,579,0,570,0,570,3,6,0,0,0,1,0
20200422,579,0,570,0,570,3,6,0,0,0,1,0
20200423,579,0,573,3,573,0,6,0,0,0,1,0
20200424,579,0,573,0,573,0,6,0,0,0,1,0
20200425,579,0,573,0,573,0,6,0,0,0,1,0
20200426,579,0,573,0,573,0,6,0,0,0,1,0
20200427,579,0,573,0,573,0,6,0,0,0,1,0
20200428,579,0,573,0,573,0,6,0,0,0,1,0
20200429,579,0,573,0,573,0,6,0,0,0,1,0
20200430,579,0,573,0,573,0,6,0,0,0,1,0
20200501,579,0,573,0,573,0,6,0,0,0,1,0
20200502,579,0,573,0,573,0,6,0,0,0,1,0
20200503,579,0,573,0,573,0,6,0,0,0,1,0
20200504,579,0,573,0,573,0,6,0,0,0,1,0
20200505,579,0,573,0,573,0,6,0,0,0,1,0
20200506,579,0,573,0,573,0,6,0,0,0,1,0
20200507,579,0,573,0,573,0,6,0,0,0,1,0
20200508,579,0,573,0,573,0,6,0,0,0,1,0
20200509,579,0,573,0,573,0,6,0,0,0,1,0
20200510,579,0,573,0,573,0,6,0,0,0,1,0
20200511,579,0,573,0,573,0,6,0,0,0,1,0
20200512,579,0,573,0,573,0,6,0,0,0,1,0
20200513,579,0,573,0,573,0,6,0,0,0,1,0
20200514,579,0,573,0,573,0,6,0,0,0,1,0
20200515,579,0,573,0,573,0,6,0,0,0,1,0
20200516,579,0,573,0,573,0,6,0,0,0,1,0
20200517,579,0,573,0,573,0,6,0,0,0,1,0
20200518,579,0,573,0,573,0,6,0,0,0,1,0
20200519,579,0,573,0,573,0,6,0,0,0,1,0
20200520,579,0,573,0,573,0,6,0,0,0,1,0
20200521,579,0,573,0,573,0,6,0,0,0,1,0
20200522,579,0,573,0,573,0,6,0,0,0,1,0
20200523,579,0,573,0,573,0,6,0,0,0,1,0
20200524,579,0,573,0,573,0,6,0,0,0,1,0
20200525,579,0,573,0,573,0,6,0,0,0,1,0
20200526,579,0,573,0,573,0,6,0,0,0,1,0
20200527,579,0,573,0,573,0,6,0,0,0,1,0
20200528,579,0,573,0,573,0,6,0,0,0,1,0
20200529,579,0,573,0,573,0,6,0,0,0,1,0
20200530,579,0,573,0,573,0,6,0,0,0,1,0
20200531,579,0,573,0,573,0,6,0,0,0,1,0
20200601,579,0,573,0,573,0,6,0,0,0,1,0
20200602,579,0,573,0,573,0,6,0,0,0,1,0
20200603,579,0,573,0,573,0,6,0,0,0,1,0
20200604,579,0,573,0,573,0,6,0,0,0,1,0
20200605,579,0,573,0,573,0,6,0,0,0,1,0
20200606,579,0,573,0,573,0,6,0,0,0,1,0
20200607,579,0,573,0,573,0,6,0,0,0,1,0
20200608,579,0,573,0,573,0,6,0,0,0,1,0
20200609,579,0,573,0,573,0,6,0,0,0,1,0
20200610,579,0,573,0,573,0,6,0,0,0,1,0
20200611,579,0,573,0,573,0,6,0,0,0,1,0
20200612,579,0,573,0,573,0,6,0,0,0,1,0
20200613,580,1,573,0,573,1,6,0,0,0,1,0
20200614,582,2,573,0,573,3,6,0,0,0,1,0
20200615,582,0,573,0,573,3,6,0,0,0,1,0
20200616,582,0,573,0,573,3,6,0,0,0,1,0
20200617,582,0,573,0,573,3,6,0,0,0,1,0
20200618,582,0,573,0,573,3,6,0,0,0,1,0
20200619,582,0,573,0,573,3,6,0,0,0,1,0
20200620,582,0,573,0,573,3,6,0,0,0,1,0
20200621,582,0,573,0,573,3,6,0,0,0,1,0
20200622,582,0,573,0,573,3,6,0,0,0,1,0
20200623,582,0,573,0,573,3,6,0,0,0,1,0
20200624,582,0,573,0,573,3,6,0,0,0,1,0
20200625,582,0,573,0,573,3,6,0,0,0,1,0
20200626,582,0,573,0,573,3,6,0,0,0,1,0
20200627,582,0,573,0,573,3,6,0,0,0,1,0
20200628,582,0,573,0,573,3,6,0,0,0,1,0
20200629,582,0,573,0,573,3,6,0,0,0,1,0
20200630,582,0,573,0,573,3,6,0,0,0,1,0
20200701,582,0,573,0,573,3,6,0,0,0,1,0
20200702,582,0,574,1,574,2,6,0,0,0,1,0
20200703,582,0,574,0,574,2,6,0,0,0,1,0
20200704,582,0,574,0,574,2,6,0,0,0,1,0
20200705,582,0,574,0,574,2,6,0,0,0,1,0
20200706,582,0,574,0,574,2,6,0,0,0,1,0
20200707,582,0,574,0,574,2,6,0,0,0,1,0
20200708,582,0,575,1,575,1,6,0,0,0,1,0
20200709,582,0,575,0,575,1,6,0,0,0,1,0
20200710,582,0,575,0,575,1,6,0,0,0,1,0
20200711,582,0,575,0,575,1,6,0,0,0,1,0
20200712,582,0,575,0,575,1,6,0,0,0,1,0
20200713,582,0,575,0,575,1,6,0,0,0,1,0
20200714,583,1,576,1,576,1,6,0,0,0,1,0
20200715,583,0,576,0,576,1,6,0,0,0,1,0
20200716,583,0,576,0,576,1,6,0,0,0,1,0
20200717,583,0,576,0,576,1,6,0,0,0,1,0
20200718,583,0,576,0,576,1,6,0,0,0,1,0
20200719,583,0,576,0,576,1,6,0,0,0,1,0
20200720,583,0,576,0,576,1,6,0,0,0,1,0
20200722,583,0,576,0,576,1,6,0,0,0,1,0
20200724,583,0,576,0,576,1,6,0,0,0,1,0
20200725,583,0,576,0,576,1,6,0,0,0,1,0
20200726,583,0,576,0,576,1,6,0,0,0,1,0
20200727,583,0,576,0,576,1,6,0,0,0,1,0
20200728,583,0,577,1,577,0,6,0,0,0,1,0
20200729,583,0,577,0,577,0,6,0,0,0,1,0
20200730,583,0,577,0,577,0,6,0,0,0,1,0
20200731,583,0,577,0,577,0,6,0,0,0,1,0
20200801,583,0,577,0,577,0,6,0,0,0,1,0
20200802,583,0,577,0,577,0,6,0,0,0,1,0
20200803,583,0,577,0,577,0,6,0,0,0,1,0
20200804,583,0,577,0,577,0,6,0,0,0,1,0
20200806,583,0,577,0,577,0,6,0,0,0,1,0
20200807,583,0,577,0,577,0,6,0,0,0,1,0
20200808,583,0,577,0,577,0,6,0,0,0,1,0
20200809,583,0,577,0,577,0,6,0,0,0,1,0
20200810,583,0,577,0,577,0,6,0,0,0,1,0
20200812,583,0,577,0,577,0,6,0,0,0,1,0
20200813,583,0,577,0,577,0,6,0,0,0,1,0
20200814,583,0,577,0,577,0,6,0,0,0,1,0
20200815,583,0,577,0,577,0,6,0,0,0,1,0
20200816,583,0,577,0,577,0,6,0,0,0,1,0
20200817,583,0,577,0,577,0,6,0,0,0,1,0
20200818,583,0,577,0,577,0,6,0,0,0,1,0
20200820,583,0,577,0,577,0,6,0,0,0,1,0
20200821,583,0,577,0,577,0,6,0,0,0,1,0
20200822,583,0,577,0,577,0,6,0,0,0,1,0
20200823,583,0,577,0,577,0,6,0,0,0,1,0
20200824,583,0,577,0,577,0,6,0,0,0,1,0
20200825,583,0,577,0,577,0,6,0,0,0,1,0
20200826,583,0,577,0,577,0,6,0,0,0,1,0
20200827,583,0,577,0,577,0,6,0,0,0,1,0
20200828,583,0,577,0,577,0,6,0,0,0,1,0
20200829,583,0,577,0,577,0,6,0,0,0,1,0
20200830,583,0,577,0,577,0,6,0,0,0,1,0
20200831,583,0,577,0,577,0,6,0,0,0,1,0
20200901,583,0,577,0,577,0,6,0,0,0,1,0
20200902,583,0,577,0,577,0,6,0,0,0,1,0
20200903,583,0,577,0,577,0,6,0,0,0,1,0
20200904,583,0,577,0,577,0,6,0,0,0,1,0
20200905,583,0,577,0,577,0,6,0,0,0,1,0
20200906,584,1,577,0,577,1,6,0,0,0,1,0
20200907,584,0,577,0,577,1,6,0,0,0,1,0
20200909,584,0,577,0,577,1,6,0,0,0,1,0
20200910,584,0,577,0,577,1,6,0,0,0,1,0
20200911,584,0,577,0,577,1,6,0,0,0,1,0
20200913,584,0,577,0,577,1,6,0,0,0,1,0
20200914,584,0,577,0,577,1,6,0,0,0,1,0
20200915,584,0,577,0,577,1,6,0,0,0,1,0
20200919,584,0,577,0,577,1,6,0,0,0,1,0
20200920,584,0,577,0,577,1,6,0,0,0,1,0
20200921,584,0,578,1,578,0,6,0,0,0,1,0
20200922,584,0,578,0,578,0,6,0,0,0,1,0
20200923,584,0,578,0,578,0,6,0,0,0,1,0
20200924,584,0,578,0,578,0,6,0,0,0,1,0
20200925,584,0,578,0,578,0,6,0,0,0,1,0
20200926,584,0,578,0,578,0,6,0,0,0,1,0
20200927,584,0,578,0,578,0,6,0,0,0,1,0
20200928,584,0,578,0,578,0,6,0,0,0,1,0
20200929,584,0,578,0,578,0,6,0,0,0,1,0
20201001,585,1,578,0,578,1,6,0,0,0,1,0
20201002,585,0,578,0,578,1,6,0,0,0,1,0
20201003,585,0,578,0,578,1,6,0,0,0,1,0
20201004,585,0,578,0,578,1,6,0,0,0,1,0
20201005,585,0,578,0,578,1,6,0,0,0,1,0
20201006,585,0,578,0,578,1,6,0,0,0,1,0
20201007,585,0,578,0,578,1,6,0,0,0,1,0
20201008,585,0,578,0,578,1,6,0,0,0,1,0
20201009,585,0,578,0,578,1,6,0,0,0,1,0
20201010,585,0,578,0,578,1,6,0,0,0,1,0
20201011,585,0,578,0,578,1,6,0,0,0,1,0
20201012,585,0,578,0,578,1,6,0,0,0,1,0
20201013,585,0,578,0,578,1,6,0,0,0,1,0
20201014,585,0,578,0,578,1,6,0,0,0,1,0
20201015,586,1,578,0,578,2,6,0,0,0,1,0
20201016,586,0,578,0,578,2,6,0,0,0,1,0
20201017,586,0,578,0,578,2,6,0,0,0,1,0
20201018,586,0,578,0,578,2,6,0,0,0,1,0
20201019,587,1,578,0,578,3,6,0,0,0,1,0
20201020,587,0,579,1,579,2,6,0,0,0,1,0
20201021,587,0,579,0,579,2,6,0,0,0,1,0
20201022,589,2,579,0,579,4,6,0,0,0,1,0
20201023,589,0,579,0,579,4,6,0,0,0,1,0
20201024,589,0,579,0,579,4,6,0,0,0,1,0
20201025,589,0,579,0,579,4,6,0,0,0,1,0
20201026,589,0,579,0,579,4,6,0,0,0,1,0
20201027,589,0,579,0,579,4,6,0,0,0,1,0
20201028,589,0,579,0,579,4,6,0,0,0,1,0
20201030,589,0,579,0,579,4,6,0,0,0,1,0
20201031,589,0,579,0,579,4,6,0,0,0,1,0
20201101,589,0,579,0,579,4,6,0,0,0,1,0
20201102,589,0,580,1,580,3,6,0,0,0,1,0
20201103,589,0,580,0,580,3,6,0,0,0,1,0
20201104,589,0,580,0,580,3,6,0,0,0,1,0
20201105,589,0,580,0,580,3,6,0,0,0,1,0
20201106,589,0,580,0,580,3,6,0,0,0,1,0
20201108,589,0,580,0,580,3,6,0,0,0,1,0
20201109,589,0,582,2,582,1,6,0,0,0,1,0
20201110,589,0,582,0,582,1,6,0,0,0,1,0
20201111,589,0,582,0,582,1,6,0,0,0,1,0
20201112,589,0,582,0,582,1,6,0,0,0,1,0
20201114,589,0,582,0,582,1,6,0,0,0,1,0
20201115,589,0,582,0,582,1,6,0,0,0,1,0
20201117,589,0,583,1,583,0,6,0,0,0,1,0
20201118,590,1,583,0,583,1,6,0,0,0,1,0
20201119,590,0,583,0,583,1,6,0,0,0,1,0
20201120,590,0,583,0,583,1,6,0,0,0,1,0
20201121,590,0,583,0,583,1,6,0,0,0,1,0
20201122,590,0,583,0,583,1,6,0,0,0,1,0
20201123,590,0,583,0,583,1,6,0,0,0,1,0
20201124,590,0,583,0,583,1,6,0,0,0,1,0
20201125,590,0,583,0,583,1,6,0,0,0,1,0
20201126,590,0,583,0,583,1,6,0,0,0,1,0
20201127,590,0,583,0,583,1,6,0,0,0,1,0
20201128,590,0,583,0,583,1,6,0,0,0,1,0
20201129,590,0,583,0,583,1,6,0,0,0,1,0
20201130,590,0,583,0,583,1,6,0,0,0,1,0
20201201,590,0,583,0,583,1,6,0,0,0,1,0
20201202,590,0,583,0,583,1,6,0,0,0,1,0
20201203,590,0,583,0,583,1,6,0,0,0,1,0
20201204,590,0,583,0,583,1,6,0,0,0,1,0
20201206,590,0,583,0,583,1,6,0,0,0,1,0
20201207,590,0,583,0,583,1,6,0,0,0,1,0
20201208,590,0,583,0,583,1,6,0,0,0,1,0
20201209,590,0,583,0,583,1,6,0,0,0,1,0
20201210,590,0,583,0,583,1,6,0,0,0,1,0
20201211,590,0,583,0,583,1,6,0,0,0,1,0
20201212,590,0,583,0,583,1,6,0,0,0,1,0
20201213,590,0,583,0,583,1,6,0,0,0,1,0
20201214,590,0,583,0,583,1,6,0,0,0,1,0
20201215,590,0,583,0,583,1,6,0,0,0,1,0
20201216,590,0,584,1,584,0,6,0,0,0,1,0
20201217,590,0,584,0,584,0,6,0,0,0,1,0
20201218,590,0,584,0,584,0,6,0,0,0,1,0
20201219,590,0,584,0,584,0,6,0,0,0,1,0
20201220,590,0,584,0,584,0,6,0,0,0,1,0
20201221,590,0,584,0,584,0,6,0,0,0,1,0
20201222,590,0,584,0,584,0,6,0,0,0,1,0
20201223,590,0,584,0,584,0,6,0,0,0,1,0
20201224,590,0,584,0,584,0,6,0,0,0,1,0
20201225,590,0,584,0,584,0,6,0,0,0,1,0
20201226,590,0,584,0,584,0,6,0,0,0,1,0
20201227,590,0,584,0,584,0,6,0,0,0,1,0
20201228,590,0,584,0,584,0,6,0,0,0,1,0
20201229,590,0,584,0,584,0,6,0,0,0,1,0
20201230,590,0,584,0,584,0,6,0,0,0,1,0
20201231,590,0,584,0,584,0,6,0,0,0,1,0
20210101,590,0,584,0,584,0,6,0,0,0,1,0
20210102,590,0,584,0,584,0,6,0,0,0,1,0
20210103,590,0,584,0,584,0,6,0,0,0,1,0
20210104,590,0,584,0,584,0,6,0,0,0,1,0
20210105,590,0,584,0,584,0,6,0,0,0,1,0
20210106,590,0,584,0,584,0,6,0,0,0,1,0
20210107,590,0,584,0,584,0,6,0,0,0,1,0
20210108,590,0,584,0,584,0,6,0,0,0,1,0
20210109,590,0,584,0,584,0,6,0,0,0,1,0
20210110,590,0,584,0,584,0,6,0,0,0,1,0
20210111,590,0,584,0,584,0,6,0,0,0,1,0
20210112,590,0,584,0,584,0,6,0,0,0,1,0
20210113,590,0,584,0,584,0,6,0,0,0,1,0
20210114,590,0,584,0,584,0,6,0,0,0,1,0
20210115,591,1,584,0,584,1,6,0,0,0,1,0
20210116,591,0,584,0,584,1,6,0,0,0,1,0
20210117,591,0,584,0,584,1,6,0,0,0,1,0
20210118,591,0,584,0,584,1,6,0,0,0,1,0
20210119,591,0,584,0,584,1,6,0,0,0,1,0
20210120,591,0,584,0,584,1,6,0,0,0,1,0
20210121,591,0,584,0,584,1,6,0,0,0,1,0
20210122,591,0,584,0,584,1,6,0,0,0,1,0
20210123,591,0,584,0,584,1,6,0,0,0,1,0
20210124,591,0,584,0,584,1,6,0,0,0,1,0
20210125,591,0,584,0,584,1,6,0,0,0,1,0
20210126,591,0,584,0,584,1,6,0,0,0,1,0
20210127,591,0,584,0,584,1,6,0,0,0,1,0
20210128,591,0,584,0,584,1,6,0,0,0,1,0
20210129,591,0,584,0,584,1,6,0,0,0,1,0
