日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,3,3,0,0,0,3,0,0,0,0,0,0
20200124,5,2,0,0,0,5,0,0,0,0,0,0
20200125,22,17,0,0,0,22,0,0,0,0,0,0
20200126,35,13,0,0,0,35,0,0,0,0,0,0
20200127,46,11,0,0,0,46,0,0,0,0,0,0
20200128,56,10,0,0,0,56,0,0,0,0,0,0
20200129,63,7,0,0,0,63,0,0,0,0,0,0
20200130,87,24,0,0,0,87,0,0,0,0,0,0
20200131,101,14,0,0,0,101,0,0,0,0,0,0
20200201,116,15,0,0,0,116,0,0,0,0,0,0
20200202,128,12,0,0,0,128,0,0,0,0,0,0
20200203,142,14,0,0,0,142,0,0,0,0,0,0
20200204,165,23,1,1,1,164,0,0,0,0,0,0
20200205,173,8,2,1,2,171,0,0,0,0,0,0
20200206,184,11,6,4,6,178,0,0,0,0,0,0
20200207,195,11,11,5,11,184,0,0,0,0,0,0
20200208,208,13,17,6,17,191,0,0,0,0,0,0
20200209,213,5,20,3,20,193,0,0,0,0,0,0
20200210,219,6,26,6,26,193,0,0,0,0,0,0
20200211,225,6,31,5,31,194,0,0,0,0,0,0
20200212,225,0,36,5,36,189,0,0,0,0,0,0
20200213,229,4,42,6,42,187,0,0,0,0,0,0
20200214,230,1,49,7,49,181,0,0,0,0,0,0
20200215,232,2,53,4,53,179,0,0,0,0,0,0
20200216,236,4,64,11,64,172,0,0,0,0,0,0
20200217,240,4,74,10,74,166,0,0,0,0,0,0
20200218,240,0,79,5,79,161,0,0,0,0,0,0
20200219,242,2,89,10,89,153,0,0,0,0,0,0
20200220,245,3,105,16,105,139,1,1,0,0,0,0
20200221,245,0,140,35,140,104,1,0,0,0,0,0
20200222,245,0,153,13,153,91,1,0,0,0,0,0
20200223,245,0,162,9,162,82,1,0,0,0,0,0
20200224,245,0,175,13,175,69,1,0,0,0,0,0
20200225,245,0,186,11,186,58,1,0,0,0,0,0
20200226,245,0,194,8,194,50,1,0,0,0,0,0
20200227,245,0,197,3,197,47,1,0,0,0,0,0
20200228,245,0,200,3,200,44,1,0,0,0,0,0
20200229,245,0,207,7,207,37,1,0,0,0,0,0
20200301,245,0,209,2,209,35,1,0,0,0,0,0
20200302,245,0,216,7,216,28,1,0,0,0,0,0
20200303,245,0,218,2,218,26,1,0,0,0,0,0
20200304,245,0,222,4,222,22,1,0,0,0,0,0
20200305,245,0,224,2,224,20,1,0,0,0,0,0
20200306,245,0,226,2,226,18,1,0,0,0,0,0
20200307,245,0,226,0,226,18,1,0,0,0,0,0
20200308,245,0,227,1,227,17,1,0,0,0,0,0
20200309,245,0,227,0,227,17,1,0,0,0,0,0
20200310,245,0,227,0,227,17,1,0,0,0,0,0
20200311,245,0,232,5,232,11,2,1,0,0,0,0
20200312,245,0,232,0,232,11,2,0,0,0,0,0
20200313,245,0,232,0,232,11,2,0,0,0,0,0
20200314,245,0,232,0,232,11,2,0,0,0,0,0
20200315,245,0,232,0,232,11,2,0,0,0,0,0
20200316,246,1,233,1,233,10,3,1,0,0,0,0
20200317,246,0,236,3,236,7,3,0,0,0,0,0
20200318,246,0,237,1,237,6,3,0,0,0,0,0
20200319,247,1,237,0,237,7,3,0,0,0,0,0
20200320,248,1,239,2,239,6,3,0,0,0,0,0
20200321,248,0,239,0,239,6,3,0,0,0,0,0
20200322,248,0,239,0,239,6,3,0,0,0,0,0
20200323,249,1,240,1,240,6,3,0,0,0,0,0
20200324,250,1,240,0,240,7,3,0,0,0,1,1
20200325,253,3,242,2,242,8,3,0,0,0,1,0
20200326,253,0,242,0,242,8,3,0,0,0,1,0
20200327,253,0,242,0,242,8,3,0,0,0,1,0
20200328,253,0,242,0,242,8,3,0,0,0,1,0
20200329,253,0,242,0,242,8,3,0,0,0,1,0
20200330,253,0,242,0,242,8,3,0,0,0,1,0
20200331,255,2,242,0,242,10,3,0,0,0,1,0
20200401,255,0,242,0,242,10,3,0,0,0,1,0
20200402,255,0,244,2,244,8,3,0,0,0,0,-1
20200403,256,1,245,1,245,8,3,0,0,0,0,0
20200404,256,0,245,0,245,8,3,0,0,0,1,1
20200405,256,0,246,1,246,7,3,0,0,0,1,0
20200406,256,0,246,0,246,7,3,0,0,0,1,0
20200407,256,0,246,0,246,7,3,0,0,0,0,-1
20200408,256,0,246,0,246,7,3,0,0,0,0,0
20200409,256,0,246,0,246,7,3,0,0,0,1,1
20200410,256,0,248,2,248,5,3,0,0,0,1,0
20200411,256,0,248,0,248,5,3,0,0,0,1,0
20200412,256,0,248,0,248,5,3,0,0,0,1,0
20200413,256,0,248,0,248,5,3,0,0,0,1,0
20200414,256,0,251,3,251,2,3,0,0,0,1,0
20200415,256,0,251,0,251,2,3,0,0,0,1,0
20200416,256,0,252,1,252,1,3,0,0,0,1,0
20200417,256,0,252,0,252,1,3,0,0,0,1,0
20200418,256,0,252,0,252,1,3,0,0,0,1,0
20200419,256,0,252,0,252,1,3,0,0,0,1,0
20200420,256,0,253,1,253,0,3,0,0,0,1,0
20200421,277,21,253,0,253,21,3,0,0,0,1,0
20200422,279,2,253,0,253,23,3,0,0,0,1,0
20200423,279,0,253,0,253,23,3,0,0,0,1,0
20200424,286,7,253,0,253,30,3,0,0,0,1,0
20200425,286,0,253,0,253,30,3,0,0,0,1,0
20200426,286,0,253,0,253,30,3,0,0,0,1,0
20200427,286,0,253,0,253,30,3,0,0,0,1,0
20200428,306,20,253,0,253,50,3,0,0,0,1,0
20200429,306,0,253,0,253,50,3,0,0,0,1,0
20200430,306,0,254,1,254,49,3,0,0,0,1,0
20200501,306,0,254,0,254,49,3,0,0,0,1,0
20200502,306,0,260,6,260,43,3,0,0,0,1,0
20200503,306,0,263,3,263,40,3,0,0,0,1,0
20200504,306,0,263,0,263,40,3,0,0,0,1,0
20200505,308,2,264,1,264,41,3,0,0,0,1,0
20200506,308,0,266,2,266,39,3,0,0,0,1,0
20200507,308,0,268,2,268,37,3,0,0,0,1,0
20200508,308,0,292,24,292,13,3,0,0,0,1,0
20200509,308,0,293,1,293,12,3,0,0,0,1,0
20200510,308,0,294,1,294,11,3,0,0,0,1,0
20200511,308,0,296,2,296,9,3,0,0,0,1,0
