日期,确诊人数总数,新增确诊人数,治愈人数总数,新增治愈人数,现在确诊人数,现在新增确诊人数,死亡人数,新增死亡人数,高风险地区,中风险地区,疑似人数,新增疑似人数
20200123,4,4,0,0,0,3,1,1,0,0,0,0
20200124,9,5,0,0,0,8,1,0,0,0,0,0
20200125,15,6,0,0,0,14,1,0,0,0,0,0
20200126,21,6,0,0,0,20,1,0,0,0,0,0
20200127,30,9,0,0,0,29,1,0,0,0,0,0
20200128,37,7,0,0,0,36,1,0,0,0,0,0
20200129,43,6,0,0,0,42,1,0,0,0,0,0
20200130,59,16,0,0,0,57,2,1,0,0,0,0
20200131,80,21,0,0,0,78,2,0,0,0,0,0
20200201,95,15,2,2,2,91,2,0,0,0,0,0
20200202,118,23,2,0,2,114,2,0,0,0,0,0
20200203,155,37,2,0,2,151,2,0,0,0,0,0
20200204,190,35,4,2,4,184,2,0,0,0,0,0
20200205,227,37,7,3,7,217,3,1,0,0,0,0
20200206,277,50,8,1,8,266,3,0,0,0,0,0
20200207,295,18,12,4,12,278,5,2,0,0,0,0
20200208,307,12,13,1,13,288,6,1,0,0,0,0
20200209,331,24,15,2,15,309,7,1,0,0,0,0
20200210,360,29,27,12,27,325,8,1,0,0,0,0
20200211,378,18,28,1,28,342,8,0,0,0,0,0
20200212,395,17,31,3,31,355,9,1,0,0,0,0
20200213,418,23,37,6,37,370,11,2,0,0,0,0
20200214,425,7,48,11,48,366,11,0,0,0,0,0
20200215,445,20,70,22,70,364,11,0,0,0,0,0
20200216,457,12,80,10,80,366,11,0,0,0,0,0
20200217,464,7,85,5,85,368,11,0,0,0,0,0
20200218,470,6,108,23,108,350,12,1,0,0,0,0
20200219,476,6,123,15,123,341,12,0,0,0,0,0
20200220,479,3,141,18,141,326,12,0,0,0,0,0
20200221,479,0,183,42,183,284,12,0,0,0,0,0
20200222,480,1,215,32,215,253,12,0,0,0,0,0
20200223,480,0,224,9,224,244,12,0,0,0,0,0
20200224,480,0,232,8,232,236,12,0,0,0,0,0
20200225,480,0,245,13,245,223,12,0,0,0,0,0
